""	SDC1	PARD3	EGFR	CD9	TNFRSF1A	SDC4	CAV1	TFRC	ITGB8	NOTCH4	AQP1	ERBB2	MYLK	NECTIN1	PVR	SDC2	NRCAM	CELSR2	LRP6	TNFRSF11B	PLXNB1	MET	KCNJ10	CANX	TNFRSF10B	KCND2	IGF2R	ADCYAP1R1	F2R	PTPRS	NOTCH1	CXADR	TRAF2	RIPK1	PTPRA	LTBR	CD99L2	APLP2	TNFRSF12A	MADCAM1	PODXL	TRAF3	BMPR1B	TSPAN5	LDLR	BMPR1A	ANTXR1	TSPAN12	SIRPA	NECTIN2	KCNN4	VASN	ADCY8	NOTCH3	ADORA1	ITGB1	PRTG	SEMA4C	CNR1	ERBB4	THY1	TSPAN10	TRADD	MUC1	NOTCH2	MTTP	TNFRSF21	PLXNB2	BMPR2	CADM1	CD81	INSR	FAS	SLC16A1	EDNRB	LPP	IGF1R	SMAP1	MCAM	SMAD3	ADCY9	TNFRSF19	PILRB	LRP8	LRP1	ITGA5	SORT1	PLPP6	TNFRSF14	TGFBR3	GPR37L1	GPR37	MCFD2	STX4	ITGB5	ACTR2	GPNMB	ADGRE5	ABCA1	RXRA	CD44	STX3	UNC5B	ITGAV	LRP4	LRP5	AMFR	LSR	CD63	IL6R	SLC16A7	ACKR3	C1QBP	NRP1	TLR4	TSPAN14	AXL	SCARB1	ERAP1	SORL1	ENG	CXCR4	CD74
SDC1	1	0.716962345725148	0.772041530082147	0.592484011395623	0.733720791585083	0.552619322353021	0.40458803422754	0.497529341443032	0.744246890577224	0.601681975229293	0.766122547865923	0.560523131088313	0.74374039126884	0.719947087747656	0.673518808137638	0.727771604874958	0.723675405932602	0.780384897959023	0.688921691164389	0.76487144251241	0.806452420880449	0.407595352368888	0.634536932120116	0.729545007543728	0.75506263446565	0.483130486874201	0.701021435424876	0.479969782909458	0.551031316847623	0.617993205852876	0.751981121848556	0.717856790935864	0.711240769495527	0.732978767808654	0.760090885876367	0.750718154375366	0.786556407337471	0.743543340056954	0.554817883297964	0.592887250600379	0.558017444993622	0.722627136255581	0.819191374118446	0.810667600716487	0.673917535413871	0.781026521072227	0.683968091563631	0.719904570191278	0.569712321966665	0.751434929960564	0.702578004534795	0.556379493478245	0.41144199874753	0.552646598376725	0.560515009624701	0.716450932246077	0.72895694328186	0.741924550555552	0.675936157313911	0.70785397566183	0.663795296295057	0.619158896337447	0.738866786200564	0.723569722024872	0.767414559911366	0.758844766405711	0.713954085865821	0.694761022325633	0.664213225931168	0.750520141137707	0.785886726544694	0.484415770237308	0.596369963220315	0.559997621486575	0.753507957229618	0.749528868667892	0.689995356544555	0.755211187120622	0.616539621056433	0.642043443337478	0.750752064524047	0.654894719013161	0.6789725424	0.744928419799025	0.745035924555126	0.525688345012381	0.789447093274744	0.676313310805797	0.5796002463534	0.512489621333975	0.644041425532473	0.808446934454753	0.741364426789124	0.645933532224798	0.673533221391381	0.643042692212157	0.241266590532726	0.632701677520132	0.449147130393155	0.634035233159846	0.692981204006888	0.563999638099716	0.212167623187167	0.725722486658334	0.52442155990695	0.755178554666096	0.73020642432491	0.70316122897668	0.702827462845321	0.588775705356165	0.795017594757466	0.492273546206411	0.720323042836528	0.611245842560231	0.378227950045426	0.60609248389041	0.448897143047531	0.469408039114505	0.629811837125005	0.419247597911372	0.28605600046699	-0.190790272868955	0.0140708532429587
PARD3	0.716962345725148	1	0.932570870757135	0.75019325073806	0.893055399732593	0.568891003990542	0.4775610841612	0.70758088546954	0.965745523073362	0.820651774280651	0.910379639530744	0.788342233837742	0.930486976547538	0.889566754487907	0.926113087340449	0.849358718725804	0.974472327406598	0.943325894669224	0.968638911734697	0.851273471563537	0.935902586719268	0.564367183962705	0.913427582738285	0.959814532510497	0.952368711514644	0.648949080130918	0.940493390624148	0.62441193118707	0.891070104572963	0.935439460060724	0.955614311917366	0.86620173089321	0.681558551456714	0.939533283723276	0.958534082270226	0.935837754643459	0.952652697793182	0.972226671230543	0.637338838121839	0.854327554204821	0.898027930239869	0.922384149504639	0.909776308367581	0.914429112754369	0.905351934983775	0.950498409944162	0.963466040699262	0.888584366480882	0.785184746116117	0.848766925964105	0.823794177130535	0.658959575551512	0.525465408633722	0.66792663455967	0.783102399872545	0.948636536866418	0.953623045626566	0.875445579604327	0.922169480476957	0.927532444652141	0.707241947051963	0.624718117181343	0.817388698462721	0.869548428401929	0.964316008483306	0.943589909290038	0.869169635426389	0.87113429525321	0.959937316586844	0.944646679763793	0.901332872656884	0.75574895974427	0.779486096875372	0.729504957100757	0.940459541632499	0.969487096388469	0.881465342304933	0.900285514688744	0.867035337421694	0.946341795165901	0.920407019846074	0.867371905811286	0.928783129496205	0.916246431905403	0.941224760649415	0.79897709289165	0.968209962512033	0.718238768857953	0.837265771926618	0.640765298379482	0.881630712548186	0.92093351501919	0.885117544807845	0.795080591523269	0.847220422912291	0.913878040657777	0.375378652382434	0.907189992897001	0.755829065875786	0.849098602943017	0.908348438643286	0.778245966015922	0.305636707828523	0.941376870441958	0.695485712557796	0.917752666728725	0.907929340644218	0.720847214191351	0.842262333481327	0.81729932397212	0.926716858032763	0.694032299824137	0.792899029619365	0.89365895840011	0.595729066528492	0.839594965507409	0.656512270612597	0.690422330212607	0.90389177804484	0.588452742031425	0.577795142654801	0.0641270010490883	0.111179365064638
EGFR	0.772041530082147	0.932570870757135	1	0.846816696330892	0.913917470767472	0.666073687099141	0.581735682969113	0.817941577318337	0.926973908559855	0.711342025527005	0.875283921360649	0.765265415256678	0.871139328290609	0.928656101635712	0.902459125426055	0.887362858060659	0.923417814475613	0.940322766641026	0.905325344239941	0.893552035328601	0.944557369814409	0.627107971898023	0.896413462570949	0.960266936682738	0.947191425211759	0.75880565413793	0.868956576102987	0.679723089931192	0.751563676696383	0.853472891308479	0.940088092517676	0.954606985653581	0.770667511833875	0.936988090538049	0.97642719393031	0.91997627404829	0.917883662439313	0.928995653862074	0.756453391650268	0.788888296410043	0.785075785928937	0.93475540059777	0.894335456904125	0.926540651152431	0.912220633370421	0.945251318026918	0.922508061068846	0.930965041196375	0.829125476518161	0.851354627545029	0.858738255863507	0.624493861596463	0.615260241305854	0.736021611023356	0.849099771568739	0.88512795148461	0.916729741611282	0.828898129541761	0.931982779004359	0.923850497621576	0.747483196173669	0.661877327722935	0.879286981204402	0.782002197489667	0.920240098803408	0.920531754640611	0.897254342341322	0.829844726981388	0.893696891111991	0.922532217906725	0.912702861805442	0.615610536487629	0.758186932792209	0.832258845768706	0.941747978823407	0.930705605830821	0.834293956290136	0.96028352655641	0.768859926559477	0.866563567591369	0.898932775294638	0.895628757255814	0.882555992442822	0.921955066930533	0.95331413535452	0.685199423583749	0.930934026257641	0.689469732069618	0.745767430631853	0.633191360842215	0.905039007411847	0.917267448841623	0.938491475317333	0.871981676310662	0.759856491741034	0.858971881013535	0.422675204274234	0.917133130252648	0.677480851400781	0.839461590254141	0.889209307572585	0.812316271804759	0.383032098332863	0.914666161896578	0.79177791597315	0.941885657382933	0.919426321784447	0.762106615076008	0.90590202171572	0.700169951101183	0.921003339128564	0.533686611075026	0.879606218839573	0.83098165502639	0.474997114968226	0.777815603621425	0.617941509207346	0.715039982707527	0.839575309037851	0.52261647100275	0.397463582984804	-0.00865461115046703	0.0332957561212332
CD9	0.592484011395623	0.75019325073806	0.846816696330892	1	0.913620374847209	0.740971549284997	0.731597660403985	0.884645238526775	0.67819168811764	0.524801230761612	0.7113838615151	0.833652566902664	0.729719013602994	0.852461311848184	0.696998712719065	0.857080236500871	0.755205777581901	0.805243937726056	0.744001346447659	0.877951609653342	0.805418666589181	0.732142020034059	0.784630052292865	0.809762179903415	0.842147889060411	0.775785879439599	0.657094285340216	0.782868540689209	0.53978072761145	0.610894738401722	0.789541804342887	0.926017762216137	0.825889249797125	0.812485721520302	0.849207973884419	0.826218829246467	0.746208021174128	0.728903693370581	0.943547778363601	0.634132850637464	0.624159345045745	0.819439140075958	0.768862192050796	0.777956585147865	0.84666872400369	0.735069809695401	0.796705964636795	0.809468889812334	0.839303125000159	0.817667857543677	0.819122983962917	0.551473453458184	0.713792273173869	0.793180512453298	0.928483603977198	0.714410096172559	0.68252642198818	0.717175463892077	0.817030914192567	0.743048437856023	0.762919888388536	0.603519738049941	0.897001681339665	0.668206420095326	0.710530282052949	0.779443349890195	0.820779374135039	0.72130178054438	0.740333589334261	0.764838146357828	0.851669860360576	0.411087429344683	0.759774782814235	0.889109477816453	0.78071318776926	0.735829059768158	0.676146271808516	0.899273162228665	0.580761895815704	0.618536275819995	0.777001602021371	0.867061817196979	0.707644220850042	0.71048424535897	0.870645053138759	0.574815097808979	0.751306446056331	0.600150746370986	0.589143118459359	0.487454774428429	0.784781765617497	0.81434193383302	0.892247864518119	0.932680174063387	0.640982907699248	0.7267933655724	0.478986175334197	0.752034781339092	0.571462896788121	0.679088737430598	0.814090529526285	0.706341121460437	0.557367585336415	0.768325296121859	0.822120695493244	0.749485420598259	0.864477674714744	0.827420802108895	0.930119126714012	0.577444341829155	0.688601300594039	0.260469289733688	0.897100037335418	0.69836570662209	0.328916233250521	0.59844872119084	0.572170943050992	0.703454168817723	0.700606208527556	0.386199865335152	0.235223625220873	-0.00997420514362714	-0.0011232106563456
TNFRSF1A	0.733720791585083	0.893055399732593	0.913917470767472	0.913620374847209	1	0.705867985208209	0.597615952204841	0.816571297631934	0.845292416349997	0.698396628512252	0.862160834825317	0.865856004977962	0.90227546478967	0.927903053544347	0.800888488378993	0.892029299613876	0.901518803645056	0.944650497312536	0.881463927225804	0.940965392298141	0.930196333482901	0.693769460315559	0.901526105962526	0.917694404074079	0.945048211834349	0.712065441661316	0.827687652547592	0.829052759761646	0.712559568393808	0.780489733392027	0.918247724164071	0.936208079109189	0.827533692129153	0.929406137505379	0.94435823155763	0.949246381698949	0.906253570139645	0.886981815646706	0.853624982458825	0.759127047530385	0.770251784178535	0.922830956693764	0.928574908035356	0.91273242012095	0.92184468722028	0.886774281790979	0.915999889389461	0.899347161025398	0.860261955829498	0.898344677858587	0.884705826639051	0.622280631741851	0.668894434215475	0.763529462109763	0.923948229896159	0.860110798948015	0.82761857648364	0.846673476464987	0.897394360694777	0.881693871346405	0.817911395341002	0.692898018713262	0.925416196971426	0.862644995054292	0.873806522568625	0.926438229347036	0.91170979237853	0.864638597330866	0.880240454814092	0.903673694782096	0.949608244618001	0.575397319608474	0.814608699158677	0.83298193027562	0.914144565709058	0.884477676327244	0.813633741921226	0.947687382361657	0.729001589601221	0.796232751244261	0.910149779731928	0.922752168656872	0.82626597395134	0.836761567849804	0.959283740975776	0.729047738727849	0.89914947503069	0.695556599545122	0.771978053603794	0.568615367068798	0.870810577569742	0.954569983441008	0.943028382521731	0.916786165853953	0.822823939688994	0.861937827836822	0.427814782981282	0.830474590691635	0.684394743377817	0.774926523258801	0.92209171971854	0.765557510396562	0.442858287203462	0.921449014948204	0.750066505900886	0.859546943149061	0.933522887177196	0.856976559176558	0.950808593646828	0.77394964063036	0.849675452072859	0.475681000332576	0.912419029643598	0.818804886154629	0.508236478835794	0.761298989889819	0.662657571986056	0.714804223578911	0.862287187422353	0.549767435739415	0.420932732719194	-0.00648138644654104	0.102556456835813
SDC4	0.552619322353021	0.568891003990542	0.666073687099141	0.740971549284997	0.705867985208209	1	0.828720014600181	0.859933467523231	0.45658589263324	0.447710818777273	0.584672188009002	0.751479099110394	0.632660433911101	0.631688100800925	0.640503570336367	0.765220605159808	0.520479313173392	0.623445982956249	0.532191830560508	0.739391649082245	0.62356374169741	0.877790976852196	0.450636169567184	0.662887917901226	0.700645571092649	0.816779948926895	0.611649575026863	0.534561657641905	0.39058926784762	0.46948673230945	0.570986045045409	0.722764329819508	0.780984737461178	0.714693451293317	0.623074344285775	0.714450733615641	0.565396605977599	0.543907346782835	0.78981280687916	0.558409330625015	0.460377999208765	0.729749728664393	0.640465349228069	0.515440152859227	0.71438454190015	0.561380393924748	0.589563969032613	0.482447852087321	0.846122740187026	0.722298321752266	0.468591536743761	0.496371779668838	0.862315761372495	0.838901944294498	0.588666355408553	0.581619079220968	0.500619861861102	0.679021326615417	0.603360748235569	0.462401984454123	0.473140101352826	0.475034871774293	0.709346017035767	0.543665429615674	0.561225020199798	0.524424791721707	0.67848667956868	0.639952223026635	0.598892014014272	0.48197096495956	0.590761053373753	0.475079506304298	0.701360911572609	0.899962637641598	0.490927731494493	0.631499935984792	0.742315889623561	0.653028771302763	0.446615202958162	0.462708982154332	0.618345032052044	0.609591741599842	0.671178727638802	0.456864154912134	0.734097142958746	0.566408636981996	0.598467582781998	0.467442332502763	0.47864466974438	0.635570022042618	0.411106098691454	0.646768659123318	0.748673025153027	0.737558336641937	0.631559026373989	0.554041261748984	0.831719461824956	0.502283885151883	0.683039457846233	0.707721568344717	0.726667065025602	0.815022186839114	0.830840050689664	0.539800010172457	0.855938656412067	0.586293730666606	0.724503242594695	0.612996004726819	0.639911873452924	0.527875836853869	0.542414948268335	0.207611994414109	0.617375611478764	0.660548919580829	0.335182416336498	0.455123140565878	0.540514020704547	0.831080552598613	0.500371807508996	0.374403219136589	0.262158157360053	0.069675999256954	0.0546600364628959
CAV1	0.40458803422754	0.4775610841612	0.581735682969113	0.731597660403985	0.597615952204841	0.828720014600181	1	0.820339759579965	0.355994608751871	0.363908811782782	0.41281547195224	0.671823978411834	0.476505661891086	0.496741979268246	0.557731087702214	0.803088603357289	0.387589557676625	0.449114047347555	0.440746804260383	0.645714848046388	0.498308481565197	0.817094845460791	0.358993737134729	0.533691089319453	0.604006461525866	0.828700734424413	0.505696154277511	0.370344649188956	0.32966110785411	0.419156370094596	0.46828941421101	0.661064822863882	0.831794287841759	0.57146018961674	0.541390162205823	0.615490218634674	0.408721802438588	0.409502519144539	0.807592067547512	0.578999499751057	0.356604432072523	0.605550355282709	0.467506070581223	0.442324942693811	0.568863632725516	0.389799535370758	0.484912917542226	0.378538838918749	0.777058783690653	0.711094191450425	0.463295784139054	0.651999770298493	0.786744884281266	0.878589361947329	0.532727853195397	0.53687963021029	0.402930621009698	0.536962831730311	0.446066694203566	0.361452570021513	0.516847520298743	0.550141321311052	0.684118826846683	0.364532102314044	0.418954691876577	0.380205205937378	0.505105163762362	0.539086251386216	0.488403306538987	0.40762057047019	0.56567120280565	0.365922822772476	0.716978559029491	0.817936663993368	0.385864777144368	0.499982004581603	0.54835722074381	0.600904582276311	0.450416594929175	0.369530609960979	0.453789386940213	0.519790929593676	0.562109458474028	0.314120281099754	0.589358967532255	0.524522936268513	0.466142495908204	0.517092006632511	0.42128383556493	0.585387090102293	0.325182722641609	0.464161614424349	0.729039509896294	0.766217488987929	0.544178011120022	0.469953391664078	0.771304252687008	0.456299539579671	0.574729551838954	0.645560394405573	0.565635483435766	0.687178068382576	0.835938461323514	0.375531897641111	0.771685573709592	0.435688535647981	0.690167995328845	0.636245765463945	0.638338423978893	0.34762967353129	0.37998803648778	0.196585443360225	0.659328386266283	0.584154300329597	0.197789729090211	0.305378634262334	0.515128255744388	0.696584028278394	0.309304694830659	0.205180125749747	0.213570491693523	0.0837629782464152	-0.00415258361850707
TFRC	0.497529341443032	0.70758088546954	0.817941577318337	0.884645238526775	0.816571297631934	0.859933467523231	0.820339759579965	1	0.630813606629675	0.516261174583696	0.615607982019255	0.791778643621158	0.672597815488403	0.745944395011116	0.737140792587898	0.827263329206458	0.678583229391943	0.731385788978338	0.703067465996382	0.821185626613489	0.714688668794781	0.884116415792055	0.677898613787566	0.793842864710829	0.802206834755339	0.924959021756583	0.682086749714821	0.656002027529533	0.513352474812251	0.62114677694054	0.722144033265286	0.875463043480201	0.800725798140713	0.819058895296001	0.7948349206324	0.787451404619282	0.666370237482699	0.673034160791135	0.873138325935226	0.68955677902082	0.576574041995096	0.814157836408797	0.707595768759541	0.663834492228543	0.815711927022647	0.674082889960798	0.73605849910961	0.689191022570432	0.932086226237474	0.740936278028699	0.631915920796984	0.509329846747057	0.851863091158368	0.825924577047318	0.798297725277109	0.67270272206213	0.654484364301409	0.712286607997296	0.766305175326055	0.683313706873627	0.567705556312974	0.585427896689179	0.813103706871462	0.584605176193873	0.678221172959375	0.677720780710119	0.743371558980494	0.718772070204168	0.726110102076359	0.669128122639889	0.725316225987136	0.466183789993051	0.727807789180195	0.97151259115552	0.673252038163671	0.728311577990727	0.774880237970443	0.817998549158094	0.509592740035046	0.618313303815232	0.706290205196243	0.786069283873553	0.739645743588222	0.628648242849316	0.835357841220307	0.580323973314519	0.691132051395632	0.557065710480095	0.569826459011804	0.671233553851498	0.648966122488964	0.715073677435039	0.876041758308934	0.888730963256471	0.641513551074005	0.687343504828433	0.716102243281437	0.730888304789581	0.704899249989483	0.782814254382901	0.774844378645774	0.851691587939048	0.731677257034965	0.685252046469947	0.916514809129475	0.701902780799582	0.836959952782822	0.663121448383082	0.80468695283582	0.539527638115658	0.631800927992052	0.262957666750571	0.774834292968902	0.744142861255819	0.345813106280061	0.58434314275653	0.593734051401888	0.865420733221547	0.642470004755568	0.425654672144539	0.273148380405503	0.0940733754535009	0.0421105580243203
ITGB8	0.744246890577224	0.965745523073362	0.926973908559855	0.67819168811764	0.845292416349997	0.45658589263324	0.355994608751871	0.630813606629675	1	0.805244561162604	0.89047801375479	0.684002330163642	0.900888365749282	0.859071841901932	0.900850651042006	0.786617623347821	0.974326593257315	0.932076451507167	0.959704211606318	0.793545794707295	0.927583687959361	0.456044017188182	0.921813728902415	0.941599493580382	0.919659332519435	0.584487610936846	0.919615863434593	0.58244427303907	0.875482287688197	0.942112164452021	0.954547003209792	0.832505153190506	0.615055173293304	0.909333334166408	0.95402905975068	0.894535466476208	0.950437446093439	0.972300054511052	0.552280680664767	0.826828587875409	0.868180351910216	0.885342626231635	0.896741630448433	0.931398663849184	0.865173854753583	0.963131790576847	0.931192042540032	0.906364652469584	0.70907763609676	0.786572772470413	0.815974517750035	0.617516425149314	0.441938608307919	0.546468365281156	0.748914777180525	0.920172690253017	0.970508434149085	0.825243699761892	0.909754007355375	0.948201033679222	0.675530980085465	0.639013152004545	0.7576463783794	0.8516483323738	0.973267460369261	0.951927932637323	0.830242180027413	0.836780475620039	0.931140378657921	0.960982523636737	0.888231076684809	0.710280387887173	0.672237505189062	0.649668132840105	0.958866095026349	0.952712517977404	0.834282068970943	0.88722783442841	0.839013481972512	0.960869507999463	0.899358688960967	0.835990807386065	0.890006073823969	0.949450720246715	0.894800163884935	0.726640539476215	0.952880339105393	0.703053490709916	0.819837191917873	0.61639622942373	0.900552887428362	0.90159681179629	0.854658582962887	0.741913780123054	0.796359075229443	0.885023894097987	0.244335332524066	0.914065724213775	0.693071823411089	0.815935766025895	0.85285726498753	0.727837007075272	0.159944401593176	0.940308353584552	0.617185988181484	0.933567929805009	0.859505876112439	0.652603296850573	0.807235476338453	0.783201550254851	0.93608498507874	0.716014824085112	0.768268891272304	0.844565509978209	0.578859754661297	0.846834676899049	0.613575721443301	0.599601944248477	0.886117738245471	0.572398208540289	0.534272615537676	0.0214922839369253	0.0962378105076899
NOTCH4	0.601681975229293	0.820651774280651	0.711342025527005	0.524801230761612	0.698396628512252	0.447710818777273	0.363908811782782	0.516261174583696	0.805244561162604	1	0.760594471620284	0.650649810113984	0.765583323822396	0.64165728032668	0.825926108335505	0.658768612162307	0.797685668997006	0.761307357598839	0.837383802099751	0.654902723500519	0.742880566026915	0.499730058193156	0.708790324891953	0.78705465655214	0.772451978317664	0.479016017756963	0.871237405945831	0.429576529324186	0.896164378626299	0.838255593256248	0.814825096098739	0.640718237859626	0.557202329940945	0.748307628263173	0.753747970296086	0.796845384430563	0.789004351569462	0.830659592976215	0.416373322090882	0.814768506663549	0.91293365161579	0.733869818818854	0.760015677733709	0.713822734839486	0.754707930533034	0.775974763239511	0.772192283522843	0.651671509071134	0.669117071458126	0.747099091376994	0.653778801460894	0.52593970180945	0.442098573967024	0.503505877417097	0.555314986091382	0.872589324132568	0.840088203319256	0.831735291788149	0.693058163494577	0.71583738869388	0.483588141891619	0.556073514689664	0.615836627577165	0.735862469362829	0.822540995565237	0.73605965596994	0.688985369327475	0.797108821789074	0.878546575442151	0.770926187223956	0.71277272483353	0.928250117833242	0.575438132436547	0.533649573003032	0.750649789939865	0.833287710627503	0.80575783106033	0.668270585990921	0.825569186589175	0.827776077400091	0.791460030987868	0.633598125568224	0.809588391262426	0.69587044733149	0.742765040481162	0.877134241060491	0.825283003472896	0.717926694428241	0.799433704050173	0.713767744720457	0.639704000028038	0.737124927205891	0.704727874794553	0.606362320012993	0.829201409402346	0.819059318674368	0.360499188058307	0.734219004828341	0.792467251406718	0.791935805546387	0.718318198638913	0.71577099280133	0.342172741147035	0.765757671170294	0.513131500554575	0.74210712480273	0.77103099050269	0.560600706589194	0.607712922387321	0.840807745298072	0.75453745016619	0.816275714279222	0.557316740267525	0.893435753046289	0.718993984151124	0.818708050263266	0.706569827195498	0.624592314043982	0.747370240440361	0.626871374271417	0.839815781051886	0.169213499544691	0.280374885608743
