""	CD3D	CD3G	CXCR3	CD2	DPP4	KLRD1	CCR5	CD247	CD8A	CD8B	F2R	KLRB1	ITGAL	ITGB1	ADGRE5	FAS	CD53	CXCR4	IGF2R	TNFRSF14	ICOS	TFRC	ITGA4	TRADD	SELL	PILRB	CD44	ADRB2	TNFRSF1B	CD4	LAG3	TNFRSF25	S1PR4	ITGB2	CD226	ACTR2	CD69	RIPK1	SMAP1	VSIR	PTPRA	TSPAN5	PTPRC	SLC16A7	TSPAN14	CANX	CD81	ERAP1	SORL1	LPP	ADCY7	STX4	CD74	PTGER4	MCFD2	CD63	C1QBP
CD3D	1	0.924294553075874	0.728449577482917	0.850895513478368	0.809534804644346	0.734692319284254	0.203782854679336	0.829523122478332	0.634301453798938	0.627350515778707	0.271174675390605	0.774588151573707	0.556546947756667	0.664934814554967	0.681544994658506	0.792520193771745	0.886152174893458	0.92586260304975	0.302844412184778	0.796898663064791	0.769642214236718	0.280350479667398	0.682627595822488	0.940992199903896	0.913099465913442	0.484194959295491	0.807982123294039	0.422403434559725	0.528682282026319	0.442398269795129	0.758301246259802	0.854851122857911	0.923064750980477	0.0933285631536271	0.908144294556285	0.577376663150269	0.934370008526627	0.285099911425043	0.794763853299783	0.299788382055313	0.598825798288114	0.501877418923205	0.91775278774819	0.617498748031702	0.51915243944954	0.328596121634889	0.357611878731466	0.587132139675451	0.264321035966719	0.265798369455784	0.332363045148002	0.445637611519224	0.0802050692303324	0.812014341828162	0.403443936004534	0.427853335833944	0.637208417490873
CD3G	0.924294553075874	1	0.827603989523196	0.955872065199376	0.731649199068824	0.852007275894106	0.427129041167288	0.912184820589741	0.740202170990717	0.78246238172263	0.468712065605347	0.748197346521729	0.710680613027529	0.670525415581768	0.786515833764383	0.804693222505439	0.765220342985697	0.904808758242154	0.413893833795917	0.794492804041062	0.731582044540633	0.343128146059091	0.745291762589741	0.837219910854625	0.785800568466042	0.480999048377281	0.803882271185122	0.618382230145029	0.535086327070052	0.327767895489568	0.832368315137623	0.697897887479368	0.897482567434515	0.0054610082324881	0.792576984908204	0.521202267970839	0.818028511971198	0.34882501333171	0.707781633917886	0.154915551820848	0.637897160563804	0.573444784602856	0.9336181116816	0.701636896913884	0.458043666716877	0.317878806068679	0.278837232971698	0.373065942246859	0.126976589358049	0.238275654594299	0.218895717608012	0.351744020372421	-0.00809637411669001	0.868293264901345	0.448973799728176	0.362062703211873	0.579549854535969
CXCR3	0.728449577482917	0.827603989523196	1	0.788292035081081	0.657331786912616	0.547374535585526	0.562093603016797	0.796780680510279	0.370486536455151	0.469363856156946	0.27724556033328	0.741142038425497	0.507066307433412	0.542170317278732	0.73950017916899	0.583654481363614	0.627720221193839	0.653280439817035	0.269953822972946	0.52027234652829	0.529927838830099	0.197258928472369	0.532033116726675	0.726817998831597	0.628753372734077	0.283551935006007	0.45021171415472	0.659645462434456	0.367628512828265	0.292274620477509	0.562641025158084	0.41104121580843	0.632178510706885	0.0536307064463645	0.631307989480168	0.35486543064398	0.560989266432494	0.162869796574701	0.348958606382482	0.0843456127240955	0.439915845388916	0.219284103772825	0.694485280370518	0.516274252467195	0.210072241188477	0.227990270610337	0.153257204877286	0.261143669678318	0.12765852749761	0.124920552084867	0.207234417089406	0.258599055777485	0.0160493526568146	0.794421513590917	0.289518261099826	0.193791142555434	0.360423118998734
CD2	0.850895513478368	0.955872065199376	0.788292035081081	1	0.683630841458101	0.826566575098863	0.495471665008379	0.872784264910134	0.780211846564423	0.790090102284582	0.556876872638926	0.653980368836131	0.758232116943434	0.626739158651382	0.771871324619837	0.818551550948859	0.700691851892059	0.878143157715173	0.401417043200581	0.827040532809235	0.722545912884619	0.319230042357293	0.810313577256103	0.743394852661868	0.71509577857921	0.486592458412594	0.762842539557872	0.613769351121186	0.541393040440742	0.304210144581912	0.775493710455422	0.655485716022108	0.849332954816796	-0.00140851314470607	0.676966713463269	0.502147978132909	0.736500395283183	0.397484030335497	0.63517443921647	0.120684663645154	0.604635354913823	0.56894632399109	0.921548252662387	0.719063075103772	0.43770736678962	0.283180266119495	0.187413276950967	0.343786739786321	0.0658863569918076	0.218791033848102	0.162993312010924	0.215065259344278	-0.0317944884002538	0.831716174129554	0.439930440319965	0.258105049656025	0.452866568163651
DPP4	0.809534804644346	0.731649199068824	0.657331786912616	0.683630841458101	1	0.414418948002958	-0.0706225114006121	0.737212209992392	0.340332589441413	0.372762915900987	0.0685528812985674	0.907691837459826	0.202325427014129	0.522466982258909	0.380108928154642	0.689386493780783	0.765210786999626	0.785694262705226	0.168028330110108	0.577444226028517	0.790342855710143	0.282631858951202	0.506944928854723	0.886920520166065	0.802375510896867	0.175474878816011	0.594860413191523	0.394688564090179	0.377008990358843	0.506191416765125	0.632737057016273	0.733017136906724	0.775930426448678	0.136489743417305	0.862661759598577	0.496407816307374	0.858668079537415	0.222194889325689	0.555776896657285	0.325633560168253	0.553723190179922	0.109591175069515	0.64333712808236	0.493722733916925	0.421603966518485	0.312553332145143	0.369779061778843	0.678693858974013	0.212903596897284	0.191950986039087	0.265605583679691	0.384612747995071	0.142351957412419	0.518772319017572	0.300628096908683	0.455738699077054	0.609535710043987
KLRD1	0.734692319284254	0.852007275894106	0.547374535585526	0.826566575098863	0.414418948002958	1	0.471583717045799	0.76870169038757	0.905286796798792	0.937714470012539	0.541169063430796	0.473401046484485	0.786900193775516	0.518018775467056	0.740691774665687	0.639125763499355	0.52506158238356	0.73049727654503	0.465814619273826	0.760187025349702	0.480794167739378	0.304875998093911	0.702547444879307	0.559271475950259	0.532420821886467	0.558088836977388	0.733046548494526	0.651651510528252	0.442101926557335	0.0475858854782507	0.804911368413694	0.524680213363973	0.743130398278719	-0.129154513654221	0.556849423650733	0.347698053002328	0.643208707566247	0.295319593021279	0.650982217343133	0.00168205892390331	0.539922065487859	0.724237351884589	0.844782571297664	0.62262086405521	0.358489780872491	0.221547192827398	0.155341971997979	0.16747724024179	0.0104521111890712	0.164866498435413	0.0890935561062025	0.228843545414717	-0.139319780313316	0.794987907139571	0.35541549452079	0.217741171079974	0.431622918936102
CCR5	0.203782854679336	0.427129041167288	0.562093603016797	0.495471665008379	-0.0706225114006121	0.471583717045799	1	0.405642817322127	0.366248175831126	0.417604298747809	0.399027507066859	0.071142922025305	0.684069298856405	0.220090986309489	0.727682736208869	0.187405501650002	0.109154892892134	0.178683125788466	0.265613490202268	0.238912946295253	0.026895156410468	-0.07894977133395	0.342970616724752	0.0682616001347014	0.0222062053990349	0.301783904656919	0.0938075142670776	0.603604336234213	0.0977608941030089	-0.142819178902076	0.185962527041665	-0.167252124318163	0.100190256026203	-0.104466824348845	-0.0345240942537223	-0.00385572077739812	-0.0214282363380484	0.00163360231216599	-0.0190429296315856	-0.238948929846851	0.0307091019325213	0.281349200623699	0.35975214497636	0.223835088041161	-0.135839292270916	-0.0507572223102315	-0.207241532696347	-0.206096000682419	-0.131066059770759	-0.128255371360304	-0.145813304402629	-0.131270510657461	-0.135905294612883	0.578453467892481	0.0703893667555781	-0.237543152140201	-0.188176026864314
CD247	0.829523122478332	0.912184820589741	0.796780680510279	0.872784264910134	0.737212209992392	0.76870169038757	0.405642817322127	1	0.643604951932177	0.688676034715046	0.333011523837901	0.771326925472758	0.590740720570295	0.500014555221541	0.710151945868525	0.652104244250351	0.616998640726213	0.775065854031448	0.360164130170705	0.581929561128115	0.641390994337096	0.284943627736962	0.644276629601523	0.758160993382742	0.698839046327371	0.306759457064172	0.656670938976256	0.672120368391154	0.379277248210582	0.218346109651788	0.855883600132799	0.584233562403572	0.799746575688769	-0.131296807989473	0.763090754298973	0.386908369599748	0.769130139941615	0.313990181181305	0.551935376858408	0.0249844228050696	0.56939570742856	0.455635362547589	0.806134806667567	0.56650758781843	0.338758689392923	0.226070162139026	0.191571495699299	0.351278547070049	0.0363095456769989	0.165641159354748	0.088381929434147	0.231373807388432	-0.12187377569328	0.786425625333604	0.351878334416437	0.288334260376339	0.514207243574642
CD8A	0.634301453798938	0.740202170990717	0.370486536455151	0.780211846564423	0.340332589441413	0.905286796798792	0.366248175831126	0.643604951932177	1	0.917127654133959	0.522217230431569	0.325013349093695	0.721468671943149	0.406584695845655	0.578161605134454	0.576447840927679	0.434677360204683	0.689000704456	0.312469505256575	0.744896330483593	0.464727875284322	0.228586866590314	0.6964586610496	0.429274736910995	0.439222234581683	0.409302156106319	0.700728227046531	0.440264575375959	0.411718954317397	-0.00272949971476996	0.755985973850012	0.512645267405528	0.686216514770128	-0.13504110666397	0.427839749089958	0.326846637462999	0.601544787889149	0.31647363997457	0.623059313556993	0.0346313091973274	0.452247818859039	0.720726670818261	0.778983259572959	0.550271593977729	0.33877789110071	0.141652145672884	0.0993508540666677	0.149221100012984	-0.0608267551800956	0.0793020665524108	-0.00573135498463986	0.111204711820919	-0.136136606073417	0.637103601895019	0.280435107845338	0.153344526117313	0.34382394496128
CD8B	0.627350515778707	0.78246238172263	0.469363856156946	0.790090102284582	0.372762915900987	0.937714470012539	0.417604298747809	0.688676034715046	0.917127654133959	1	0.557463219130093	0.419555542903647	0.691212159875689	0.48547325893643	0.594828973069001	0.614525568570778	0.417843709267947	0.686828726852597	0.496085904682968	0.731325233592123	0.449351293725801	0.351582360056268	0.7015831228586	0.451509166086728	0.456525448982483	0.422399590955727	0.710630523664174	0.645704199009403	0.451355991718832	0.0633847225994204	0.804230588909094	0.463742529086759	0.700209529638254	-0.0785607637282971	0.466191649201365	0.368445590067251	0.571122952492946	0.389077962319976	0.593847782068708	0.0742593109619107	0.545192066903635	0.727494038123557	0.771942573019102	0.641110626228537	0.384189158252813	0.261285152304917	0.187533393775014	0.0929571934838503	-0.027665955406146	0.145721931501214	0.0270832619920668	0.164235530238775	-0.0805246831441377	0.671718421840063	0.366409977779681	0.249753155640472	0.430123202288532
