""	KLRD1	TREM2	CXCR4	CD81	ITGB1	PTPRC	ITGB2	CD3D	LRP1	SORL1	CD69	C3AR1	C1QBP	PTPRZ1	FPR1	LAIR1	CD63	PLXDC2
KLRD1	1	0.643206689257293	0.480728308198856	0.644432435635309	0.536541387352668	0.289618478357853	0.625432936647638	0.377331031617193	0.310319366272428	0.556248274159681	0.582224229350477	0.363858907542381	0.582513589983059	0.486997875201605	0.436947758805821	0.556160173847494	0.63795400596704	0.459317085580942
TREM2	0.643206689257293	1	0.789482740007432	0.928489223778023	0.701973395120924	0.464725929894466	0.817541244958713	0.648721590437602	0.480777259248582	0.83661762587163	0.799345837521551	0.699829865579341	0.847761170331792	0.761990658172707	0.643644376030073	0.663944560984278	0.901595107632126	0.636342361907591
CXCR4	0.480728308198856	0.789482740007432	1	0.868113461776735	0.723967341405077	0.623888338405801	0.79705600183577	0.703456708114808	0.666786708655096	0.848535941378466	0.716762964604427	0.606561978754477	0.819057785378701	0.74117046416152	0.613625979490435	0.643874221669126	0.822640771222486	0.726857931911603
CD81	0.644432435635309	0.928489223778023	0.868113461776735	1	0.749919150643782	0.501028140561576	0.862400017783866	0.727139144891592	0.557990806491732	0.881577780517056	0.811795845351715	0.689641668353146	0.883112174763443	0.75320155747199	0.688476058934978	0.742095545111743	0.93925059053353	0.693175388852252
ITGB1	0.536541387352668	0.701973395120924	0.723967341405077	0.749919150643782	1	0.54879610038226	0.767067290936315	0.597549477532347	0.596202471911876	0.767342037349239	0.706486131497341	0.520102854626691	0.681727605946961	0.717963015989198	0.662496023774379	0.573159198291071	0.728934537001337	0.664991563528266
PTPRC	0.289618478357853	0.464725929894466	0.623888338405801	0.501028140561576	0.54879610038226	1	0.56010423465891	0.42083198504012	0.695795182271625	0.54152739906805	0.421600361068708	0.320955118128035	0.482554591184408	0.70296403380025	0.450904920811704	0.330613910421824	0.438794194621691	0.655601439824908
ITGB2	0.625432936647638	0.817541244958713	0.79705600183577	0.862400017783866	0.767067290936315	0.56010423465891	1	0.647471322287886	0.670111735267714	0.852341604380266	0.706222557738932	0.601415327700693	0.81339329473159	0.773708277260834	0.708987107235015	0.683462932564758	0.885227561751749	0.701142068033319
CD3D	0.377331031617193	0.648721590437602	0.703456708114808	0.727139144891592	0.597549477532347	0.42083198504012	0.647471322287886	1	0.5003942121594	0.664219682865516	0.625950082913171	0.593499399449503	0.652085818187715	0.663468965846028	0.572419980393565	0.500754262617719	0.642753478097591	0.558483479357193
LRP1	0.310319366272428	0.480777259248582	0.666786708655096	0.557990806491732	0.596202471911876	0.695795182271625	0.670111735267714	0.5003942121594	1	0.649963235087219	0.411279645532896	0.321945183543203	0.56782102298699	0.677073803180215	0.460454099619498	0.509273571099015	0.538725927925723	0.687625334488657
SORL1	0.556248274159681	0.83661762587163	0.848535941378466	0.881577780517056	0.767342037349239	0.54152739906805	0.852341604380266	0.664219682865516	0.649963235087219	1	0.769553290223712	0.649046940978465	0.814341760814119	0.751891582556319	0.687300532037673	0.672981301848332	0.875530887276337	0.727448777718834
CD69	0.582224229350477	0.799345837521551	0.716762964604427	0.811795845351715	0.706486131497341	0.421600361068708	0.706222557738932	0.625950082913171	0.411279645532896	0.769553290223712	1	0.70634073928877	0.809005061215437	0.689184228603794	0.610783062655584	0.614983731193452	0.804801002983149	0.678260805895532
C3AR1	0.363858907542381	0.699829865579341	0.606561978754477	0.689641668353146	0.520102854626691	0.320955118128035	0.601415327700693	0.593499399449503	0.321945183543203	0.649046940978465	0.70634073928877	1	0.703401594708822	0.576610144597173	0.461941737215682	0.443780421718448	0.697766530144693	0.543351945942015
C1QBP	0.582513589983059	0.847761170331792	0.819057785378701	0.883112174763443	0.681727605946961	0.482554591184408	0.81339329473159	0.652085818187715	0.56782102298699	0.814341760814119	0.809005061215437	0.703401594708822	1	0.70696427078298	0.665727959059639	0.702331707068663	0.8825646453018	0.666276980725746
PTPRZ1	0.486997875201605	0.761990658172707	0.74117046416152	0.75320155747199	0.717963015989198	0.70296403380025	0.773708277260834	0.663468965846028	0.677073803180215	0.751891582556319	0.689184228603794	0.576610144597173	0.70696427078298	1	0.690000859280055	0.552778803787331	0.698362297990224	0.805733175587881
FPR1	0.436947758805821	0.643644376030073	0.613625979490435	0.688476058934978	0.662496023774379	0.450904920811704	0.708987107235015	0.572419980393565	0.460454099619498	0.687300532037673	0.610783062655584	0.461941737215682	0.665727959059639	0.690000859280055	1	0.509483999008108	0.662361694577467	0.623132657361245
LAIR1	0.556160173847494	0.663944560984278	0.643874221669126	0.742095545111743	0.573159198291071	0.330613910421824	0.683462932564758	0.500754262617719	0.509273571099015	0.672981301848332	0.614983731193452	0.443780421718448	0.702331707068663	0.552778803787331	0.509483999008108	1	0.731492610848473	0.533029559601811
CD63	0.63795400596704	0.901595107632126	0.822640771222486	0.93925059053353	0.728934537001337	0.438794194621691	0.885227561751749	0.642753478097591	0.538725927925723	0.875530887276337	0.804801002983149	0.697766530144693	0.8825646453018	0.698362297990224	0.662361694577467	0.731492610848473	1	0.638689504935633
PLXDC2	0.459317085580942	0.636342361907591	0.726857931911603	0.693175388852252	0.664991563528266	0.655601439824908	0.701142068033319	0.558483479357193	0.687625334488657	0.727448777718834	0.678260805895532	0.543351945942015	0.666276980725746	0.805733175587881	0.623132657361245	0.533029559601811	0.638689504935633	1
