""	C3AR1	ITGAX	CD4	ITGB2	PLXDC2	ABCA1	CD33	HAVCR2	TREM2	SORT1	MERTK	PILRA	TNFRSF1A	TNFRSF1B	SORL1	PTPRC	CXCR4	GPNMB	ITGB1	LAIR1	CCR1	TLR4	LILRB1	AXL	CD93	PTGER4	VSIR	IL18BP	C5AR1	ITGAM	CD81	CD69	NRP1	TLR1	SLC1A5	TLR6	TFRC	HLA.DPB1	CD74	STAB1	P2RY12	LRP1	ADRB2	CD180	RIPK1	LPP	FPR1	TMIGD3	TSPAN14	ADORA3	ITGB5	ITGAV	CD46	MRC2	CD9	TLR2	C1QBP	CD47	CSF2RA	ENG	SCARB1	APLP2	LILRA4	ALOX5	IL6R	CANX	CD63	CSF3R	NOTCH2	TNFRSF14	SDC3	TLR7	RACK1	UNC5B	TRPM2	ADCY7	PLXDC1	NOTCH4	SEMA4C	RHBDF2	GPR84	PLAUR	INSR	SIGIRR	ST14	FPR3	ADGRE2	CD300LF	SPN	SIRPA	SELL	KCNQ1	TNFRSF13C	RXRA	NRP2	ITGAL	IGF2R	PLXNB2	KCNQ3	LAMP1	CD40	PECAM1	STX3	CD82	STX4	RYK	TRADD	FGFR1	PLD1	MCFD2	NCSTN	RAMP1	JMJD6	CADM1	LRP10	NOTCH1	ATP5F1B	SMAP1	CCRL2	PTPRA	RPSA	PTPRZ1
C3AR1	1	0.901859721651351	0.906966427796193	0.92746352469603	0.955380564479153	0.873633974817883	0.869380510004376	0.958399857193458	0.921678910556337	0.915210641888176	0.689075139997569	0.918389256573891	0.863170685977157	0.920616960720423	0.87110055987939	0.882276812151666	0.731804906746493	0.816002808776227	0.933536539070995	0.916103052056212	0.86490909443681	0.752792996654279	0.908369828836046	0.926758903089555	0.441504143764799	0.65726020436254	0.798329851172786	0.895801458765456	0.732377657828732	0.748114075561448	0.949925361106217	0.684822472790364	0.686422313425351	0.794576652568144	0.905343365001047	0.436271942678559	0.700722203305745	0.760817119511385	0.878270231706538	0.744798968047481	0.709530822126848	0.858604807404818	0.719896853411137	0.818214946375547	0.786523310284518	0.878891018215062	0.951570691340716	0.879371341265459	0.882625034340844	0.850526145825813	0.909061688986954	0.751427558571448	0.832290195709193	0.863655154041518	0.786010953094966	0.749537072773851	0.883934956422924	0.807515546910442	0.915867039849464	0.890819595586153	0.822554506694333	0.911318985037532	0.77106464052094	0.8025278867373	0.88733304393189	0.925363105505376	0.869790650411344	0.807702002798125	0.744387557782713	0.857337318702204	0.561046962133527	0.780409298031865	0.877006935699287	0.739873075598791	0.803932683364982	0.711123431736255	0.265608589150798	0.746068711275225	0.532291109450136	0.874308693997781	0.614094870667794	0.576014966699372	0.511693389862215	0.815184288103481	0.827815174907572	0.844942097738443	0.793838577722944	0.753689172981277	0.818504646474379	0.922285270265454	0.579580977880836	0.702483045720128	0.591287966222195	0.695982637695829	0.569029594451979	0.843913433522968	0.827707588700739	0.760885846770903	0.743915097721314	0.924681595944636	0.776384160883306	0.846065093088888	0.670507724720745	0.88889564098557	0.790170829720248	0.626723312803327	0.896850220985094	0.479297649581975	0.835729946941774	0.907477262266279	0.852959389500107	0.659315209092299	0.662458407726187	0.621596554270061	0.930256728889124	0.405244972064809	0.893612859522113	0.839630943983907	0.790568642375481	0.787100253998145	0.887727110354931	0.0356349200766271
ITGAX	0.901859721651351	1	0.819903701369901	0.879947680148468	0.93339464288962	0.851552587725644	0.727266136963058	0.874226041548615	0.867615541602106	0.89491746890185	0.717808211115563	0.815544251758612	0.708030868368128	0.842112581363809	0.789895350463927	0.906555220168119	0.69700474478618	0.854891114881415	0.910473602314454	0.860909420765655	0.783529666742608	0.76872187230968	0.874355489403311	0.829629538703627	0.363672100782112	0.718785484243995	0.647844506947143	0.916828172915646	0.742339362320827	0.685862254910246	0.884589429382142	0.689847001076931	0.64248481105377	0.776425086524451	0.789340251785765	0.461634358795318	0.746438704986533	0.611868285467341	0.762089423867343	0.585961793411207	0.594572614707801	0.821953224748471	0.725647823541428	0.842856544522268	0.761642532435743	0.917337962814323	0.869650379394783	0.750462803711548	0.851848870843535	0.798845937546524	0.840830783215141	0.749637720657187	0.817949384984928	0.900438886931234	0.823184743286862	0.727287633575759	0.776526419052122	0.830751377551444	0.871327085193233	0.884657107716526	0.853504620038881	0.915351742759628	0.772581554243037	0.747931416441247	0.870964968186991	0.914448060457198	0.858266821672869	0.819768944523086	0.798631520886769	0.794522011430605	0.57376267328811	0.67917532237115	0.732613138888159	0.652355254891572	0.803735666507027	0.728410980490669	0.201858219672653	0.79683217536014	0.502421444842503	0.789003394264458	0.65191387674872	0.574565721961119	0.595092093200363	0.778742692696889	0.734949198411782	0.801380520067317	0.805300594427378	0.648293277103609	0.879606824192354	0.884786858701401	0.439593748265007	0.563079232586177	0.437019925418628	0.625522776409207	0.622044279602433	0.837267833748866	0.891020260151468	0.691090133815113	0.710552500558926	0.87096260159553	0.762353956046797	0.802060837187731	0.637693658802318	0.833775732162892	0.78874982169244	0.692118733285962	0.855128369575026	0.539770549253287	0.889647613780001	0.894804909419264	0.847415401106196	0.708052453083391	0.647955200074278	0.722767688112459	0.863534415325237	0.533739093093594	0.852164028350423	0.867646659598286	0.806398523674018	0.805279312657359	0.782291925473714	0.186392100996471
CD4	0.906966427796193	0.819903701369901	1	0.852922427814231	0.94006354688673	0.894352466867542	0.89473663584799	0.909620957554618	0.805535867654984	0.919867661988013	0.775779077148543	0.895667625132772	0.882377765436708	0.9384796639842	0.93528326096966	0.922627338372801	0.763278381053277	0.665424577086397	0.919759556605273	0.921960711174952	0.859927224794847	0.767764887499686	0.914920341037693	0.934741455946303	0.639416239073521	0.704461472366838	0.867629868394041	0.819890036373307	0.776259832658885	0.818632579693575	0.901328616979374	0.689897165203751	0.80374032809267	0.793870905998574	0.939731229374645	0.566992680577075	0.726564808758511	0.800263484392504	0.91094506423825	0.866850209644753	0.817399367188372	0.879463834465154	0.744042893396938	0.764952767007251	0.763307358290461	0.90249946034318	0.90216636219326	0.882806721098446	0.9203063593404	0.920782062740779	0.843685223897588	0.802476238711169	0.841075985584335	0.776190407777791	0.624798682846242	0.850886608906884	0.863025138046443	0.76886542837389	0.898486533255291	0.850368479505449	0.811584648568311	0.898209713778857	0.64867484582139	0.829507554269459	0.885213644706893	0.888383043156189	0.744313515398522	0.880227305824708	0.767821168279864	0.848072084189474	0.602908265962454	0.851391312994479	0.887905063677403	0.823885122314946	0.8964647859149	0.803831514265977	0.420263854637464	0.788514509653066	0.613965709606218	0.920929920241137	0.676628834161632	0.650101361841272	0.524387854499759	0.849434525568413	0.849573663682581	0.877711759046576	0.780561105449929	0.709383990385164	0.733029207129322	0.858862897179253	0.559940088952675	0.800180128872864	0.622419997509697	0.760399467609387	0.671199484942393	0.821904121055464	0.811700910398724	0.880077695850629	0.768252896616998	0.877500829049632	0.770833929875078	0.920230842538427	0.815360593295378	0.824575981425744	0.837434577032119	0.674006790897324	0.850572460862469	0.523569113942504	0.739697636561243	0.911852994515542	0.868387002157598	0.543913604251104	0.726351327458214	0.540157175156122	0.826346556645812	0.437970481784171	0.840119740788234	0.833957475915861	0.786387534619706	0.787711637518304	0.863598366031423	-0.00282321137462
ITGB2	0.92746352469603	0.879947680148468	0.852922427814231	1	0.920615456863008	0.764819324194246	0.772936359565807	0.921864483499977	0.970671644188286	0.878215932840501	0.520027701151564	0.875173860491094	0.775767766755881	0.82648821338986	0.778197135805673	0.810548628530086	0.582768181409663	0.893943785511126	0.91155352931205	0.891707607163955	0.786354000361869	0.648297364166798	0.894143290461931	0.906501325557763	0.356026743042325	0.660953046838883	0.660248361456656	0.896868960857917	0.69256664444679	0.68192561737991	0.978293597592799	0.600971401272653	0.671183577999048	0.723022901872372	0.861071574057377	0.27240634402456	0.652245916079499	0.685673779883273	0.794144805089242	0.706608969517959	0.637352240082384	0.795689984303112	0.611397208036514	0.818684851858406	0.751194274318238	0.837720993084589	0.880913164884393	0.88356767554159	0.797221969913012	0.757933513486349	0.947067463192294	0.698238235337494	0.734296448035054	0.87542564141533	0.900086538952434	0.602629760831731	0.884092529128409	0.888543272128349	0.806213680344172	0.9316800399569	0.792964510350883	0.882683268515724	0.886647327638702	0.755125554903387	0.836297859940784	0.933057314239585	0.969398828435323	0.697763465496441	0.737651401765179	0.831755315168299	0.464046095512865	0.683803005067243	0.829796232752669	0.706594983290011	0.77019747107598	0.645616924974958	0.164639131697807	0.704819781095874	0.461700843941298	0.809258096852235	0.559781738563316	0.594037391869895	0.421653333131695	0.826652100605647	0.839137973458	0.813434001065629	0.743336883522872	0.748971230240465	0.794756845166014	0.94650261267104	0.497507209700025	0.586031305060314	0.405732671956726	0.653376242293467	0.456315943291846	0.796574602698701	0.863878021788634	0.704764177297639	0.630807281635013	0.911729171555559	0.790389522998583	0.813702312166982	0.626344716908975	0.857727957519379	0.773485994535925	0.56184280041315	0.891695277229933	0.423575999962783	0.875574061851141	0.912585188326045	0.853611296992326	0.742781791993762	0.607078406016512	0.693294859039605	0.942190774405327	0.377481865221936	0.939368419297036	0.847678301582803	0.792924998446985	0.775604045941243	0.887175660906153	0.0902827735466505
PLXDC2	0.955380564479153	0.93339464288962	0.94006354688673	0.920615456863008	1	0.886300915891583	0.858959819121819	0.930813875752082	0.89749544913834	0.959551550097725	0.741882072106834	0.893081594580242	0.844266219586521	0.939569260922491	0.90843087560247	0.939808235352895	0.723726620917984	0.793060816848828	0.955854813058379	0.929585162499829	0.850056625982706	0.783613265102048	0.936710840125302	0.930487998859859	0.497900887868338	0.697604772081209	0.786162291251676	0.900169745717208	0.75166611879911	0.764391029857199	0.943044288912655	0.684126660917962	0.757929173282236	0.834201404189506	0.910909518480613	0.508784760882853	0.737889846728271	0.729897027564914	0.867076948994938	0.770178638365341	0.739160909725066	0.883976412700494	0.721214177915784	0.836172596335681	0.774236787316244	0.932577281564141	0.944834789967902	0.858395380871433	0.907651296742078	0.897410390463645	0.899889035623808	0.807789429875108	0.856922487092732	0.880716493732444	0.774459130906641	0.799884056349006	0.861826814682154	0.839957683822567	0.920775673446181	0.919818339259134	0.844275910900859	0.935087669385883	0.752599748198438	0.808402405725285	0.904047877747844	0.945295513750814	0.850914068843912	0.856224518078206	0.808568137079262	0.839001073008087	0.591471486848686	0.794086550419701	0.848867070383268	0.781947637870247	0.865570894297473	0.796172729658076	0.312512172575622	0.808894889331959	0.589558974988147	0.903037153392215	0.648846262144268	0.598484432211623	0.56759174036634	0.829834236333466	0.80854380317597	0.855999113240554	0.783849468993814	0.70918423524608	0.833833651390292	0.937031635618606	0.545932507782708	0.704064111943497	0.550746998690958	0.714902056360435	0.604564549049854	0.859135506069649	0.876462529843995	0.805741649896586	0.795498380042026	0.920617517492877	0.765927089828001	0.892321757137571	0.726579388727091	0.871299993362242	0.808244734844352	0.684285657536223	0.898129849332614	0.529565234897344	0.853894466511245	0.934809742979955	0.887003802737211	0.675315148116642	0.686225517639712	0.64953584254537	0.893279260587247	0.471148603066326	0.892442515448298	0.867463210790232	0.797642282627287	0.832278898997213	0.869061169656091	0.0873304942559441
ABCA1	0.873633974817883	0.851552587725644	0.894352466867542	0.764819324194246	0.886300915891583	1	0.867637327105093	0.886429468692227	0.70028691815166	0.89042114009001	0.895487412289182	0.869833326660942	0.808629575575809	0.933793455001614	0.91294144858968	0.928277789350024	0.884922253111715	0.646702401474444	0.901058981309579	0.890079280529225	0.842935440080546	0.819306801708499	0.833437506322422	0.871023855571309	0.66610774695963	0.727297300445072	0.878798875984653	0.844914034925524	0.808264654221554	0.878259477793974	0.837288112860921	0.780489691152788	0.745683724370912	0.780398274743012	0.862850245032593	0.597996036058931	0.79980767089198	0.793386909045966	0.900790229411497	0.728356086890746	0.780391596076323	0.921128240919855	0.871612231283453	0.766357251044808	0.784606791983117	0.880517038381892	0.843663053703443	0.81149643796786	0.944927334661507	0.902158057983344	0.736098658623521	0.8295513590248	0.875067264442648	0.756756284010924	0.534187892436584	0.897951489351312	0.813868702828987	0.712621055435696	0.925480163541938	0.779177228341918	0.847400175443089	0.919840825380997	0.564778014362303	0.805631996836678	0.876398883472203	0.857708522887443	0.666828392905873	0.917869082619728	0.792205348442153	0.849805236804952	0.71732901961626	0.842928212977174	0.865102262450729	0.72252160298934	0.828642236420783	0.792953983264011	0.475792340668253	0.8178166390834	0.651380398339056	0.847894296474765	0.736398105361064	0.63250618625353	0.626633555078504	0.804755040999404	0.806229482268473	0.880935706545821	0.794300180099131	0.73775675740663	0.770464876463084	0.781103218947882	0.561956003406526	0.799949738717095	0.718556491941776	0.776039180790079	0.753625889157588	0.81853449274265	0.77521595404718	0.85254591118053	0.773274862994903	0.871586995091417	0.761303009983204	0.892579155463043	0.815608332053702	0.801203442405053	0.842150279557093	0.745829897825691	0.841863055923001	0.605442287216328	0.723287918580788	0.856427831961528	0.868886569007476	0.488744988964025	0.759920039596622	0.563802509178273	0.76113017390981	0.561527276444466	0.784743355706458	0.8567301247289	0.793746234552811	0.794036133677346	0.836039038174494	0.0838722530886285
CD33	0.869380510004376	0.727266136963058	0.89473663584799	0.772936359565807	0.858959819121819	0.867637327105093	1	0.882941050906294	0.74434534931839	0.858432413895167	0.727674237988476	0.873638762443848	0.88718667463519	0.924409361534923	0.906590482001899	0.837140116246902	0.74075643629694	0.611946542287659	0.853939001488261	0.846719952602989	0.837188025501314	0.686855943776766	0.796111770364572	0.88200035502943	0.640946174021432	0.517006950539075	0.908911602622236	0.757537854564782	0.661341995039368	0.794258448608533	0.847004747896018	0.619090954987656	0.74425515419298	0.772833425101294	0.905648465763986	0.500592854716664	0.633400374741101	0.806328614394517	0.884712875316464	0.826296426564066	0.848332328270224	0.831225016303446	0.691006977274098	0.700057076990953	0.734905786805356	0.787072783279808	0.850483007124444	0.885295719646848	0.870404920187028	0.891745611155386	0.797805852027489	0.797073925091072	0.799008187028334	0.677186625214767	0.50434359511923	0.8112680753921	0.8374590466822	0.669744031672524	0.867790228540328	0.718542722407529	0.735339999437015	0.831315329976904	0.534145006683478	0.790966136138187	0.810641150213779	0.806318440351394	0.658407487470019	0.834480487293422	0.66828328540349	0.852064172636651	0.577991821290693	0.833308971167078	0.876877821101724	0.789217171985603	0.773940170764134	0.753625347552356	0.388761685724837	0.695575041713261	0.626023003568577	0.902733998194199	0.562025615947831	0.527944702953395	0.399900310330524	0.744255257891042	0.794521817669155	0.842020292702979	0.665792411916734	0.75662484597866	0.646363343044551	0.776146651056586	0.626960906246098	0.798994147923479	0.731969529297723	0.800944193218072	0.56218712237235	0.741863212000422	0.655476394564768	0.851086427470485	0.715219972566147	0.873015453156534	0.680696073630713	0.86388861609358	0.773552117426884	0.80240655335877	0.710728269768898	0.619599011100214	0.784390797415843	0.432208234666651	0.622133769422038	0.818682008516256	0.810476172565646	0.425722876356927	0.629173459126154	0.426100424653103	0.778666538295621	0.372172416583754	0.790757450681485	0.748686814501444	0.652387053307164	0.713068100871016	0.837927513853646	-0.0622893836085153
HAVCR2	0.958399857193458	0.874226041548615	0.909620957554618	0.921864483499977	0.930813875752082	0.886429468692227	0.882941050906294	1	0.885302121496163	0.911062934060355	0.711202736578959	0.943756364477147	0.874835699408005	0.919929875616412	0.892122086732367	0.880268323861071	0.740868410292237	0.792787437437911	0.940272367745832	0.937407492599946	0.874978698607811	0.756311752429348	0.87054781495812	0.955680785578519	0.508702737568615	0.666090877058949	0.840440400384738	0.88810792665795	0.710858881897703	0.788128471289569	0.954100733011816	0.663659629728693	0.708549072011401	0.806860378765104	0.91889077828237	0.432778527674954	0.695798217176628	0.812673395029551	0.902029838084579	0.759545330266638	0.768055856730356	0.873214604155226	0.744000877743278	0.859572369192652	0.787389271878914	0.859551870263829	0.908755569108326	0.900255303922582	0.894021755175165	0.863368793724577	0.889201994202703	0.764480881569267	0.841927702461495	0.82315945533315	0.734937795429842	0.780082335837943	0.902250465718815	0.823382282908876	0.900157188652466	0.888748189137717	0.829282211464473	0.911929381631249	0.775231066620688	0.799666196177234	0.8672435293549	0.915255082868139	0.851708518224164	0.84589213738479	0.751362959494024	0.891064857131092	0.5664107134811	0.799299242142991	0.914196676481782	0.761498772442807	0.807109547994683	0.721821462712846	0.319226657622747	0.760742181156591	0.558189497458143	0.881780678396253	0.626128401724228	0.55982211556201	0.49630493786414	0.849175344761486	0.872428038096904	0.856047572609011	0.786646032442085	0.790823530080655	0.8091740879731	0.88195209627344	0.580122065259569	0.75670347471161	0.641043870578609	0.772879483262961	0.583582549708889	0.852102378586741	0.806897555570955	0.802496002296374	0.729308640527164	0.938075758366571	0.781953346180296	0.879173381754657	0.729241902056416	0.87892209889019	0.791742048981841	0.649446040233214	0.880356785224704	0.443425157248602	0.799105052585594	0.887103838979224	0.879400210715177	0.610731898321775	0.64993700734281	0.610593441076085	0.921535064799407	0.393269235127194	0.913908365471937	0.858313190171653	0.760769215445296	0.789934515831698	0.913298845081344	0.0101217988551202
TREM2	0.921678910556337	0.867615541602106	0.805535867654984	0.970671644188286	0.89749544913834	0.70028691815166	0.74434534931839	0.885302121496163	1	0.827063699398291	0.441868554900274	0.828754571150232	0.730964942199171	0.774935696484609	0.714711572062355	0.753460322435287	0.512452737284658	0.906962342399792	0.867998947683992	0.821114458712343	0.748909842372438	0.631223916977943	0.862203280121878	0.849620213082138	0.238787551528887	0.59258959505513	0.591407302601112	0.867176352042695	0.633928681085652	0.573253199126142	0.94288537145594	0.56437506743311	0.592671050284009	0.670228319553251	0.826729380023981	0.225028793427524	0.607426259314315	0.598950163420739	0.72651765876434	0.648416205396867	0.551863325304661	0.722807672914454	0.543491657507717	0.794343606720371	0.721343605177529	0.801421683671768	0.894315384278902	0.844145379847141	0.726798806766492	0.69573003714945	0.943965691476352	0.633492658093438	0.686210844182172	0.862646470866441	0.932455409067649	0.532642889926934	0.831305501338863	0.850558040890732	0.770976350795355	0.89158784721714	0.741988656518657	0.82410233281916	0.884761357006834	0.710485867953772	0.806160331774156	0.88540149818833	0.968903516697652	0.641027406136259	0.681530867753297	0.766688464605824	0.396748917908502	0.622558033475128	0.75803812715767	0.660138141868094	0.720187214787963	0.601823481142613	0.0225311321241214	0.638841520407159	0.36614482935734	0.78177014628905	0.515182093560534	0.529561543976659	0.347714073926424	0.75316965018105	0.753756452702358	0.745149005126103	0.695760182835654	0.667294793110289	0.775791550362141	0.947161260756509	0.441227406034534	0.514383221763298	0.354473683300202	0.563676308208709	0.401695622132805	0.752509111189835	0.833842611965901	0.610127986993764	0.594278145946662	0.875089044052117	0.73605887959382	0.729025567738728	0.52989833946296	0.845583374063061	0.703497440938544	0.511141093197785	0.849119157395401	0.388776664899136	0.872423187753597	0.885709682597623	0.785233120995202	0.768156138340458	0.548926296508103	0.667002797110973	0.94376826051824	0.316440875813097	0.901686689619378	0.787703234112863	0.750131281779716	0.722210338727139	0.81677685858721	0.0758200789622166
SORT1	0.915210641888176	0.89491746890185	0.919867661988013	0.878215932840501	0.959551550097725	0.89042114009001	0.858432413895167	0.911062934060355	0.827063699398291	1	0.77627588193862	0.889537606835189	0.843279402577928	0.940529014758084	0.914246079402139	0.940226741281481	0.744745936500805	0.743313491361351	0.937835080891345	0.93028337172234	0.818489405094254	0.762867847498767	0.895827160474461	0.922821471093864	0.547992780761645	0.68423176472196	0.803154952635307	0.868889691327707	0.751098601334582	0.795217019604733	0.914461134499329	0.679676850239456	0.795147809315476	0.832288185832853	0.885605238535513	0.523658135371396	0.743308620713167	0.755892186453644	0.873765612454929	0.746047391844554	0.765749576301539	0.911634301386906	0.720656153769268	0.782743393460531	0.776514308972755	0.914251191246898	0.88141419030282	0.840470854462869	0.912125195091923	0.907060717645584	0.848851157350746	0.848664594483918	0.884387379461877	0.837808202678756	0.69955773242058	0.826116608427603	0.874223087124854	0.840207889869198	0.914559720915822	0.872056500285248	0.848212808036462	0.941222412125412	0.672288558379301	0.784238901884357	0.880139682725353	0.9359717538392	0.797111545127054	0.858822079600106	0.798673055134282	0.847716398780522	0.638382447459434	0.775631435791534	0.862148151952053	0.804948938953372	0.855181768568297	0.784257834930767	0.417322043597725	0.813660217685918	0.632279991952879	0.887942176150112	0.632505119704397	0.600647408127078	0.615475430536444	0.832548799790733	0.805505647286211	0.86375052071443	0.787282559324363	0.715024313662357	0.807056658389442	0.879057162229517	0.544864703559197	0.702222780068491	0.607737446508735	0.761766215540615	0.621668142797921	0.867076860475003	0.840654857888912	0.844980189277961	0.789318193375842	0.914640074267034	0.752493969518995	0.902910316522898	0.782135019995287	0.86420056387951	0.823975980420934	0.741416722795744	0.889217064602215	0.565245924496342	0.802007549909267	0.915598886265585	0.907625936315704	0.649381973834764	0.702492529018519	0.663534582842592	0.841671761022934	0.535607869977961	0.8858748027707	0.878062960898021	0.781098436556527	0.85151496414594	0.880160889009532	0.143291479029591
