""	EGFR	ERBB3	NECTIN1	KLRC2	PARD3	CANX	APLP2	THY1	CXADR	ITGB8	F2R	SMAP1	TFRC	KCNJ10	LDLR	NOTCH1	LRP6	PLXNB1	CD99L2	NOTCH4	ITGB1	TNFRSF21	IGF2R	KCND2	PTPRS	TRPC3	ADCYAP1R1	IGF1R	TSHR	CELSR2	PLXNB2	PTPRA	NRCAM	LRP4	SEMA4C	VLDLR	CHRNA4	LRP8	INSR	GPR37L1	SLC16A7	LRP1	ITGAV	CD81	RTN4R	PILRB	SCARB1	GFRA1	NLGN3	NCAM2	GPC1	NLGN2	NLGN1	LINGO1	ROBO1	SLC16A1	APLP1	MCFD2	PTPRZ1	SIRPA	CD9	CDH10	TSPAN15	FGFR1	NOTCH2	LPP	NCSTN	SDC3	C1QBP	RPSA	NCL	SORT1	ABCA1	SORL1	CD74
EGFR	1	0.618707450234407	0.688851360232964	0.757125666234813	0.800725978690392	0.779157098608906	0.794196887029678	0.521245071452969	0.611295542630385	0.874909845538988	0.743294952126128	0.726361282020706	0.785184472070319	0.728024637264051	0.605288280489181	0.700745467782685	0.757534096763654	0.650393477962488	0.752206399092688	0.603741725176014	0.721116041031785	0.529019226047173	0.737121208690243	0.890135709615587	0.827240243266173	0.746804864526091	0.876309049219791	0.82644018947313	0.781441382161994	0.714756321527508	0.732597973401175	0.826283744365953	0.809899079577437	0.884395283309944	0.693777597563327	0.63040276172601	0.621683804790091	0.803404642338604	0.783399395861141	0.569674516889112	0.869667522927598	0.765758590664106	0.811720634301995	0.730412576484958	0.56934516987935	0.792895047012455	0.51989876619231	0.792634267147156	0.655063894050845	0.927941600656648	0.616857019223475	0.601446553004219	0.833343334751628	0.763541972145375	0.74516888161624	0.676231168276929	0.548657745595732	0.787645378884615	0.773630641199138	0.774712360328507	0.761539114520503	0.847650230187081	0.647901391160673	0.816961073578757	0.854730096948148	0.884794019627912	0.78383404099193	0.784264303555725	0.580483934034173	0.625488499841926	0.796978110792536	0.775112820285124	0.831155579559358	0.512346901479625	0.19153041021555
ERBB3	0.618707450234407	1	0.925136297547895	0.863486742600001	0.880768493596457	0.934943698833588	0.927955926729624	0.927315682639139	0.935093698265437	0.87440219043512	0.916796246005138	0.92819050925806	0.841206550118879	0.957988532688875	0.934173751726492	0.953675911243533	0.928961470169156	0.956731780806981	0.898882358519072	0.702184574046315	0.930442538418536	0.949591155328284	0.918607912277812	0.755623332536206	0.834480222150603	0.895885038004296	0.746858684899494	0.912014346895173	0.590358487971947	0.903940657495495	0.878124152925682	0.911769413156767	0.911439249151575	0.860115558823201	0.891440889220925	0.907199560547827	0.918395851923073	0.902431249682039	0.921993591073046	0.929540888699409	0.833611997969308	0.936345460975672	0.882663977385811	0.912768123403974	0.924639860682211	0.875755939767848	0.946058389256881	0.908693705590528	0.959244514598931	0.816462347747545	0.933413446333638	0.951759775803648	0.905369597255105	0.887309965555959	0.945932034901548	0.936296494145422	0.924743734068123	0.909446318058536	0.925006716857196	0.825707802920241	0.799447393797429	0.748050778138066	0.894868153107365	0.892266450947522	0.792298681641578	0.772426982178032	0.876734079799288	0.908948057552052	0.915577107127323	0.92235278438911	0.900235667950182	0.707612572545881	0.482813868951802	0.172544850351957	0.120982171178739
NECTIN1	0.688851360232964	0.925136297547895	1	0.901301273163678	0.90417215094506	0.954169162290652	0.935154704631729	0.925763752074385	0.936676579095329	0.894165937662982	0.928367822066056	0.946913229402393	0.889442446509082	0.959470179046341	0.919324467838229	0.947199609574774	0.926007708166936	0.937806683057704	0.92202742246237	0.727262152977171	0.924877943830543	0.935998991759328	0.895414997885444	0.800375459757593	0.846503032810156	0.899409274523618	0.815755199523964	0.923885119180506	0.663686402757068	0.913371501289857	0.914119555601971	0.930254148183535	0.932896310667124	0.895360692431603	0.884879733858672	0.883205550127371	0.938047931971759	0.895990758022688	0.923196484589045	0.937272188741873	0.841039574570158	0.958790232274891	0.911632362423997	0.940109889341027	0.915851615496791	0.880130463677994	0.908961075348244	0.933700652665611	0.955433347102795	0.856831014547846	0.945672059369442	0.955125666872899	0.921815199600506	0.923449214851789	0.95590266483704	0.924723614993031	0.912799126613763	0.924001308365513	0.935443640755742	0.840411930164372	0.822709475534364	0.769519459896981	0.891028143892377	0.9219700129115	0.826653437070452	0.800053284644658	0.920485341372361	0.939433569071079	0.932847621378783	0.943120484741278	0.915260130087913	0.716554413481205	0.538258579812866	0.18765021562448	0.119687468043178
KLRC2	0.757125666234813	0.863486742600001	0.901301273163678	1	0.889563497443825	0.927188018325281	0.912784202624436	0.877812559696968	0.925258253393798	0.901050830708246	0.905576887956459	0.938981658557276	0.85907141505424	0.91623224604035	0.846105766627637	0.912677715018816	0.891584963805741	0.862946097219916	0.908504612679114	0.767253012489424	0.882839688498242	0.862046243804309	0.861116773647247	0.839010379282385	0.842013073823964	0.866873099960644	0.831270533500926	0.90041916427605	0.637899714573593	0.882010182055073	0.886288089610983	0.925786977969275	0.922077632111297	0.879257430067377	0.86686125706559	0.815996477925509	0.869497097602701	0.879107770002427	0.876573583864439	0.862657642736762	0.855877003257987	0.931037221340695	0.903767712116707	0.92993978509345	0.843772114266501	0.837027960116771	0.812919469467286	0.919681966612722	0.917188190207646	0.872644271393476	0.904378111707277	0.911162273353152	0.912358216364002	0.940355654690857	0.933625537944116	0.88268002274129	0.831150252319032	0.931053067822359	0.93900879380796	0.843863901001284	0.806298312505687	0.873484200533172	0.845855388502126	0.918345734403342	0.843297876528841	0.783689183531712	0.907453482579842	0.912667017133796	0.899074335903007	0.925635354727511	0.906933675621987	0.679945090543896	0.537676917487805	0.17904626959814	0.0981876397321925
PARD3	0.800725978690392	0.880768493596457	0.90417215094506	0.889563497443825	1	0.946994803349498	0.939952650869217	0.854766919556134	0.876687010766997	0.93224075898461	0.924074312605209	0.934750998804435	0.896307383153151	0.925161103840698	0.859383788354029	0.91703144614731	0.91498903675948	0.900213501536936	0.913316346808334	0.722778587663799	0.923453068920795	0.853511467084634	0.898105012903543	0.85511354250179	0.887797711219256	0.886960245063729	0.869199106531069	0.920387301555452	0.691733998626748	0.896474733684048	0.904130393422236	0.94802920286648	0.941009238790428	0.926719576773078	0.88024686898763	0.852819026218859	0.891918125419468	0.918574489366447	0.916404267869011	0.863555488210173	0.892215020134126	0.937735025265696	0.935565030453835	0.926594389694528	0.857974997809679	0.895612878643478	0.835728752873988	0.931183659261167	0.91030005256202	0.913744055326298	0.887349030964377	0.89202196593575	0.945747412355312	0.921076419813016	0.934464562100872	0.904323206034134	0.848276524044945	0.921460478906659	0.928549261775328	0.868842589197294	0.816014830507586	0.821580263649398	0.865207856047302	0.923287159682875	0.875730949918314	0.867844573180315	0.913840992761848	0.937471474874543	0.878603614653285	0.891136916363072	0.928899153841371	0.727530645195908	0.651840553942101	0.31058320401219	0.151443904341658
CANX	0.779157098608906	0.934943698833588	0.954169162290652	0.927188018325281	0.946994803349498	1	0.991038824644933	0.91358192612925	0.937817007813845	0.963073333119797	0.972332604166741	0.968828414864102	0.924632530800203	0.982187291652721	0.926378070247811	0.972254274477681	0.971847602309527	0.944244865693585	0.940290841534472	0.755962064167545	0.973420885918428	0.920519217359861	0.951391586287853	0.860500621038812	0.924248733997416	0.936493946584084	0.864945153244087	0.966946665728505	0.708548729362612	0.949777732405731	0.930020723528936	0.986024734661927	0.977556119825621	0.945036154097145	0.923942472904806	0.900068077227446	0.918107070960192	0.953409347638117	0.957927691694281	0.916752350411599	0.919562315048744	0.974468214170022	0.966037462429246	0.9627096085203	0.913106835781038	0.919484075872066	0.905765576420691	0.975968123652265	0.966942361852979	0.931399428033798	0.940063983245216	0.949700413348096	0.977799544224222	0.949960843958839	0.987139633919258	0.954386356681839	0.91302074710766	0.969192771852958	0.983116711310561	0.890513846956807	0.856198943545976	0.837460191193007	0.915600713052998	0.953108016425937	0.87632876101695	0.880541837758559	0.941126062651491	0.965846939307161	0.923339207190783	0.939583690713438	0.978742625738819	0.777945573493636	0.640289025118406	0.293531869952304	0.163076614389362
APLP2	0.794196887029678	0.927955926729624	0.935154704631729	0.912784202624436	0.939952650869217	0.991038824644933	1	0.887861955620852	0.920228456710695	0.967272708541525	0.970229435536094	0.95466184628403	0.926079473920327	0.974463499537213	0.916480121812604	0.962308317314063	0.977273921568246	0.932218983497861	0.925441716399777	0.753414344262978	0.976451820626619	0.897056910121282	0.952189475590672	0.864783740796433	0.935176788511514	0.936577137778639	0.858001891135056	0.972765432070423	0.718992961411525	0.946450004690215	0.922354061328031	0.98686086727458	0.98183626291522	0.944440999857415	0.922797743773815	0.896388593992214	0.894577668607943	0.963912666264877	0.956209116557072	0.894385998539061	0.93475645056148	0.960642631953591	0.970982381643599	0.948074186205976	0.894318092061532	0.922268468836308	0.893237642158629	0.969687036782073	0.949267701693075	0.939809257380957	0.919831065870107	0.929903055340077	0.979820414709953	0.932295422522967	0.981721146871064	0.94943100395852	0.898555016797976	0.967345598627027	0.983324372926686	0.9009555552075	0.853277749550094	0.850554404816979	0.908086033932377	0.944346367768663	0.872748536581612	0.901680487109421	0.931623952587789	0.953244681237137	0.896565114792743	0.914329989946344	0.982858549237948	0.794550129913825	0.671409786422435	0.332989720355836	0.186645484124117
THY1	0.521245071452969	0.927315682639139	0.925763752074385	0.877812559696968	0.854766919556134	0.91358192612925	0.887861955620852	1	0.958296838358208	0.802945236128457	0.903424639327691	0.942094020147147	0.799100611244831	0.931267333832905	0.92437832949426	0.930498031051247	0.875193440756842	0.930844130276947	0.880026405111883	0.732678173421383	0.907651340111151	0.978802619427393	0.858406286008904	0.688840638459582	0.760536045625244	0.839651585384853	0.718677025962574	0.846794218643398	0.526579222954823	0.875418645748016	0.884417710799508	0.878761621229083	0.871173642333401	0.792802246748758	0.877059012206446	0.886047413221125	0.948293708714038	0.842744445875972	0.860603576508246	0.960593861676525	0.751856681508177	0.916023278047507	0.839461147588316	0.944728393680118	0.950133310958142	0.801877612954701	0.93922594244162	0.883919349736112	0.971260379752538	0.74326534803032	0.969226977854267	0.975603809295696	0.857802040604278	0.902800308001777	0.921445215811618	0.930333052793499	0.95051477868961	0.883512216378566	0.89209837896276	0.794043324253276	0.753148825767508	0.670611061786088	0.904878171624663	0.840840562251097	0.713114834392898	0.677990243090529	0.879311548511434	0.891079218513552	0.982626787717304	0.977188560973571	0.856880275400515	0.578375447616312	0.374140645947866	0.054440983996843	0.0778610708593669
CXADR	0.611295542630385	0.935093698265437	0.936676579095329	0.925258253393798	0.876687010766997	0.937817007813845	0.920228456710695	0.958296838358208	1	0.869927952140842	0.92270874951786	0.951310819314331	0.844872292115027	0.949867882720973	0.926698910903922	0.945505498202991	0.921030018190016	0.931099619817767	0.900420018807825	0.741796716733319	0.918107943876379	0.959205903505364	0.886851171424439	0.765496185811135	0.813480748940669	0.875091616854254	0.762009777787582	0.890099658169285	0.585732203033592	0.908568458282068	0.903358875931369	0.91299520694104	0.908644537768131	0.854606318349109	0.874610927595102	0.878208565683398	0.930729025609107	0.873313119942936	0.893353678086672	0.942916523435598	0.81918359819125	0.944897021225675	0.888762443526993	0.938311708183834	0.923119097215964	0.832155501941662	0.912177292791966	0.920516721027849	0.971694304790344	0.80362051593179	0.961202160161763	0.966186950433912	0.903054969985296	0.920490025720928	0.954647977730746	0.938535576624321	0.920190527384574	0.912907444222035	0.94234650694294	0.806666521028872	0.78219699280036	0.779953717818615	0.882557764715432	0.904919679109914	0.796665376612077	0.742290037945482	0.889487377245918	0.919565743531365	0.947205288780392	0.955111298021454	0.894370102864393	0.6510577912757	0.448163915868272	0.10674944486123	0.0857971087437595
ITGB8	0.874909845538988	0.87440219043512	0.894165937662982	0.901050830708246	0.93224075898461	0.963073333119797	0.967272708541525	0.802945236128457	0.869927952140842	1	0.929989113081392	0.918777462652493	0.925211904762715	0.937372238255652	0.862547697084639	0.9276842885932	0.959717531135816	0.874857593696395	0.904500791448665	0.707126368365085	0.927118222929495	0.820460706761435	0.934881986009226	0.908444404715901	0.940382361656783	0.920562099784067	0.88677551008112	0.96295345094417	0.748450012622702	0.915425792993143	0.894681821201395	0.971611637166431	0.964076187214804	0.965096284462178	0.872896137533081	0.83578967449851	0.833428377902171	0.939895398284095	0.939999141732997	0.821346320168286	0.946440438097209	0.939702613030181	0.96290685263158	0.896523998727692	0.811561811266736	0.90655399649327	0.808808802552053	0.959808677939007	0.896063557173722	0.968376367329248	0.856936561474979	0.861748716579569	0.976242221966298	0.914296177346689	0.952926062953784	0.901662775540954	0.807928690204232	0.942555839863603	0.969328108833617	0.865146478656052	0.839863210623164	0.888064697418247	0.849029843139322	0.957517674287402	0.918136337893885	0.921866336086737	0.905240922930431	0.941845760200421	0.818880017145283	0.848405971140821	0.967492375786436	0.809977865112562	0.731617675137271	0.36720193275552	0.167411462787383
