""	SIGLEC10	CCRL2	CCR1	FPR1	HLA.DPA1	LILRB1	ITGB2	CD9	CD40	CD86	LILRB2	TFRC	CD53	ITGAM	VSIR	TLR2	CXCR4	NOTCH4	CD4	ITGB1	C5AR1	TNFRSF1A	TREM2	APLP2	AXL	PILRA	ADGRE2	HAVCR2	CD74	ABCA1	TNFRSF1B	SIRPA	TLR4	KCNQ1	GPNMB	PLXNB2	ADRB2	CANX	KCNQ3	CD81	ENG	ITGB5	TNFRSF10D	LPP	TSPAN14	CD44	INSR	RHBDF2	ITGAL	CD47	SCARF1	TNFRSF14	NECTIN2	LTBR	PLD1	ITGA5	ROBO3	TLR7	TRPM2	RIPK1	CD163	TLR6	IGF2R	TNFRSF10B	CD300LF	TREM1	RXRA	LILRA4	TLR1	PLD2	P2RY12	IL6R	SELL	TNFRSF12A	UNC5B	CADM1	NRP2	STAB1	SORL1	SORT1	LRP1	SMAP1	ADCY7	NRP1	PTPRC	SEMA4C	ITGAV	NOTCH2	ERAP1	TRADD	AMFR	CD33	PILRB	TSPAN15	PTPRA	ITGA6	LAMP1	CD69	ADGRE5	SLC16A1	SCARB1	PTGER4	NOTCH1	C1QBP	CLEC2D
SIGLEC10	1	0.807748243939945	0.80987489222794	0.865158155574836	0.818584935977712	0.913681856583752	0.839017202714272	0.691863957393393	0.866018086292548	0.923013608534938	0.831793925643489	0.817813432242908	0.875815190744436	0.825670769240526	0.874928770586713	0.876892801934908	0.773498061469021	0.484414281565971	0.946138326575686	0.92594523998768	0.835760692611699	0.922470258333511	0.783131238275974	0.965197907958547	0.932234900910694	0.90908472445554	0.805891616411553	0.949471016955167	0.885164119165216	0.948838200086032	0.947625703453674	0.910466902224453	0.768184496836421	0.838260851732056	0.725506599822147	0.873019813446262	0.758544194936621	0.932053639448599	0.899982499643557	0.876785263980157	0.782519959629533	0.807611649066142	0.732404481171163	0.936819893650001	0.953560758082894	0.818974391013981	0.610257537268508	0.882728241166076	0.777631613087743	0.892000332830814	0.68961520682458	0.876152168409124	0.827684761517854	0.891922476436451	0.789141735150641	0.813828866698098	0.771533543745839	0.891300277726887	0.846822207744696	0.853756686705806	0.592276191218467	0.74908735401322	0.836570684433519	0.860948103499232	0.863749678643546	0.704772554761766	0.898468140699911	0.818884950006513	0.866010983690675	0.825940997985005	0.915078372590595	0.841662845130604	0.822536463993296	0.83342588864821	0.874838113358804	0.780073141176545	0.907524678213521	0.838238030364457	0.904788437694115	0.936435067074591	0.944412268809487	0.901098070913324	0.821546060701598	0.819953635744685	0.972298101797266	0.769901128813692	0.913503174518902	0.858026603213131	0.790516765155926	0.842816020987343	0.831021388301088	0.876598420605253	0.511980241759173	0.642529128237192	0.900795331675496	0.66579147159038	0.898479113423795	0.681187480814277	0.787540915119214	0.725628227883476	0.882932435272388	0.843495576080777	0.636052681881963	0.871763321173908	0.540508488847172
CCRL2	0.807748243939945	1	0.613427657539718	0.779812943319036	0.653013890270147	0.716554563322007	0.617689665501221	0.487343764356005	0.849815428996193	0.747374995356409	0.686849237036724	0.773179298363512	0.615462342026536	0.717965536954015	0.720138233709613	0.845839944137192	0.88923146003965	0.469631262640521	0.815053547399018	0.705431601544803	0.930652086927592	0.770843894044038	0.579203958175664	0.820568852742347	0.762295890240989	0.728606779301614	0.810894706425218	0.732505201705544	0.746169144635876	0.851389806033322	0.80056247291075	0.762642402785781	0.623612897954248	0.684895369639439	0.494653864821083	0.647895596686006	0.69462633436021	0.744747270179648	0.80020585061639	0.66286566339602	0.520052110276584	0.690422526030041	0.835953670732974	0.717782152122057	0.856154783427076	0.58285639870789	0.501010036338905	0.804336925424396	0.555337723341882	0.689488964795389	0.581222075787733	0.653813935374435	0.72614345487943	0.636100845891215	0.666484844115842	0.699411644640282	0.652084011587888	0.81543994714683	0.769750263553361	0.803706521265791	0.416542551492039	0.601101813370372	0.653168801307031	0.924891532654986	0.717071729969445	0.768801913291518	0.765616104569256	0.663359100812652	0.646214221047907	0.685825721030606	0.750574293951331	0.71877989568338	0.729798329497361	0.703737566684875	0.78667204109305	0.632830148556935	0.743417854311618	0.823011256902768	0.745934855716498	0.76761346899743	0.788863787653179	0.707420820483264	0.79864249911777	0.785280738745689	0.800527324719092	0.694160316587849	0.763799517441131	0.663565758496993	0.683020406018767	0.597578039308406	0.691532284384202	0.649644526242514	0.491474792801071	0.584929674526959	0.682465500069839	0.478261157392372	0.709845604595291	0.866783753225274	0.638117772964248	0.844014195267306	0.740614659828599	0.899992155096282	0.636779446898447	0.64725487482424	0.423591862089759
CCR1	0.80987489222794	0.613427657539718	1	0.771173892194653	0.905829284970132	0.829155312333051	0.822814775419554	0.719698591831397	0.797454560233338	0.912422284711058	0.833647984925745	0.5285297484142	0.859049616490918	0.863649661228051	0.813820433776662	0.711087794732446	0.625800769630894	0.0651407786848506	0.852091853972543	0.836273440821709	0.67467593027726	0.866737959796939	0.809570448019814	0.83829126953893	0.908936458637006	0.915689252352122	0.580161838759	0.857626478369969	0.917707120154207	0.776889646464935	0.800490743694996	0.82177811475653	0.461325024821725	0.845380035324276	0.771643944207331	0.819264060997345	0.762524961185056	0.85295128586011	0.689566939925741	0.896371040492432	0.775967806214715	0.802237518592911	0.527251117349385	0.811382932575789	0.775671462902849	0.790975524733857	0.450243310566766	0.777352495413734	0.625420418756793	0.825047367827951	0.741432067592722	0.88983940213023	0.811068512897865	0.782815695682445	0.737221535032494	0.737470074175497	0.598016123810169	0.830646826992073	0.784162183123103	0.677470789039808	0.708378943397089	0.568476523233557	0.746658145727307	0.706220575604861	0.825410544621905	0.590546287131905	0.785979096086373	0.797191388913984	0.795829581846541	0.7238128543868	0.765710502844799	0.594721000565335	0.593703083320968	0.764887995984534	0.718736963906427	0.698183692038743	0.770913443972849	0.632224518924449	0.855411155539325	0.823771150877681	0.840318306205635	0.839832546587795	0.778696882656142	0.792511417535164	0.819704613919616	0.61715059429596	0.708288656289028	0.743708663008372	0.6951292354292	0.790048213528705	0.730101675197412	0.854954833100885	0.421171848959948	0.736109850074037	0.804643301702001	0.664877644126251	0.896845124444364	0.43404537788859	0.619056360397924	0.591209447908823	0.749000678669876	0.58493217669323	0.444320970698349	0.896790442021479	0.318763489299428
FPR1	0.865158155574836	0.779812943319036	0.771173892194653	1	0.663927596102151	0.874553897680891	0.874384396959246	0.815284801000979	0.804533193536909	0.85969766111968	0.818558008009322	0.836899163286345	0.858934664905396	0.802249232349053	0.672644356841099	0.750398362885589	0.670484330503136	0.357482461744193	0.905931525122443	0.926370324324241	0.85474067131374	0.863796970481636	0.86088780747875	0.902731245216636	0.893850738456743	0.834077944715346	0.90358881937905	0.919639996626359	0.762272414532052	0.8071329479876	0.911554425138851	0.949057863018636	0.517023938037417	0.682963005848903	0.695338582075414	0.741531173984918	0.687015697504071	0.919738202726975	0.745031010686288	0.861386367455775	0.859184672934748	0.89219805158223	0.787149649337981	0.897062523632845	0.8593309341782	0.700346556102895	0.372138933695481	0.922635703040245	0.830334703773697	0.867630080809818	0.650591605067108	0.745607087729596	0.852174825234516	0.697799842179006	0.867366730138317	0.686156951583981	0.569922690120173	0.794249752920366	0.792218041072069	0.832492484899815	0.480674703117047	0.533963237614779	0.803351747993173	0.815396460042018	0.762242321534958	0.757762609735164	0.813385614819394	0.875022917315295	0.740943137404634	0.794924353650296	0.77204506160671	0.882995555860565	0.858668499602035	0.868673493996304	0.790710535248642	0.843772893461622	0.823701991848103	0.738884054079639	0.757124122831463	0.917657944841776	0.88551507185768	0.83719577046624	0.777189509065014	0.700203936482442	0.870408982783482	0.555515575169112	0.868411272873614	0.644144831724064	0.718937077314155	0.727249070967868	0.739879242828756	0.802126459657594	0.304449473588645	0.515906842534717	0.777381069101796	0.82749950967032	0.79972495791586	0.756083197353582	0.833056219454148	0.738408521947023	0.706048654002647	0.749979833327018	0.642523653375863	0.850354340730136	0.381160777738697
HLA-DPA1	0.818584935977712	0.653013890270147	0.905829284970132	0.663927596102151	1	0.786585440016281	0.750491121996665	0.604635368001171	0.799194604789486	0.914795774956207	0.805942696727024	0.46866612647134	0.817203327546326	0.860782329546944	0.883689541962461	0.761239842943897	0.660847643486991	0.0729368561752572	0.862221279128239	0.766408536956015	0.648767631053091	0.863700014608105	0.729715710312959	0.834078503774405	0.89423805509013	0.933748737635044	0.511599129714202	0.818814830951721	0.984219486699957	0.814875399829868	0.791318192230449	0.758396662751969	0.586041251048028	0.93725507001562	0.725309703242313	0.803528026349661	0.78609279946022	0.806436703199852	0.746349014568575	0.859694295276514	0.648796170961294	0.750331803257726	0.505628844318365	0.763862866954914	0.792642415069776	0.8066855736035	0.467359794979819	0.74692479218989	0.505130991986213	0.754794685158963	0.754394645676559	0.899502793912026	0.769900892319086	0.794085742238369	0.651321797943901	0.77856916097011	0.633530425443009	0.872224313215692	0.757274785104047	0.670071621635565	0.717375532291952	0.625718303810893	0.682698489526995	0.725980512802045	0.854248807153135	0.548464349655696	0.781044734853954	0.721023683637783	0.837095373401038	0.656276342165524	0.824238367693909	0.512581669295852	0.550284453560975	0.691772012129753	0.760072069783857	0.613205780882518	0.719237101714094	0.699637350538535	0.924955714726073	0.784214369273167	0.830919966381057	0.83474250054761	0.775158529862946	0.850360100235238	0.813984127362975	0.655136344124444	0.666377474215698	0.830552985780284	0.720065006963026	0.779957192545483	0.743220253992652	0.87425683796294	0.456639393365562	0.784604752554221	0.818462471953432	0.519538198340966	0.920917448136224	0.39211516919823	0.517177576309358	0.584156403730968	0.810939235811263	0.630464126609823	0.390493694714284	0.859578614099321	0.354629872883753
LILRB1	0.913681856583752	0.716554563322007	0.829155312333051	0.874553897680891	0.786585440016281	1	0.849364576865675	0.729970947392768	0.825863093109802	0.908664895217074	0.845671126652657	0.740229803707532	0.861105990070905	0.831020693256992	0.796555851656969	0.776126347505254	0.707507666914259	0.339295245440263	0.926732436135162	0.924392895260713	0.79799640381056	0.881452171852119	0.799809898130518	0.921167393675145	0.912650441800395	0.890350179106725	0.768936107405292	0.931927406365195	0.850337100817948	0.851691796456146	0.911196881548157	0.887317713861799	0.651621422527438	0.798599505878088	0.726668474489524	0.871041645668636	0.764939350066834	0.90352186289014	0.785652763964078	0.868523983538585	0.835857621214456	0.810628696088416	0.656102250595813	0.92446472895408	0.87724422672033	0.787879416914458	0.54066005821193	0.853353252523974	0.796982818106726	0.877471654574112	0.707433009220345	0.856020781870724	0.784567170892748	0.800460862535651	0.794702288715068	0.737339197144882	0.654795162922301	0.836728008332699	0.830383430227928	0.853179546857895	0.572390103024873	0.687262581921746	0.787390012871637	0.798969875760562	0.823106159691822	0.660493845423001	0.880927152273397	0.843122085873283	0.826453091653312	0.837027371620791	0.856186552593916	0.796818534748565	0.832300886762539	0.812549862995314	0.792192046932128	0.776381026148674	0.849453767929458	0.707877114866027	0.852591767075597	0.913126019387576	0.894149276575816	0.866087971092198	0.801222126362225	0.768769281585542	0.917525724716974	0.68040262527685	0.84581890882365	0.773372057712817	0.777992191351762	0.841842403226604	0.78326732780407	0.878037915015055	0.403844031048102	0.649923830853326	0.85075379755693	0.720493982442768	0.842994115273951	0.607715014354541	0.768689060176868	0.672927582652912	0.795122518700296	0.748211203855635	0.542998417156624	0.87890860719727	0.492851524565829
ITGB2	0.839017202714272	0.617689665501221	0.822814775419554	0.874384396959246	0.750491121996665	0.849364576865675	1	0.95502383934533	0.737688212761146	0.903278523062485	0.852702626012171	0.709234275213717	0.978642589999752	0.743943218722122	0.61510273835612	0.569862879080117	0.473468361755884	0.126777753767556	0.88448502965804	0.948346836937193	0.720035590063656	0.796742356337351	0.979306621198447	0.904023161366877	0.923257967572604	0.897432083201553	0.752660957245785	0.925089713172156	0.787753888086322	0.747890506377317	0.81076718497202	0.941031174340443	0.467748187307092	0.707069819493592	0.929761356568281	0.766481818789379	0.594059237561394	0.939585646240445	0.685512329068048	0.973573891249614	0.919124593997565	0.922159661344872	0.577630496642696	0.863602476252619	0.780124481783106	0.900156850323542	0.294501033952233	0.792188079611828	0.888440067381458	0.878001216271795	0.55708295957559	0.835957183423724	0.843630268636347	0.749444555990738	0.871249936615947	0.607209080085898	0.522824053789203	0.730520254620692	0.677875441521191	0.703705202260535	0.637485646372005	0.39475559133731	0.917815165000938	0.678327616712105	0.830417404024702	0.56991715727288	0.750819347923513	0.939986820583943	0.731183667036196	0.78971683699447	0.688651347894439	0.799341268109029	0.820500585141449	0.797224819710168	0.706826306048624	0.89007348550716	0.840968888726489	0.571448320537415	0.728605486308401	0.860209886137864	0.886614902381706	0.924702029726546	0.631266713944022	0.631940070536413	0.83157091790203	0.519570034041194	0.876250707373412	0.703101442848902	0.608062251907803	0.868103752792874	0.828490777397105	0.843743744856287	0.212903859448055	0.417134239864516	0.832443926675864	0.895915304576007	0.892695318278709	0.492247273938423	0.863727565474241	0.539034002555253	0.73237326267214	0.599783302003759	0.536415505184439	0.931182102899564	0.301144891781944
CD9	0.691863957393393	0.487343764356005	0.719698591831397	0.815284801000979	0.604635368001171	0.729970947392768	0.95502383934533	1	0.576518888092578	0.782535634038938	0.751780553005331	0.637665048913919	0.919352054158668	0.599550522038804	0.413518826007508	0.392151565035329	0.300725333626956	0.0410079172960943	0.770910412324343	0.872122340239403	0.60957601004547	0.674538156014334	0.979360165157191	0.782760127214627	0.827158582412787	0.789524049682451	0.693332398857188	0.833984132706317	0.638055441348816	0.601085941884851	0.688005835808982	0.873863183163359	0.307150116987245	0.550125200414658	0.913384717791232	0.599403935386939	0.486698157340398	0.858328980310554	0.539544400489792	0.909438288634396	0.894645472570214	0.903752083882642	0.512895723334566	0.766151568997533	0.638864981966688	0.820300930338951	0.136773931186358	0.704448181211181	0.852364843991434	0.793068213354493	0.42912239958859	0.734447291024875	0.801553822725632	0.599379173466082	0.857695674006523	0.463372509070857	0.366626772881775	0.56568506283059	0.546241044266312	0.577913084179464	0.617035962130611	0.188463904292591	0.861908824040726	0.550618472119706	0.744578025647504	0.508660066786345	0.606275207749991	0.888704300062473	0.619252448575565	0.694174418964465	0.499344148613668	0.723240537595454	0.73804014276912	0.706337149557769	0.540859114575176	0.875186863486107	0.723864528063461	0.406462825607606	0.543904985145335	0.758029620644967	0.762045723766775	0.839374483652992	0.508423844636198	0.451682700378303	0.690568464457725	0.348631371929071	0.763669606821155	0.561128650836391	0.47454253689976	0.760825538891638	0.731963278048629	0.736158845330681	0.110130775386712	0.264270970151096	0.70182604585716	0.938880276846804	0.781657954386403	0.405850839481134	0.815378854098552	0.434701757532264	0.597143297929694	0.445558975950046	0.479244773842245	0.846440881956639	0.201237506708268
CD40	0.866018086292548	0.849815428996193	0.797454560233338	0.804533193536909	0.799194604789486	0.825863093109802	0.737688212761146	0.576518888092578	1	0.870070386301275	0.826257986113804	0.704838676582823	0.733482391738083	0.825372832826547	0.801199373519953	0.827882692635327	0.825516866894742	0.352411546875904	0.869674881140161	0.796307118411062	0.88332262620719	0.842180455775822	0.670429137368911	0.881269474093787	0.850599356729645	0.845624854114824	0.751116761843086	0.814623562436387	0.856797453364817	0.86207141887799	0.83169437557783	0.805853669122083	0.610969472492801	0.778672387945218	0.61261909455026	0.804749747612952	0.711310636049843	0.828452959491685	0.789961332688515	0.779853066915005	0.666527387537612	0.714533556416287	0.72059524130129	0.823966692929844	0.861860149799741	0.700028437772795	0.505646330137015	0.771231063973344	0.661542273760974	0.810537701462963	0.69681940889667	0.785102411847688	0.739954135005407	0.726719457483149	0.690242922599179	0.753197662349124	0.637320964771487	0.866884497932865	0.815670324710711	0.828423873196793	0.508796792680357	0.672559946661117	0.716599656513783	0.840297569891787	0.78237207784921	0.663575617255347	0.892630268740005	0.791861520504886	0.736211512008235	0.738675555103014	0.816347662724442	0.692451099176913	0.744283452056546	0.791402328857809	0.841290404517575	0.686854080193803	0.783156826111214	0.763972904841654	0.856616158209962	0.821607834843526	0.867234568337623	0.803972580121028	0.841029698881748	0.864070005214121	0.876740772208653	0.675795717043983	0.804468144355048	0.731918942030903	0.770556510291874	0.78629052078398	0.735381864354381	0.749151925131296	0.481039195115123	0.687202061181852	0.80480325470288	0.551145838643297	0.799448678981991	0.702093775247564	0.699660816576228	0.770520997856764	0.746742890062202	0.81943659197702	0.583094486951844	0.798976142247574	0.383211091835214
CD86	0.923013608534938	0.747374995356409	0.912422284711058	0.85969766111968	0.914795774956207	0.908664895217074	0.903278523062485	0.782535634038938	0.870070386301275	1	0.900383226946406	0.709115430954932	0.930959228113935	0.878376387723438	0.843706406551367	0.800789734955937	0.695850116571017	0.242698386724976	0.959798096084556	0.928186063149138	0.794738964034388	0.917473349094042	0.874036171690627	0.951311247601329	0.976817894497714	0.969605954228911	0.743971394146394	0.95111021695428	0.947502752032395	0.889454713163428	0.909469774047126	0.922372111912634	0.650152824510675	0.892706421479089	0.817109228921979	0.852028744021859	0.772918732052744	0.946580019188237	0.816156344027026	0.949484345431718	0.819851098756211	0.88020929757535	0.665640879267068	0.90686045130978	0.9018401393331	0.876429318356195	0.488474396679822	0.87246030727577	0.760765228184048	0.903654521238913	0.748492453550076	0.917126712227526	0.846262767379571	0.863419082497368	0.821148765405806	0.759736066502498	0.674509604790616	0.901685209245219	0.822465466097125	0.82237968456994	0.679347104651802	0.634944167642287	0.84303608573635	0.811386530209656	0.903536516367997	0.674991958875148	0.870090706156536	0.873120763217673	0.856004938608617	0.793896611063786	0.860461342284586	0.761116610729388	0.781594246024856	0.838155396559776	0.817567421825694	0.803803465657952	0.852603349353893	0.728777782954467	0.911408514329274	0.924380228888491	0.935048126810842	0.935394601984062	0.815820811622574	0.83076702902857	0.92903079114693	0.672278932861192	0.858941252168968	0.837290258639798	0.752204655755666	0.878988519475354	0.829332582765118	0.909918185630712	0.422546176199646	0.686738324848828	0.894758291034614	0.730007903259286	0.95836298318272	0.587328292303229	0.770968141957193	0.690087848444675	0.838344209713523	0.739730975811493	0.548083496132985	0.940859696074067	0.432836718914801
