""	CD74	TLR2	SIGLEC10	TNFRSF1B	VSIR	ABCA1	HLA.DPB1	TREM1	C5AR1	TLR1	FPR1	LRP10	TFRC	ITGB5	HAVCR2	ADCY7	CXCR4	NRP1	CD163	TNFRSF10D	TLR4	SORL1	ACTR2	PLXNB2	PLAUR	SDC2	KCNQ1	LAMP1	NOTCH4	MERTK	ENG	STAB1	ITGB1	SIRPA	ADRB2	SORT1	AXL	CD4	TREM2	P2RY12	ADORA3	TNFRSF14	NCSTN	GPNMB	LILRB3	APLP2	CD9	TMED5	PLSCR1	PLXND1	NRP2	RHBDF2	RPSA	FGFR1	PLXNA1	KCNQ3	CD33	TSPAN14	TLR7	CD93	PECAM1	INSR	LRP1	UNC5B	FLOT1	ITGA9	MILR1	PLXNA2	CX3CR1	NECTIN2	ACVR1B	IL6R	ITGAV	RXRA	TRADD	CD40	SDC3	TNFRSF13C	SCARF1	PTPRG	NCL	ERAP1	JMJD6	STX3	BMPR2	PTPRA	MCFD2	SCARB1	CD46	CD47	ATP5F1B	TNFRSF1A	STX4	TNFRSF21	PTPRZ1	NOTCH1	SLC16A1	CADM1	LILRB1	DDR1	CD82	RGMB	SMAP1	PILRA	CANX	CCR1	THY1	PTGER4	CD81
CD74	1	0.677641076087036	0.786255280777321	0.607248207608429	0.744013398508832	0.743920504771779	0.968266496283017	0.32102759564341	0.534774755431583	0.760209962720859	0.608369669535547	0.840118728580403	0.647797219129042	0.809937988747205	0.806514694992538	0.673047306836085	0.694579497005452	0.620434344809275	0.924190492089448	0.341503895466822	0.825145035082457	0.681670870388438	0.855032848625727	0.75474499630257	0.552360692954445	0.662386301639547	0.62663554897434	0.856037837883487	0.748538029304008	0.674819390846424	0.741991261304566	0.573115185472443	0.879659349877436	0.853265708472103	0.683659022894341	0.584643696379542	0.820917365023512	0.846200801096515	0.846833307132796	0.625883605285593	0.729685787689221	0.902694524504698	0.844652698395771	0.835363007139475	0.858081638749941	0.775054832649095	0.897232125568005	0.769861719290467	0.788332752941661	0.620870727712759	0.574774618901943	0.574703065827129	0.817733637706096	0.624704682092898	0.411306854332449	0.694695978309477	0.793649465858104	0.818562054893498	0.642002213200727	0.685620481833884	0.914610960287525	0.694222061182532	0.779206392471404	0.585988660487191	0.682780329261068	0.489624446358318	0.89262462435722	0.439563883895227	0.38454877036836	0.748816624953545	0.681269680923839	0.65509801341365	0.628687390751491	0.766383899060582	0.755530120049071	0.614930098682257	0.724172564949494	0.722363806032498	0.547695541170813	0.358209508885528	0.624742680584248	0.622511397275421	0.565753639410964	0.649298565964493	0.628455357659632	0.521411156880188	0.789998358292702	0.733133312357127	0.751716199473345	0.711602637920961	0.795672235439039	0.793040668559274	0.66212300970471	0.490127707411691	0.0840639108958666	0.2512800202497	0.475145700955485	0.319541845609566	0.853220489900844	0.0513471714516091	0.885086453404443	0.0948204246653828	0.791317880324328	0.863382074603542	0.824042257160875	0.646581274704329	0.0692443901509106	0.754551615847044	0.925250968201524
TLR2	0.677641076087036	1	0.898483958145938	0.941529273869473	0.868382314705763	0.93851611706495	0.497131562599138	0.817932468209435	0.929761508102296	0.917269136793548	0.910766581600662	0.814022483468794	0.807008098344857	0.81698789397647	0.894603650256611	0.833694966200737	0.905026965377204	0.513176648170098	0.515718616268429	0.686322501323801	0.772365604973676	0.893698767300398	0.864515975004746	0.816327358417558	0.907505318505528	0.888745907817788	0.712097864181704	0.82198446836763	0.761596523296138	0.942821587114919	0.911440593277711	0.827121875400042	0.772681827096231	0.86840987462185	0.881929389354661	0.897731566810291	0.871943129268756	0.83904153271818	0.824043107941223	0.933297318414872	0.835995646926361	0.817641403472552	0.685170667352312	0.389851233556855	0.59872710850755	0.850604687504981	0.64128806113019	0.879628346682254	0.879807169258347	0.945984343227812	0.934121269782002	0.913864902378571	0.612108675142713	0.749731769221085	0.51709319233391	0.763547994748645	0.708384263879612	0.899559292662285	0.792086673428632	0.88021352204341	0.733117054173168	0.623455681976684	0.730221641718451	0.838748839377376	0.853296085889923	0.605270092739055	0.608309154386826	0.875853195679237	0.746145154642191	0.78615926025758	0.760249625049403	0.9120174046196	0.794238249911815	0.896950144037054	0.645080322605158	0.852859253582793	0.630968322628264	0.736637784931509	0.868612580345493	0.559258006909639	0.75377670829357	0.642112678272296	0.869326740582575	0.85607333291313	0.628172210953688	0.47083400644793	0.714747835711822	0.703443606952846	0.668229379185401	0.65264317212533	0.719967405735477	0.819684709646882	0.851470030145365	0.565225160268929	0.00801227075427594	0.32276297155194	0.623845069329986	0.133327138119672	0.856057768703817	0.0216414144033499	0.661367536798225	0.0289994043560823	0.577625131243757	0.847587802047861	0.751242915257779	0.754102557527344	-0.0314104265765706	0.90205293655189	0.798303331028269
SIGLEC10	0.786255280777321	0.898483958145938	1	0.888995561128159	0.937668535630338	0.910821378022913	0.619976007314501	0.652710655385311	0.817966006576811	0.889945658919605	0.894178760191355	0.923680125285895	0.760091822812035	0.935966789716495	0.954186302702299	0.823944886665031	0.842614349662554	0.629755195537941	0.585817643659744	0.625675974584572	0.853797840050929	0.941378222149758	0.91718771964255	0.872591823580915	0.776634925216385	0.875637590239907	0.81578682034377	0.922136410724473	0.779984950827278	0.902733439506227	0.919780940155538	0.876415384209127	0.861550455655468	0.944816928420944	0.846670242582814	0.870890166806053	0.965503624548792	0.952529497341767	0.931248168299293	0.891383043271197	0.927175260271057	0.87283034784384	0.82298868268172	0.527557297172911	0.722996218416856	0.877347858507901	0.76855631025499	0.94097305532085	0.918384905517833	0.84260252114447	0.846767921335719	0.874679195012396	0.723776546527778	0.752607830198455	0.489106082704931	0.790478802475169	0.896710192703129	0.924299829426179	0.85879015516358	0.903708149668886	0.833160856149278	0.643070287437763	0.83574519542738	0.862561879884812	0.92382951557516	0.713854365352677	0.782075213560831	0.805655655980158	0.730466924560136	0.78931913363752	0.765265250699723	0.872807836013163	0.800505165151112	0.888769797360433	0.80129361851315	0.81488122125298	0.688394241965402	0.851134160683457	0.837151516696519	0.556177581727908	0.702398947453969	0.704833083650964	0.813279504086179	0.867078166505126	0.658632597706749	0.50862665637794	0.812360109639175	0.771964788804332	0.709213657850353	0.67994069292283	0.803707604476305	0.928156969482667	0.801099131128962	0.536029233016592	-0.000298103208751483	0.269001546637963	0.528575904169777	0.162011531217243	0.942440274656937	0.0120110473842415	0.79369912274793	0.0216120975489431	0.639825432395114	0.938075242630817	0.831129804259928	0.80821898786302	-0.0328758204545712	0.869694618951893	0.905495145683699
TNFRSF1B	0.607248207608429	0.941529273869473	0.888995561128159	1	0.890349405247995	0.911607835575767	0.415846535658595	0.857148078429944	0.947619955522593	0.830643089276431	0.972962785265429	0.771053513509644	0.785860673473848	0.793344937733404	0.886814337748868	0.776268816637106	0.929655996568561	0.405465778288724	0.418725821498192	0.741744783802654	0.761403995401575	0.866303474297146	0.817419821307762	0.7458168251465	0.894335673388726	0.895014578510432	0.792372084035019	0.764147798891878	0.643509041245644	0.95117840268396	0.870623984408948	0.838220641535994	0.686367132119495	0.817056840926797	0.868349746295665	0.917303071331292	0.844075621234741	0.800595803405255	0.781454794031286	0.919408268890031	0.84610332982	0.769537523253434	0.636141443405017	0.289669347972383	0.571010597231216	0.810038932051483	0.583312335270452	0.891256653406762	0.8809788076915	0.926286871867679	0.926414952096174	0.96257743039935	0.554861050527118	0.711559667549307	0.539072293423845	0.689208925262376	0.695093032143593	0.882406719667944	0.836409751204612	0.84623369898693	0.679887442795822	0.585991994786146	0.674914438686579	0.830734835940967	0.858351048705186	0.539060836219897	0.535017369082715	0.906853471065761	0.69858389639899	0.771655326867622	0.736447324888423	0.933295164734229	0.748583166944022	0.820849837758794	0.593902865404642	0.823288568065667	0.592511883529404	0.717873903749301	0.885232988855627	0.535500818661764	0.713607156623995	0.624783322207208	0.908686182775565	0.80954345656902	0.582534637691898	0.461301254956981	0.666439087559003	0.64546991792869	0.59218211665783	0.59366400023867	0.682862048182659	0.788855277302358	0.854476478698452	0.525440559405	-0.0255948603902631	0.303493292509501	0.626758925030517	0.0600721361532968	0.820326445579686	0.0191202238546783	0.578227469922821	-0.0120609645171913	0.514846877035862	0.816362997908081	0.690557853344425	0.846784784117556	-0.0658123990870095	0.879815105305363	0.744721754284924
VSIR	0.744013398508832	0.868382314705763	0.937668535630338	0.890349405247995	1	0.827598918572494	0.581630630426933	0.647583454939982	0.789749262346427	0.845438728777477	0.917574584783771	0.900732174432164	0.627921954777141	0.872588798235238	0.882389826836634	0.877826442381624	0.853060658026933	0.621749058143677	0.495928645122908	0.600966553745309	0.794701949000408	0.909328217654234	0.819517272074057	0.775794037024904	0.714849360308145	0.811401913705184	0.864843703922898	0.845784296975913	0.733337629844209	0.898882460259247	0.863484370911438	0.904999772729294	0.753178467515422	0.86710829127542	0.793453069198967	0.860822524138991	0.933888475218229	0.911563818312076	0.847971280387803	0.86378442332357	0.955756630834337	0.799184469232363	0.742657727898755	0.389482140098627	0.621954121580217	0.773427672909551	0.642863123749386	0.868634811318744	0.859496205294013	0.820712590329986	0.787877111386257	0.891620922999394	0.651443299400186	0.588888905107359	0.434224402205093	0.695679880487754	0.866230322757322	0.861161040313749	0.886199163383902	0.908278153962103	0.803103121416918	0.53957253091152	0.743197248937578	0.805895706720902	0.907818039597544	0.705197926460688	0.729744772384737	0.761035378822728	0.730760330972705	0.73744078858368	0.683295965720391	0.811926285492664	0.698595809624757	0.844702687558899	0.650929168279753	0.748156403434628	0.616499828285472	0.870704526794134	0.848498010955249	0.45519210290233	0.588785633594613	0.558532566175892	0.797090700758986	0.824608744703672	0.561248881018949	0.46088334666132	0.747156194721547	0.662366717707843	0.569768259302103	0.556675619544315	0.723780651827291	0.92725126572822	0.70171726866663	0.434492963421649	-0.0911199717059849	0.173895631990948	0.472946950782211	0.0408122747310063	0.898942667110431	-0.0766612115008914	0.727903381766547	-0.0689419081684177	0.518949261525322	0.867038655663534	0.730212659552195	0.844957078003275	-0.115615184590749	0.78272633744828	0.828493079415435
ABCA1	0.743920504771779	0.93851611706495	0.910821378022913	0.911607835575767	0.827598918572494	1	0.579210268093752	0.769745562159445	0.90146624778139	0.904583849256015	0.881587253428394	0.812917259835769	0.904132405514597	0.849638728291476	0.944376061930116	0.707822994480734	0.903244676011936	0.478673198067765	0.625527103654964	0.733071716996197	0.866758578442668	0.855398132942432	0.916756338730453	0.861600013258597	0.902265484984057	0.869126187082782	0.677968608656343	0.858401869259427	0.736568754157157	0.92993199963266	0.914817494350484	0.749621750113431	0.843665017660177	0.903507021946269	0.886532097086472	0.890075229138425	0.878899497561626	0.868218365118034	0.847821901746129	0.888025830806146	0.803093889682749	0.875675747661462	0.772819840278673	0.540039103261596	0.712335791340978	0.919556920540177	0.75264872339871	0.934645763311984	0.939845862970697	0.91374673282997	0.920883874692341	0.866971007159157	0.671096641374002	0.839274607282992	0.620866530993963	0.782199613944328	0.73650807731661	0.931246402521898	0.800302833559677	0.810358700191239	0.757245450447312	0.726065995407958	0.790332083182319	0.813225385585387	0.820380588009987	0.559909759387051	0.637463555089621	0.831052308756685	0.628766120428569	0.81333067591827	0.812833506287221	0.934849763699289	0.829632801074622	0.851119069525022	0.724914369424592	0.806533823488678	0.698235812846531	0.70055353570046	0.814137412201566	0.599430700051247	0.816913221072498	0.804363265554044	0.869342052071748	0.832024267114684	0.679347070082282	0.524855577497173	0.733525838380067	0.778178210961648	0.782451833490642	0.73556151399305	0.767946695580475	0.818707367513927	0.937182762698441	0.61493229319036	0.090710439673572	0.394634500968983	0.640765012108136	0.245915271500782	0.859370009154625	0.110994219990414	0.68972159225669	0.111049232627299	0.691177228296465	0.876081125676456	0.815318697556251	0.761052389644231	0.0463724809991495	0.962904571343143	0.846403367479647
HLA-DPB1	0.968266496283017	0.497131562599138	0.619976007314501	0.415846535658595	0.581630630426933	0.579210268093752	1	0.123861481183929	0.342116629194948	0.611288153927956	0.41856372319765	0.719849380593372	0.50531476392741	0.678877225999303	0.656210426776386	0.535411679736991	0.536597834488924	0.550283200781411	0.939472871044696	0.162682123488935	0.713285007405844	0.505389600922018	0.731891972592485	0.610623786398163	0.377822477002085	0.499984113773589	0.481445813369567	0.742898753251579	0.641831293144026	0.491336556972865	0.582226551687847	0.391125247372297	0.792468764536089	0.724438309097337	0.531636898779138	0.392286161125467	0.675426808327672	0.714271631608522	0.733246296678017	0.446814907763562	0.574058379475029	0.803730654793774	0.767005815256611	0.874546847122998	0.815240445556805	0.640375157305576	0.855761301081722	0.617789011253871	0.641882252774338	0.441130567101448	0.387986220312154	0.388742016140951	0.769609836961313	0.496104827157789	0.313128009478227	0.572219927758574	0.680322787567829	0.682734989064566	0.480068792033908	0.519377178646385	0.85403164872611	0.623912759250061	0.672327860442474	0.41749010132293	0.520495039563942	0.357998569900862	0.85743233673127	0.235446042893056	0.214396851708991	0.63998005292204	0.564850597737011	0.485986327204065	0.483948276922355	0.626557139636184	0.670377254884863	0.463260222081774	0.647965136776462	0.600290136700627	0.363234139639829	0.228298801621238	0.506324401030075	0.49759863435138	0.390012637936973	0.486509080145295	0.545926015360665	0.45799462388308	0.689718134524733	0.633215550266811	0.680133064316181	0.63251391562962	0.707377975349207	0.655485595285482	0.514096094422118	0.406570951868945	0.0975000279296743	0.198954215546311	0.378866591218487	0.337544833576031	0.721405535187952	0.0519306746623854	0.83020387967806	0.103686603065526	0.760503323292486	0.74821768530543	0.726371613046064	0.500874546857249	0.0948061368035783	0.612615156458642	0.838218708622395
TREM1	0.32102759564341	0.817932468209435	0.652710655385311	0.857148078429944	0.647583454939982	0.769745562159445	0.123861481183929	1	0.91956310690266	0.631308477800466	0.818933318605007	0.46642271429601	0.751934657897225	0.4676919355027	0.64698682892598	0.524975486834337	0.8497283558285	0.104291984281566	0.199318555678307	0.764253550815923	0.535600649885783	0.70699296342171	0.593107689523887	0.546827583420084	0.897566117975845	0.766448565080908	0.553438867116268	0.484644217977666	0.427019605396814	0.829897021590972	0.681896951565016	0.588362784759964	0.445603033914307	0.540506925025765	0.72864676348682	0.843642203688075	0.614511753016453	0.560768001730883	0.518806686978699	0.740049458618563	0.554706559206526	0.572330672199897	0.348778132260257	0.0552346769146247	0.369477329247935	0.632383079505335	0.342993388809848	0.693644835840273	0.723681422403062	0.868020289939164	0.857459656533659	0.834267273684248	0.276621611628219	0.587602296415661	0.535518255836397	0.466243287171673	0.40308958235136	0.705361684663863	0.606515147722699	0.633261024657966	0.346150997342205	0.436361164062448	0.425061971710616	0.659264762934648	0.639861143438867	0.335089585603759	0.214433665160598	0.828940297343205	0.544166093571099	0.540664674292365	0.550703844385738	0.817518151205028	0.545653827419784	0.637458459251831	0.37428127125578	0.69776290091992	0.360595844523445	0.509348945802035	0.775791991871257	0.486818634020199	0.615702244673045	0.496112135659115	0.853146473607832	0.684096985644858	0.367127387895817	0.324597675971802	0.410163873462787	0.379492503714207	0.398809595541093	0.414853668076755	0.434874504367191	0.479202876597895	0.773724722606969	0.398962823906573	-0.0425822235371864	0.282593758353837	0.527381899267722	-0.0381285919151993	0.548575993339516	0.0123348859739011	0.233456940966017	-0.0193129005644843	0.304633903615742	0.579864102617597	0.452346143147428	0.693920078555243	-0.0956472530867974	0.749006846899101	0.456976362606252
C5AR1	0.534774755431583	0.929761508102296	0.817966006576811	0.947619955522593	0.789749262346427	0.90146624778139	0.342116629194948	0.91956310690266	1	0.788544131170291	0.915820627989843	0.696949680257436	0.851104069965913	0.705242973794776	0.828412228014881	0.672371431582475	0.936491675732527	0.233661794917151	0.387892370918458	0.702658163965448	0.66719999440063	0.83547295931597	0.783309714638076	0.708182578351872	0.966208064834142	0.909935824229819	0.701778981079114	0.712313938308218	0.650197547157212	0.910961877713658	0.856653499040176	0.712681727107482	0.657082002979203	0.740332661701039	0.795808877414657	0.896100367239457	0.800194662948802	0.732587318097509	0.722835359849896	0.885023198733322	0.734001456952455	0.743870705085421	0.584208056219258	0.267572256398572	0.555938367102953	0.79975415449378	0.553359703989198	0.860356866598036	0.861500575682397	0.930326358818107	0.955719171076685	0.911163285665802	0.505009484354911	0.75930237449825	0.554532114536171	0.613511622554044	0.602821151759163	0.877751215007782	0.739209236883681	0.762409518968219	0.583044839801222	0.561915207089436	0.64748820388628	0.776090352981929	0.783595931439732	0.417147482399822	0.44913406135286	0.906777683809839	0.680484953448753	0.765456684956089	0.688323685726487	0.941254863070436	0.72634385672387	0.80377763250738	0.553579429724024	0.855401030529283	0.537783582551193	0.629372764413269	0.8487481914672	0.50472158769393	0.744759222929726	0.595567208685045	0.929152965582942	0.783169109385053	0.529525499023309	0.431164096796423	0.628965602371706	0.61822273564923	0.574623383647574	0.563458931488496	0.633218279860665	0.658394388818965	0.860104802314059	0.549237483035233	0.00577776457271389	0.344942079384752	0.616279836184182	0.0761660674868696	0.754349278571019	0.0356327691957956	0.45456486219912	0.0161292254994449	0.500622652827479	0.786069899082446	0.652097710520205	0.723355275843348	-0.0341348535434694	0.887788087408249	0.682671655658409
TLR1	0.760209962720859	0.917269136793548	0.889945658919605	0.830643089276431	0.845438728777477	0.904583849256015	0.611288153927956	0.631308477800466	0.788544131170291	1	0.823249446371908	0.851431496990101	0.770524060843254	0.850215560519179	0.888586039503396	0.805520762422354	0.808479374305355	0.63951637942067	0.623770052545447	0.628383012691349	0.820629739738826	0.867283120789654	0.882697776204135	0.877028139758946	0.774750395640347	0.790761905942912	0.660957319798564	0.86527948670574	0.798569254357603	0.853327925682394	0.86663353304394	0.767174374338536	0.842840137390684	0.914649143837125	0.823476475656875	0.828578627117194	0.87099346599576	0.864283846162903	0.863964938620475	0.835250238329453	0.864892016450374	0.844103038887174	0.804020508932256	0.539529667943531	0.681443526556575	0.852257524022948	0.742817166414768	0.866751957114689	0.84332212579415	0.824197617467785	0.816972225577844	0.814660425171379	0.693146613493141	0.726803834333407	0.561601879883434	0.815535650370744	0.768187182066707	0.872755294035195	0.76043844558773	0.828067855138145	0.811456082618812	0.685032100707452	0.782623963644674	0.782446541211698	0.830284096995475	0.654829024757476	0.720559168230673	0.737868612631651	0.677262660798044	0.798614377738349	0.789098077085466	0.829557208947999	0.792413139995268	0.870268194301216	0.733526286154068	0.715936061611067	0.687776835558125	0.730342252153375	0.742865104353966	0.562156630350984	0.731921101168528	0.711329269979774	0.760255148365866	0.826578743987158	0.670245531271622	0.491004899122637	0.769851593783054	0.766411706837058	0.742548962835654	0.695590904679433	0.763102281132842	0.863147004740343	0.807887376055341	0.557644194379397	0.0592810548601482	0.325600102872082	0.581105101686185	0.231434791337949	0.86680842832775	0.0762224585404825	0.752130136933047	0.0773036244704212	0.65433986538592	0.84124139905278	0.801369101554586	0.685792552706193	0.036988325886469	0.867154925315789	0.851601904644217
