""	CD4	C3AR1	CD68	ITGB2	HLA.DPB1	PLXDC2	CD93	TREM2	CD33	TNFRSF1B	TLR1	CD163	ITGAX	SORL1	CD81	TLR4	ITGAM	ITGB1	LAIR1	FPR1	TLR6	STAB1	ITGA4	CCR1	C5AR1	LILRB2	LRP1	NRP1	TMIGD3	HAVCR2	SCARB1	PTGER4	PTPRC	CD180	TNFRSF1A	LILRB1	AXL	CD46	SDC2	TLR2	ABCA1	MERTK	CD74	MRC2	CXCR4	TNFRSF14	TFRC	ITGAV	C1QBP	VSIR	ADORA3	CD44	PLAUR	SORT1	ENG	CD226	P2RY12	UNC5B	ITGB5	GPNMB	ADRB2	RHBDF2	ADCY7	SIGIRR	SLC1A5	ST14	RIPK1	TSPAN14	TLR7	LPP	CADM1	KCNQ3	CD47	SDC3	ITGA9	CD69	IL18BP	PECAM1	KCNQ1	PLXDC1	INSR	SIRPA	CD40	CD9	ALOX5	IL2RA	PTPRJ	ITGA6	ADGRE2	ASGR1	APLP2	CANX	PLXND1	PLD2	GPR84	IGF2R	IL6R	CD300LF	CLEC12A	FPR3	SEMA4C	FZD2	CD72	TNFRSF10B	SPN	CD82	TRPM2	ITGA5	TRADD	STX4	PLXNB2	TSPAN15	THBD	PILRA	TREM1	RYK	NOTCH2	TNFRSF21	CD7	NCSTN	ATP5F1B	JMJD6	NOTCH1	STX3	RXRA	RACK1	ERAP1	SMAP1	MCFD2	AMFR	EPHB2	TNFRSF12A	EDNRB	CD63	LAMP1	LRP10	NRP2	EGFR	PTPRA	RPSA	SLC16A1	RAMP1	NCL	PTPRZ1
CD4	1	0.862532909828185	0.772966449765271	0.843246461483406	0.297177952469236	0.793197287340011	0.674229556217111	0.830472480411718	0.739874595454093	0.868471260488039	0.806372923912064	0.825617842305177	0.72927995518523	0.766839843696474	0.825673750726358	0.651938796700282	0.834805214727903	0.907921189868584	0.916667337804984	0.914660576220756	0.681195633110786	0.836781337809397	0.651412626372792	0.837656566845598	0.839637982758217	0.673562565391125	0.842443713545322	0.765199844179382	0.751122204573926	0.849544345166805	0.749455095630797	0.546539319753333	0.837522725459092	0.670134158595349	0.880294521490815	0.728567932925774	0.456068275702279	0.836750486673073	0.58565060915748	0.792501856340251	0.806057249553644	0.783271707144433	0.617792413363362	0.489395499480941	0.316402476021807	0.778829791518354	0.753347342459393	0.869221868408364	0.606405400449483	0.392629272842133	0.826324194416347	0.704942441702637	0.871327515355365	0.758430030947675	0.877517139005912	0.798535145481065	0.415894165903553	0.579505834687612	0.646017405579044	0.453922372571981	0.660702932323108	0.706654753028103	0.743000916837393	0.509667196859502	0.5996218410932	0.789247827411723	0.794933441064536	0.829675028679493	0.643339895697802	0.804264330359006	0.603351972483251	0.610981896114716	0.805577164452678	0.756166124618272	0.612082362527772	0.44288184788199	0.632351796718243	0.504273250089959	0.863992193807824	0.136140628573119	-0.0313168538340957	0.891337872585152	0.759409771302859	0.507613050200311	0.821524592253043	0.446636656313659	0.873449498759507	0.71674576398089	0.667161556075871	0.484034666917088	0.911536727292143	0.917087378633894	0.832334001877777	0.735609524891282	0.669295758023736	0.759248999888808	0.785019376657346	0.661801592845818	0.328672825298542	0.522541751367384	0.438136992695553	0.562725062626592	0.566265091495075	0.731523878841567	0.510676093458475	0.633797377456325	0.848337392916042	0.71678636798389	0.823447798003414	0.702695129197615	0.852008641153093	0.774138006012409	0.681936510231369	0.699286944611442	0.759568465219665	0.68793280283665	0.671781676962152	0.725428533128288	0.585854671764593	0.741883933360131	0.705227331127517	0.783957895495004	0.599648634643166	0.722616364066911	0.833221610051041	0.681748624517501	0.752144442935058	0.843066379624868	0.808024604218187	0.671611156665961	0.626511203178971	0.511504750416702	0.635732517079771	0.80008078140089	0.860134054023544	0.830021620923017	0.758926121333016	0.207520198658987	0.738333237902632	0.677979268238189	0.546577397115436	0.537866325439972	0.721383044426295	0.23531861639218
C3AR1	0.862532909828185	1	0.777802268311856	0.87916797303453	0.367687492850013	0.795734127158288	0.521361830356417	0.914167837820492	0.776227968799809	0.847533116644631	0.831811828232541	0.694336573503831	0.764767141659412	0.776807937734958	0.880152791603855	0.639893601158109	0.777179836517878	0.903821883010224	0.901308124504994	0.915484704569522	0.719476391200176	0.66629743027341	0.645182056840213	0.795018665687361	0.773505184357474	0.637422320922836	0.750323484426891	0.66632622857591	0.78514505067609	0.900462669451543	0.762898346174424	0.598655736732113	0.832724275923287	0.624343364175825	0.908211637048027	0.719129902511689	0.533544194483165	0.756187225364736	0.497634995106472	0.748930238118131	0.749083463063677	0.780055178554172	0.649799038843176	0.510092825595227	0.400177491877034	0.726648141998025	0.749137702711485	0.818868021232187	0.695290865493793	0.48752941478726	0.873989900040471	0.62663259846085	0.899135330306973	0.75456065848753	0.805777398645049	0.798354722857765	0.506177771951802	0.576476486719863	0.503942564612209	0.449284314576912	0.727767945933971	0.768289464246394	0.705404992554509	0.585665147405407	0.650652032694074	0.731363783376736	0.787949735286821	0.864373419549037	0.713860352667066	0.76391471157182	0.613979095659099	0.613712446888086	0.758234813094221	0.636114287299192	0.595145443869868	0.553664646359921	0.709774088326725	0.508885377629762	0.816570015325116	0.153893098046987	-0.0274494562018518	0.84302094362721	0.813572402551425	0.614715723219647	0.822775718403782	0.345654856396155	0.823874117407641	0.669529706156543	0.676714382817309	0.569543181321745	0.835296326317172	0.861295979126748	0.800550390183614	0.746146219664162	0.745775203586247	0.673807321203648	0.778153119110608	0.693208941813252	0.234532149764888	0.47403589656048	0.485183418251531	0.510523079522679	0.613419694934742	0.737568969200129	0.572482809725407	0.559196833553401	0.830620060637689	0.667915432296671	0.83392007440359	0.799095402574871	0.773610011014575	0.765049430713877	0.493707376714295	0.684938161676956	0.762505197781632	0.611538342504365	0.601102859617605	0.688889356063885	0.668179855184893	0.741114685532288	0.759786840956392	0.801747630293538	0.549347556983825	0.706729483117243	0.797151305985705	0.757559444287245	0.684442871655593	0.818288492918883	0.845299795822426	0.556350586194191	0.582763501284699	0.483201891177505	0.538711626075892	0.808039818320859	0.80815455099624	0.770309467208511	0.672812193601241	0.14375234447396	0.695686860287214	0.758059347244306	0.466953813312562	0.515715105644856	0.769029879952895	0.165509891671926
CD68	0.772966449765271	0.777802268311856	1	0.816213700740338	0.263112187180565	0.494507488401031	0.374473060479781	0.867221331546113	0.694836372485947	0.546367309323615	0.544968716143707	0.792805646295651	0.661959917742007	0.587178819703061	0.915226619441093	0.423632754133398	0.690587629212806	0.747062616264916	0.816971877282355	0.774233083050581	0.317232951996606	0.813416417581436	0.291199742769596	0.693097299779334	0.761461143655389	0.409505015688059	0.837529498835423	0.745298454094098	0.691862564592653	0.673222026184836	0.833897147170631	0.164850390154453	0.487528200130313	0.749181978163548	0.757588778048645	0.357350158271802	0.353625854801771	0.604648602789723	0.742733591018565	0.465840917241487	0.742985078778038	0.51303062769523	0.468746351223904	0.0979473577330933	0.379446923827025	0.8633721989386	0.754615970916995	0.72125942292032	0.592429303842578	0.253660017017916	0.679839248157668	0.780114014230405	0.843253828581966	0.542089350402105	0.845178600677433	0.601926881747455	0.0673776978351331	0.171949788911508	0.716729424998832	0.750467714355072	0.479451028492237	0.402021735923946	0.376045104483214	0.512034331876997	0.400299084900207	0.849812512789903	0.693881552582603	0.610978773441133	0.608747462252	0.622110140605093	0.689080809283978	0.242782391791252	0.695667498786102	0.719946640582831	0.314193962965515	0.112538683566317	0.560169723970374	0.468336892745553	0.721299259518074	0.0415234870519609	-0.121492600048303	0.771234488897676	0.760210639447728	0.701643709645906	0.648479894517768	0.273928951359919	0.600042560522758	0.425098825049964	0.299281775052121	0.529761341464957	0.833949428481428	0.762586575008709	0.756212514574088	0.597452826204186	0.532525856047316	0.719563543721256	0.563885904304177	0.857224778378015	0.151948699238337	0.64756800631551	0.115571714060105	0.499260565639752	0.749459374126874	0.591419976504283	0.374424886570991	0.705495197177788	0.608676079581119	0.70478621940683	0.794693720266354	0.465996845130592	0.759432449501864	0.724332614508511	0.637461646417841	0.870619588517993	0.676553176354628	0.4397928673546	0.564594861408932	0.577727531041606	0.438353787759082	0.710119047849355	0.647135113593929	0.712503470264783	0.386017479406949	0.654907155954547	0.758368530837913	0.640038629090414	0.571100344984627	0.684503044082612	0.762798285588844	0.432262071481581	0.383230894090436	0.401739204026811	0.580337076277821	0.930754219007082	0.888595769270998	0.705251067100369	0.732782693903414	0.0898500892800141	0.596608237796587	0.647290732762713	0.201436176320955	0.51609272518053	0.454760203950344	0.0917970580349295
ITGB2	0.843246461483406	0.87916797303453	0.816213700740338	1	0.312376509091711	0.603230495440013	0.618446081951693	0.919205040222945	0.9025344147876	0.797075122979393	0.784809205432185	0.64726995685667	0.655649252636811	0.59618551260616	0.907577232063046	0.48595802111059	0.843570608902687	0.862180355073054	0.881359818333871	0.931978186954199	0.594718934135395	0.748810107204425	0.614256213830779	0.868451232353111	0.663764434234627	0.576564614698427	0.701403117644512	0.716828269322967	0.868660532673367	0.87002499547533	0.649806235795931	0.381004728888747	0.734956942871365	0.677113101830319	0.888376551617439	0.672027717614571	0.383032062914765	0.602745390367301	0.500265893979271	0.602373029616743	0.617419990980716	0.584036055479616	0.60753681982672	0.409659176840303	0.156636886285805	0.763698859872497	0.633599519967713	0.720520005623149	0.810665930649498	0.590640815535107	0.865371256978639	0.659961360192989	0.887465303774616	0.649560239189919	0.835536158977319	0.716870154323168	0.459930606267901	0.489952104245875	0.506497141380109	0.439997143179147	0.587956262177038	0.71196962118227	0.653714870267954	0.641853690287729	0.722253376753961	0.825070256546186	0.727715108379618	0.692996442564743	0.582009445369756	0.631674635494872	0.502582702786786	0.484778173569446	0.763463076405975	0.562300511835446	0.480646001526708	0.529174265238362	0.626381261123979	0.325572888831052	0.762541676051842	0.00367679786022595	-0.175068139030946	0.757708653296008	0.901471099341541	0.506139120398857	0.866056874838803	0.268626524574453	0.736790128685637	0.599740164483323	0.603935291790996	0.749972285250274	0.81271559793143	0.843558288652141	0.690643645283015	0.721761930402953	0.802797288007526	0.597259027295251	0.679479825544351	0.643132105187795	0.167568852020388	0.363214946828336	0.357338233354047	0.617785700962194	0.52039368492815	0.657977027256078	0.554002466332159	0.615224427530038	0.74802693124661	0.720885029240121	0.847711036185404	0.688747280158604	0.817431137235574	0.722992850125454	0.61675681657079	0.63093706976924	0.767970892968191	0.551533381290815	0.510539665635625	0.542136063118383	0.759285407130093	0.700595575263979	0.842663436564645	0.842751529977032	0.447694603302581	0.650389710713667	0.839485651827766	0.841618764685262	0.612604229355263	0.850620985783269	0.828792053951984	0.464361338829165	0.487471446835588	0.518574467866675	0.5223102613015	0.858059988289713	0.781444399938836	0.735020440986456	0.587477871992596	0.12795290672813	0.644764923257722	0.881293899530707	0.448939328136419	0.514204857436644	0.74720474494348	0.135631078164268
HLA-DPB1	0.297177952469236	0.367687492850013	0.263112187180565	0.312376509091711	1	0.487565596153984	0.0803478681886343	0.393833087519824	0.392362064197265	0.372408908341553	0.441418680910605	0.133734854349884	-0.0531382074086258	0.244128715763416	0.417552472508399	0.527990241737737	0.0886584307972857	0.279812982799104	0.434773926736461	0.323515864254932	0.312240688888439	0.0977444173205961	0.411927554708276	0.0821397075656128	0.144514440924581	0.531496869131518	0.0756670930206251	-0.179150363667551	-0.0280091642095804	0.383023241593506	0.140061599839895	0.44361524755857	0.29705673949709	0.0542934009867043	0.389338821681454	0.485520668909076	0.825917665691786	0.329619795083043	-0.20238069264699	0.49957782167753	0.0982880903870409	0.389866076758791	0.886279615746885	0.469282032461347	0.637587742025457	0.255944859382252	0.0486819086541924	0.117528803067012	0.366554136180993	0.657806966286533	0.546647884303823	0.0825391717679155	0.250757488517564	0.240801103982564	0.063407831546514	0.160677515957427	0.0940610253026791	0.418090375531971	0.0505932141287222	-0.190628027189486	0.232726524693863	0.48750945146032	0.375879832178353	0.486286338015829	0.523196205762514	0.352222605167231	0.21057571001527	0.364036084739234	0.473882795456692	0.160952106709595	0.599947856677898	0.446692432343219	0.434267375174099	0.0104533175979601	0.407336517142349	0.407357116904693	0.346683573773845	0.658241932778226	0.276331613034121	0.713651841846874	0.228173049776548	0.372205074950014	0.262359647984739	0.406431008381138	0.38390562828321	0.564019358284842	0.272849013094964	0.264657598200726	0.392706800497924	0.408185688069218	0.13744708294822	0.307839468314032	0.237984371925417	0.273327937804537	0.132776418779535	0.0912006891037961	0.206356193564339	0.396990904807833	0.6423897489621	0.299705667762036	0.483920260759959	0.375765660425082	0.319243508894024	0.179314675917302	0.544554955819471	-0.116020516056072	0.430794766618337	0.0287969828076418	0.352571331081921	0.44807494183719	0.104547646501895	0.0980991079039461	-0.0594513507335912	0.127249337272751	-0.00602400528920347	0.0929530484735187	0.229746752061014	0.245904864401324	0.482129630678486	0.159382707031891	0.340431118118015	0.358057695029953	0.1220813553273	0.340882068445462	0.0730177537668977	0.424352266620367	0.161137234596368	0.364373709029312	0.331761020159447	0.347299870736677	0.424665198988121	0.0821306233153169	0.0199404317995535	0.205618080681351	0.105043562707413	0.456351035009611	-0.0391116831191557	-0.0824187577312885	0.253104803252918	0.399175554158807	0.14300035634088	-0.0464114727469992	0.339717969993079	-0.0828121979820321
PLXDC2	0.793197287340011	0.795734127158288	0.494507488401031	0.603230495440013	0.487565596153984	1	0.499399343752489	0.674425788994408	0.53389750601338	0.85779161992023	0.828210230703861	0.670536055065229	0.628162727319038	0.843397364535166	0.61983150440863	0.835450382296522	0.625506198108496	0.829280750719461	0.778090689592328	0.740878604080898	0.776569930868343	0.523524994252233	0.731232925822505	0.578672295880676	0.741228738196698	0.750572096815479	0.671483966768063	0.476861687178874	0.464487666250992	0.794390243863925	0.646344284119273	0.843209593132997	0.898343602244136	0.440992824909351	0.752324079983446	0.848692155867962	0.705023975252102	0.883037697178744	0.309556686266092	0.933684727629037	0.737278863937948	0.94866026352412	0.709487125826178	0.718618514023665	0.565490364204618	0.535299702150724	0.674885957485148	0.785269155614436	0.445946703938778	0.370849254303294	0.772292048967146	0.489708705532147	0.72586041380352	0.789850206014663	0.615132503493193	0.789834782105369	0.468456753756848	0.728736879089207	0.421666359150334	0.208865288827605	0.79030931429151	0.806446232353424	0.780221460407555	0.452754206952856	0.581431762097621	0.541308508966348	0.765750056606059	0.889714805770511	0.717688630195694	0.836188187584847	0.65825519179532	0.859141402372892	0.683163310884861	0.593548286096405	0.751278901775273	0.580807327220271	0.667837485445856	0.701885274009119	0.773070195213363	0.429774371674393	0.289152700160053	0.843343310671146	0.528431675053127	0.492008130786334	0.70843376000527	0.554059889830209	0.872931062821189	0.74604871475182	0.736729572294772	0.311678858378772	0.741213609363144	0.813977413530068	0.800350568778276	0.703955543834231	0.499742243077488	0.671543311738257	0.822543418227066	0.555445416344946	0.520750174187909	0.500054507794297	0.686529585910372	0.341552961144754	0.530878949742595	0.707176585694222	0.569354502727861	0.349111799126445	0.880387786848934	0.475618792907888	0.633881188567603	0.764663338095966	0.622469217838577	0.594526828515233	0.346410924320592	0.512451829475123	0.588786882745902	0.646308817130494	0.694746720727331	0.761429979447916	0.529098281169709	0.629292934111408	0.52992435439305	0.631337071975299	0.610577862913023	0.693603812890851	0.599856037577002	0.521150755056203	0.700245980238886	0.707285427124404	0.678902586039407	0.74203071654841	0.754913320223608	0.382847390937801	0.498320558394281	0.523734865124919	0.64228346908504	0.738890421017318	0.620518699601682	0.176562366589118	0.68779751552474	0.485685398165784	0.570823609861349	0.367857479827638	0.740450267932471	0.210313837929153
CD93	0.674229556217111	0.521361830356417	0.374473060479781	0.618446081951693	0.0803478681886343	0.499399343752489	1	0.420845947584633	0.546051336635422	0.668479474987204	0.705961071356738	0.593584676871099	0.419299621556281	0.323268810376489	0.400210411284582	0.383713628323465	0.741732936221383	0.613689733767664	0.641240504253311	0.643468836800326	0.507460202469035	0.644949588321957	0.675409545458377	0.719779565590166	0.559173750261629	0.608756713744298	0.476054222919328	0.623536125862521	0.526525777683957	0.561655449796979	0.298512495940179	0.415054470729886	0.680188414844504	0.347837075167526	0.585246540697773	0.64737272879858	0.0910663310037854	0.533690390159804	0.277661296228191	0.571938364185462	0.443911959571411	0.50345384232733	0.391578479350344	0.464688146820886	-0.10817207513653	0.443211636193136	0.32667974936747	0.476272165188649	0.438656245322852	0.328086011029601	0.51060754427059	0.543340627382524	0.587349807072368	0.4396128307642	0.624935773938739	0.611380452198391	0.376305818845335	0.46062514799809	0.400269087005183	0.140023001221067	0.373503058894795	0.577235451058983	0.598554724487071	0.393947484889459	0.464831449460588	0.57641859666444	0.45094261224598	0.456171551265508	0.228212752046276	0.525505632782614	0.167672748792672	0.441023584116674	0.473096288021978	0.410427338131662	0.553602238117159	0.457935388117836	0.226497346494539	0.159346085468176	0.487668653696433	0.0255929030136919	-0.0248833365900639	0.551789070870019	0.458854267343072	0.0752620537708574	0.675712312614883	0.314259161861746	0.631928225508273	0.526440270442119	0.654327540809047	0.497301964946769	0.601043339582844	0.652785983732001	0.498458340891217	0.488494340448709	0.56969031661422	0.402557173603235	0.577003255558148	0.200636477273301	0.32325815893422	0.139222794117776	0.358634533603536	0.412509670229017	0.190858120790655	0.346398181968558	0.219932334964718	0.412353988519422	0.577804182246	0.647341036186882	0.459601488901097	0.492417731533093	0.636329158572102	0.448552224304671	0.677102098479718	0.219124305648495	0.631285661882667	0.435196387871607	0.292016529037935	0.466908735631335	0.548058323027663	0.451790516780001	0.512442896000871	0.494521027449902	0.412831179093171	0.302865824062416	0.652071528501604	0.455677963670378	0.568692619704578	0.571728444259685	0.462389619961429	0.423937200291769	0.495232818788976	0.356975042848274	0.383207570015343	0.416913311542934	0.46793198488351	0.521815996618532	0.449804944049447	0.158354546811512	0.467493309615138	0.48931331762518	0.459306886631613	0.272025404026708	0.569896414507719	0.180048589677487
TREM2	0.830472480411718	0.914167837820492	0.867221331546113	0.919205040222945	0.393833087519824	0.674425788994408	0.420845947584633	1	0.838619983303358	0.756274492079518	0.737307481595099	0.650354806439627	0.709760153510198	0.721127739664463	0.96949431053416	0.529787988515696	0.741178259651649	0.869347279242175	0.884550048040306	0.922873434327117	0.61401124759029	0.686949016149948	0.504117878494557	0.782942133623278	0.691541378729873	0.519491950621133	0.762636246349254	0.647731019054018	0.83268285366173	0.886287279922993	0.774759443946852	0.414016585692018	0.706300353383058	0.647310259706568	0.895049315431492	0.622257496512144	0.494044901905689	0.655741160804917	0.527379325654687	0.635783327090842	0.672378299441235	0.649764820258867	0.625492446385704	0.398913635625824	0.354873972922655	0.763212352226478	0.717921386557032	0.792602635407798	0.764715205987496	0.534351186611766	0.890024650334343	0.600743299036314	0.882992066548179	0.711916282204555	0.823039476422277	0.719896935077823	0.44681146327992	0.483348628945203	0.51336892821415	0.473414304674838	0.640910309505123	0.70632773748195	0.615404991309205	0.632590104064572	0.666564450174089	0.792142786618113	0.779892101670725	0.781735114590464	0.686102632384019	0.693662423493843	0.605123760670609	0.514358368109591	0.794603037016138	0.617211760398476	0.463830375491599	0.470911968208903	0.716824432059736	0.464856791394653	0.810886373914971	0.0829412726334418	-0.0806264967585212	0.803459554242411	0.899226558760497	0.661165834665054	0.814466526718215	0.267435092300683	0.733537759295611	0.574587358139138	0.539827292529503	0.60600914726358	0.809860693934812	0.830998700942412	0.74285653544632	0.726271425924125	0.73515583456193	0.652500381198859	0.689571329805161	0.75375598722303	0.149421722394834	0.453944972268925	0.365998741185749	0.515802444328814	0.604887973856961	0.738773073570194	0.607151568592476	0.60577743625407	0.774576029176146	0.642126771301643	0.863242361491265	0.72076914658097	0.786414337826212	0.765153122828481	0.480863565446944	0.745542453038558	0.720356431603257	0.581383981749129	0.560750481022718	0.59624030363326	0.690917696895668	0.718255492792292	0.806970926383448	0.850917471833225	0.487021952387127	0.697780267002394	0.771203647479029	0.829995006754454	0.614285708519632	0.832451011721886	0.868723963491746	0.490468700655088	0.462669898443213	0.49550042802575	0.547277559204967	0.893585045694504	0.823628844497611	0.780715156238137	0.651518071091517	0.141472070275104	0.683642755669056	0.828037142215566	0.414303892552922	0.559102292696148	0.70991122820644	0.155031440613807
CD33	0.739874595454093	0.776227968799809	0.694836372485947	0.9025344147876	0.392362064197265	0.53389750601338	0.546051336635422	0.838619983303358	1	0.706241397947444	0.73885821116951	0.48620592951098	0.485123058404641	0.494233472009831	0.831286386500681	0.43649182807901	0.734461704099743	0.752006689199358	0.80351277724681	0.855040577674096	0.574559795847289	0.604827455063072	0.613145538382092	0.756455002802974	0.503039761040393	0.558027235279154	0.531469393377647	0.536987552193906	0.758753764504656	0.79967999416796	0.522906905294491	0.38312407631877	0.659097448633588	0.550105116101844	0.847650317497028	0.665628033187655	0.399201010747248	0.500602310216493	0.270741942867008	0.556677201640589	0.447605577548027	0.49764375860962	0.635189709434791	0.47275693535186	0.122245763822993	0.628396693623439	0.454405644347602	0.586479712883544	0.840856990274809	0.71473664046706	0.85602113630889	0.525690422646227	0.769337648071802	0.578156182482164	0.659479771779107	0.603828297478099	0.499911908492477	0.570024175741165	0.404254990580444	0.224006524201097	0.519274019638329	0.735092630197461	0.613760374284733	0.71407998753579	0.772336739999857	0.732963141667915	0.64622556252457	0.595858758312786	0.540740319271324	0.509920238337679	0.462345311960317	0.463175666039459	0.707264733618032	0.389210277934807	0.446321728296129	0.582255009434715	0.509788270923358	0.288498137214947	0.683765207844711	0.040595545004722	-0.156913314741907	0.659455070842694	0.844550295409841	0.39381746503204	0.85155513402523	0.26032734154721	0.632070744929403	0.559526663757359	0.585129359783688	0.763369756857862	0.642894072395539	0.7406077046837	0.573302058039408	0.675442658067544	0.745821609015351	0.413362479898939	0.614448702533989	0.576495447763341	0.18847608812609	0.216757540354802	0.411810529512562	0.62281417591473	0.413795075300413	0.599256046436526	0.623503562221298	0.459857872431467	0.694371992795872	0.604831366707449	0.81216338364023	0.681159401682865	0.687235687553835	0.571954496069007	0.456943344397414	0.455489447067413	0.596586419278918	0.482863543543817	0.387940968068718	0.420087571251804	0.780153101165828	0.585164145512721	0.828972149432401	0.807361032801738	0.396110022858776	0.6004959637062	0.721130131615177	0.853085113719925	0.55947838154856	0.8207551652636	0.75794836283728	0.346252606800654	0.471253831751155	0.458665635265995	0.424617372088661	0.738838344532242	0.614591540861055	0.705449106977848	0.425712660027551	0.110125099797986	0.578126214217591	0.898248594139878	0.43211324040767	0.381261504772057	0.745499792008462	0.114840084937116
TNFRSF1B	0.868471260488039	0.847533116644631	0.546367309323615	0.797075122979393	0.372408908341553	0.85779161992023	0.668479474987204	0.756274492079518	0.706241397947444	1	0.87667606246714	0.622332608137418	0.698125465223458	0.756712444277113	0.699699291588289	0.728500657369936	0.794826814025346	0.895352548463194	0.830289371809694	0.87427626225328	0.805082777621229	0.606877122323227	0.784572402480202	0.783102281705675	0.725816388633582	0.711277583752742	0.661774669129149	0.591179557085795	0.699839672657562	0.878241161924096	0.55844294511794	0.727421248411576	0.937885193060844	0.513736300067129	0.8381578515305	0.863048586406343	0.511271536588925	0.784238690089177	0.366260574155374	0.853077400967035	0.690380599407783	0.816768402019148	0.669961003343946	0.689711718815175	0.278048838922214	0.612394547136142	0.615844806939516	0.784702366479968	0.622584963346907	0.521029483895675	0.843675532001197	0.540247300158929	0.809933179194377	0.778977342958557	0.736509830165065	0.822082686060392	0.624530822282861	0.717103933248795	0.418294249445145	0.232767266152188	0.735403149099193	0.832404894910121	0.830393247853345	0.52972396615296	0.680030172540353	0.620899255459493	0.748155421944125	0.860155774166102	0.578476455319125	0.773530409000419	0.483360143316292	0.776523618024391	0.735080511338572	0.579626105622758	0.691094996627834	0.682437615302489	0.647041904941227	0.450610124069096	0.781751096550967	0.20365736810925	0.0546104403436551	0.800637737570809	0.708145562692446	0.419608629350696	0.812626942891237	0.428997437802139	0.87463538153519	0.739594973290552	0.778773533562249	0.480149663666858	0.794519168609652	0.869689512508789	0.720172915475663	0.749912996946424	0.705711459874446	0.657723649912144	0.832027660721359	0.487705688345903	0.327319964920367	0.314661709249346	0.58702820029654	0.5146988125033	0.427917535155481	0.716349548982963	0.60047487556347	0.481341694334708	0.864537982647012	0.611240607534228	0.743125342916702	0.822691729975393	0.750134116864644	0.657060970462086	0.509846786973075	0.491595076164464	0.749468643747048	0.700196257914515	0.609497924981947	0.699299165741408	0.691141631980584	0.640755728950316	0.712095270936581	0.770530858950958	0.591849550390206	0.669307271519444	0.745095200993453	0.701534146160561	0.680204097198444	0.828562627428927	0.754491692353943	0.688024556260553	0.648700486168925	0.515179710265617	0.524989917156684	0.628270351742013	0.68370060322638	0.75479822165635	0.60080071604855	0.221007244600887	0.699403020199015	0.689034915393116	0.646940611892249	0.471873119717759	0.835445246679495	0.24923542773812
