""	SIGLEC10	CCR1	CCRL2	LILRB1	CD40	ITGB2	LILRB2	FPR1	AXL	TREM2	CD74	C5AR1	SIRPA	ITGB1	ITGA4	IGF2R	ENG	TNFRSF1A	GPNMB	CD163	TFRC	HAVCR2	APLP2	TSPAN14	ITGAM	NRP1	TLR2	ADGRE2	CANX	ITGAV	ABCA1	NECTIN2	SMAP1	ITGB5	CADM1	CXCR4	ADRB2	PILRA	TLR4	CD4	CD81	PLXNB2	TLR7	CD72	TLR6	ITGA5	ITGA9	KCNQ1	THBD	KCNQ3	TREM1	TSPAN15	P2RY12	IL6R	ADCY7	RXRA	UNC5B	SDC2	TLR1	EPHB2	ASGR1	PLD2	INSR	TNFRSF14	CD226	NRP2	LRP1	LPP	SCARB1	SORL1	CD44	CD33	AMFR	LAMP1	NOTCH2	CD93	CD63	LRP10	PTPRC	PTPRA	NOTCH1	NCSTN	PTGER4	TNFRSF21	MCFD2	SORT1	RPSA	SDC3	NCL	EDNRB	EGFR	CD69	SLC16A1	C1QBP	PTPRZ1
SIGLEC10	1	0.764158801742868	0.716176624852398	0.636569213114811	0.728242391487334	0.794847697223217	0.652746019187165	0.871682782796993	0.488771638768119	0.837022728821908	0.629058274921161	0.804107857543001	0.877645841380636	0.83352472468305	0.501257111813438	0.784905554055251	0.858862437024686	0.821555975590407	0.461445057365584	0.839486557238153	0.802049299254884	0.785369147796439	0.871559763080094	0.801860713863867	0.740928738374455	0.731349649490189	0.732784816714672	0.501082839780974	0.845146000072747	0.895861539632573	0.768742321126612	0.691368736579777	0.742339040826754	0.649162576908532	0.635880874939773	0.400539914229191	0.698339885531669	0.775556057335939	0.643016227952888	0.888387182939704	0.842820561139896	0.826566839758316	0.715463784344922	0.63814334639049	0.553843676629392	0.627219878588766	0.571377925328024	0.863238948655608	0.546112706193968	0.579955304199311	0.684359092143017	0.794094647465978	0.317781495014265	0.724810858575513	0.660973975809054	0.737025133699241	0.500347427462794	0.617658675030489	0.708183287581811	0.594513010219015	0.411443600441709	0.722815458625903	-0.0316570764289712	0.694863531093173	0.78509394158385	0.735236472517348	0.858450343039205	0.791143416060033	0.802863926465743	0.805345618822376	0.631400869240891	0.680700355528323	0.60930017004257	0.873100675428793	0.700106465929789	0.524328357993236	0.801995404215008	0.78219959901046	0.744698940463963	0.693890457665398	0.547716923905121	0.756136235434343	0.448295799868208	0.670199465530557	0.76476762463202	0.712740349706645	0.588470282058677	0.755006794919577	0.599762075299742	0.641148903007831	0.175185711262603	0.294731508468344	0.411687623937187	0.554187095420774	0.186173957674667
CCR1	0.764158801742868	1	0.679076489541909	0.608944201191967	0.777623799321379	0.868451232353111	0.51210706200972	0.880463462016644	0.182804657101256	0.782942133623278	0.425566284460282	0.733327364446666	0.75948125073274	0.838526619877668	0.59035908550093	0.63544597924907	0.841909196044166	0.824094790740631	0.427036260654415	0.681428407556439	0.644995662914061	0.80086828400731	0.833774440994595	0.690621042353946	0.858325656713796	0.78544496479449	0.632986315804506	0.611268439258353	0.82306924314958	0.77986959909963	0.665407745933475	0.758664577450228	0.796941444536424	0.497516717767116	0.320401163279476	0.0167036103243084	0.573214106562447	0.565648425300338	0.457090808654551	0.837656566845598	0.765752258352512	0.850456553613607	0.451020318329497	0.403050109104899	0.626504254904832	0.704756637542791	0.45313879660078	0.758726924878753	0.646077593941751	0.427512547655428	0.835733110865783	0.708703074803567	0.508125734524153	0.687531117972294	0.631805431040149	0.839146090907594	0.496012641371005	0.561072450625219	0.720312162166005	0.425699186030413	0.517256802282832	0.69676288935783	-0.174095033143214	0.659274048823118	0.718880849400229	0.663775591382398	0.728884340703311	0.686461008926415	0.613048589835496	0.628373717581758	0.664279122645996	0.756455002802974	0.435817252059441	0.788050219433802	0.53301840486386	0.719779565590166	0.771290265712947	0.72318237852586	0.75639181524115	0.646740038168009	0.556361446103657	0.720891212993983	0.363403848910675	0.575022489288361	0.771276065378957	0.662163180605414	0.748444610450419	0.631785823328441	0.705333205940711	0.596577225818074	0.248343125270386	0.451701401485897	0.502417714149338	0.683984896409289	0.27211438974511
CCRL2	0.716176624852398	0.679076489541909	1	0.438929646770533	0.645239418997108	0.660910124910575	0.339012003298589	0.710252974570364	0.267889529427426	0.743692748603351	0.268351106353323	0.77703497347257	0.721871699168844	0.775250671643409	0.334055074024251	0.713292804300799	0.749006154669823	0.690616664794868	0.631146306880179	0.677766310935709	0.829578364211955	0.710616558492373	0.796543592040734	0.736271215063949	0.659926874914604	0.699805846452828	0.568088807040562	0.361114321548069	0.706322019625169	0.815340168935388	0.780814577882767	0.529861841499595	0.61051856464182	0.54213373250303	0.437344727625746	0.368295217727803	0.703381404904863	0.752983348711883	0.472301466381761	0.696085048581666	0.716754764751595	0.723895890480153	0.574268503740681	0.617688842583915	0.503659533033053	0.577488726110822	0.281289450667204	0.72733464627401	0.445409722145181	0.397716481740412	0.755090701289165	0.699229058867439	0.383939973741981	0.734286043520775	0.47873098201029	0.681882965964421	0.316113486907321	0.678407472898746	0.558171238259213	0.344602747562015	0.263756292380915	0.701520040404495	-0.020826758055009	0.636257367946577	0.708288091169852	0.759849578886538	0.79213932733518	0.751877781490582	0.787601721488977	0.784219080081604	0.605600980320708	0.517074789682696	0.453904554370224	0.81519645292111	0.576884668170021	0.339430967508774	0.726007368798137	0.612795867540329	0.654144296983931	0.5831375900282	0.518009624363853	0.716187471911494	0.40879713267749	0.635755418609812	0.691443253453391	0.682096366931504	0.502773330003269	0.7078009740403	0.551703846320083	0.563306598080085	0.195847543968228	0.283997004196182	0.376152086160713	0.447297438006105	0.210304900959963
LILRB1	0.636569213114811	0.608944201191967	0.438929646770533	1	0.568027249944557	0.672027717614571	0.765962193762746	0.738792369094814	0.597885644149977	0.622257496512144	0.719861898436739	0.538294134503797	0.693690322509655	0.755056230393591	0.847918116761536	0.434811948811356	0.518928171559845	0.738274300013699	-0.0350300460952038	0.48140890936988	0.410325407193579	0.774807855385933	0.601914794477858	0.729657015885114	0.665149762028065	0.394139655275728	0.826281293500113	0.813927885688107	0.747758706917277	0.600143812325348	0.496717398928152	0.581469744148879	0.734163797331047	0.255921801283479	0.451556756510177	0.286829058399596	0.674016134328233	0.269247032946802	0.706942308713679	0.728567932925774	0.550236836124335	0.583055196820478	0.556543163972918	0.282175837764136	0.769306529303714	0.451335592398727	0.738156821557237	0.670919514710612	0.368568129688759	0.834757811655852	0.540330127758545	0.485277926010032	0.611650061195418	0.713884897827154	0.823899206188037	0.588077058603321	0.779120731555305	0.0820338787394089	0.885100542490416	0.698007622164947	0.516093767543492	0.672043223221624	0.169608367535919	0.426933136460398	0.702746363969501	0.397683932399532	0.451610048286486	0.666004613220508	0.409464468126252	0.62363002587144	0.368940536632037	0.665628033187655	0.629553616149059	0.462466533037755	0.475374382381965	0.64737272879858	0.427055841545203	0.672830359963944	0.881427754453647	0.597104085682399	0.509631135091582	0.472189760032843	0.791532124898015	0.591701764529879	0.620790881276983	0.692740796689624	0.617963751440348	0.367686553889787	0.80979487392409	0.357388270645402	0.143709111869775	0.756785113985801	0.602262612242049	0.570175741614805	0.164242278205594
CD40	0.728242391487334	0.777623799321379	0.645239418997108	0.568027249944557	1	0.901471099341541	0.428709867161525	0.868801930278248	0.310609826776063	0.899226558760497	0.512522459162411	0.57356521489178	0.672850244880672	0.814496409695363	0.520344759088712	0.558170889834168	0.780629081355108	0.819497801492215	0.398360805306824	0.516979455166346	0.576590355433988	0.844387601265033	0.7296039621791	0.677944065369173	0.736738372611522	0.61541921038178	0.520350728698591	0.522236721684533	0.758784977226747	0.68430100198498	0.561640151877701	0.811214053180155	0.814564891226601	0.46646700093287	0.443236970208933	0.119963910397813	0.553238771041643	0.597898983588677	0.41302765887905	0.759409771302859	0.877773415350932	0.731612432181305	0.482499751026055	0.425175486471968	0.587613761167272	0.645738075058463	0.369014277003242	0.71255143970882	0.508966170873144	0.431384093035164	0.692598679679446	0.641826838064994	0.52735461928372	0.614451053180454	0.587268973949063	0.743615153906272	0.447095438323572	0.438432524291964	0.671011561574891	0.378011377564788	0.641527434444415	0.67026856781102	-0.160321800064373	0.719365792589905	0.663613456671014	0.572719090011668	0.649331912456116	0.590123968406502	0.604004699410121	0.574446068113376	0.548995531597752	0.844550295409841	0.439178983118293	0.713843997466319	0.476763228109685	0.458854267343072	0.821393135707055	0.685313046135068	0.663996750727908	0.630404257016844	0.441375114745031	0.638490924508663	0.348709443027774	0.489381009188042	0.814242523264251	0.646467535110848	0.85156527194194	0.513463339247927	0.727519626904363	0.50948926082721	0.177916146047488	0.494430971018395	0.440700343159186	0.782431027613847	0.192530172150727
ITGB2	0.794847697223217	0.868451232353111	0.660910124910575	0.672027717614571	0.901471099341541	1	0.576564614698427	0.931978186954199	0.383032062914765	0.919205040222945	0.60753681982672	0.663764434234627	0.757708653296008	0.862180355073054	0.614256213830779	0.597259027295251	0.835536158977319	0.888376551617439	0.439997143179147	0.64726995685667	0.633599519967713	0.87002499547533	0.81271559793143	0.692996442564743	0.843570608902687	0.716828269322967	0.602373029616743	0.603935291790996	0.843558288652141	0.720520005623149	0.617419990980716	0.854488215867506	0.850620985783269	0.506497141380109	0.502582702786786	0.156636886285805	0.587956262177038	0.63093706976924	0.48595802111059	0.843246461483406	0.907577232063046	0.817431137235574	0.582009445369756	0.52039368492815	0.594718934135395	0.720885029240121	0.480646001526708	0.762541676051842	0.61675681657079	0.484778173569446	0.767970892968191	0.722992850125454	0.459930606267901	0.679479825544351	0.653714870267954	0.839485651827766	0.489952104245875	0.500265893979271	0.784809205432185	0.487471446835588	0.749972285250274	0.721761930402953	-0.175068139030946	0.763698859872497	0.716870154323168	0.587477871992596	0.701403117644512	0.631674635494872	0.649806235795931	0.59618551260616	0.659961360192989	0.9025344147876	0.464361338829165	0.781444399938836	0.510539665635625	0.618446081951693	0.858059988289713	0.735020440986456	0.734956942871365	0.644764923257722	0.447694603302581	0.700595575263979	0.381004728888747	0.542136063118383	0.828792053951984	0.649560239189919	0.881293899530707	0.562300511835446	0.74720474494348	0.5223102613015	0.12795290672813	0.529174265238362	0.448939328136419	0.810665930649498	0.135631078164268
LILRB2	0.652746019187165	0.51210706200972	0.339012003298589	0.765962193762746	0.428709867161525	0.576564614698427	1	0.645403926150891	0.588747569651835	0.519491950621133	0.742683872157036	0.58005525845685	0.672960356319309	0.622914820911307	0.705576812014855	0.424457066670757	0.501789323105016	0.635654604208377	0.069215371859851	0.60239562592383	0.415350317643485	0.608472767017693	0.56780410386098	0.624516437643761	0.558307098624563	0.408471234181153	0.744773786085367	0.650713685260602	0.666688808717622	0.514980933182655	0.482766707577166	0.545058760951205	0.584557980944033	0.362245155975649	0.575319836305607	0.341622800420337	0.546793699308985	0.330156374259841	0.64194046862922	0.673562565391125	0.501686093201934	0.507303598824213	0.524695567987128	0.426390259319443	0.550403879030633	0.421185278552307	0.696253682539155	0.617013425846458	0.387368837681614	0.671014132754228	0.399800215370938	0.45097888238575	0.264854025583735	0.576498279129665	0.637601189084503	0.538601509611523	0.570981235944331	0.159470198905986	0.742188139348726	0.712339539015396	0.491896428008681	0.561276215679087	0.123547624449525	0.445870410515688	0.602300228565176	0.366582442410497	0.451697253862539	0.583328604479216	0.425299221369709	0.476304445888928	0.428965990017342	0.558027235279154	0.534136195758558	0.473845488869949	0.445198910599695	0.608756713744298	0.411913999653796	0.601126044523698	0.72212544185011	0.530584694664449	0.394887784747291	0.493831351044358	0.656657998285967	0.552362039101965	0.534910779189533	0.525995776031957	0.460944776276909	0.38208544718543	0.577840886732469	0.351353980340721	0.0824973145473952	0.494094514944927	0.411526383846637	0.43719493606326	0.0890949952362083
FPR1	0.871682782796993	0.880463462016644	0.710252974570364	0.738792369094814	0.868801930278248	0.931978186954199	0.645403926150891	1	0.42625360808866	0.922873434327117	0.63206636862059	0.738779338347631	0.834641684758556	0.905820470368989	0.62411420623584	0.653484754764532	0.867512486187152	0.934019376953165	0.370593372749317	0.698803036460013	0.702361170965804	0.919724971557674	0.851863151464916	0.813985542014102	0.839546413940396	0.701706348073418	0.734331412224756	0.647386777467951	0.880204690140311	0.837529121346195	0.686728839725254	0.842807518731703	0.877185203185793	0.549171881844975	0.499494148093933	0.249058951526332	0.655590187994374	0.662816553214328	0.576328651559788	0.914660576220756	0.897467435926006	0.837402455839291	0.643851303069277	0.504556441140065	0.700546935370767	0.703417031441386	0.560494758980645	0.857368047785179	0.589201068383934	0.595816693127865	0.779748252940467	0.808337415910027	0.552665485435362	0.764192512143752	0.722819095874629	0.832126563311641	0.596567350401152	0.51378112422624	0.844522153226236	0.547500107942289	0.585690520721663	0.746385272407237	-0.0833130069064687	0.730614408671908	0.819752471208633	0.667535525239357	0.768280982782484	0.737902095858812	0.697195644510288	0.741406823341402	0.626190884799449	0.855040577674096	0.545286217545858	0.812207627605544	0.566950578528789	0.643468836800326	0.835014094501811	0.806412118374631	0.821463110127621	0.713359691437873	0.540315959733493	0.715288030364378	0.497951725723041	0.62873633170568	0.851048307511997	0.749466009866701	0.817009870566398	0.647727333162523	0.772964477588731	0.563346555834431	0.173109575392975	0.555222591187175	0.514146717196204	0.745156036889504	0.190739938214253
AXL	0.488771638768119	0.182804657101256	0.267889529427426	0.597885644149977	0.310609826776063	0.383032062914765	0.588747569651835	0.42625360808866	1	0.494044901905689	0.835480600347127	0.338209400805275	0.552272186733866	0.441653978772861	0.496238846775022	0.317273850343609	0.22331811166679	0.486290345683731	-0.0242801459969743	0.318140224843872	0.313307488451481	0.491282889908038	0.331377201444316	0.571277231854377	0.206651654983007	0.0329642877202974	0.646391341508697	0.466057601569959	0.462787672124356	0.371632256719767	0.342849393594442	0.347893914844081	0.418205922428215	0.156796226382505	0.739230009119072	0.710291437164066	0.451052949938381	0.282173803771358	0.730889457861551	0.456068275702279	0.496285869125749	0.241666345552205	0.678385209231959	0.475293384381633	0.444220134345227	0.0832514346146026	0.549824131429699	0.466571111345419	-0.00867077972148127	0.610827952249252	0.123492477047165	0.280961358068196	0.134691149778439	0.399408583597753	0.503684812125661	0.184030253719444	0.542421844183724	-0.0379826875266088	0.545079820350712	0.596531801118621	0.318608587858419	0.433624989405384	0.230913855678067	0.332263851322532	0.337206903620828	0.160717105179967	0.295852515479848	0.394596563857802	0.386939928059884	0.513449951650102	0.173292495401519	0.399201010747248	0.485636515573019	0.299084265295355	0.431322994956515	0.0910663310037854	0.30923818474646	0.504873005568138	0.47865856074807	0.367323164751083	0.233197624992017	0.35912521123893	0.594556755058978	0.411470881252285	0.423166955711773	0.405718767008146	0.345873960548815	0.23418145772561	0.419328234558213	0.166404639517339	-0.0578198092229514	0.394972950610494	0.254666671571315	0.335095929408169	-0.0490809574143349
TREM2	0.837022728821908	0.782942133623278	0.743692748603351	0.622257496512144	0.899226558760497	0.919205040222945	0.519491950621133	0.922873434327117	0.494044901905689	1	0.625492446385704	0.691541378729873	0.803459554242411	0.869347279242175	0.504117878494557	0.652500381198859	0.823039476422277	0.895049315431492	0.473414304674838	0.650354806439627	0.717921386557032	0.886287279922993	0.809860693934812	0.781735114590464	0.741178259651649	0.647731019054018	0.635783327090842	0.539827292529503	0.830998700942412	0.792602635407798	0.672378299441235	0.834291163962842	0.832451011721886	0.51336892821415	0.605123760670609	0.354873972922655	0.640910309505123	0.745542453038558	0.529787988515696	0.830472480411718	0.96949431053416	0.786414337826212	0.686102632384019	0.604887973856961	0.61401124759029	0.642126771301643	0.463830375491599	0.810886373914971	0.480863565446944	0.514358368109591	0.720356431603257	0.765153122828481	0.44681146327992	0.689571329805161	0.615404991309205	0.771203647479029	0.483348628945203	0.527379325654687	0.737307481595099	0.462669898443213	0.60600914726358	0.726271425924125	-0.0806264967585212	0.763212352226478	0.719896935077823	0.651518071091517	0.762636246349254	0.693662423493843	0.774759443946852	0.721127739664463	0.600743299036314	0.838619983303358	0.490468700655088	0.823628844497611	0.560750481022718	0.420845947584633	0.893585045694504	0.780715156238137	0.706300353383058	0.683642755669056	0.487021952387127	0.718255492792292	0.414016585692018	0.59624030363326	0.868723963491746	0.711916282204555	0.828037142215566	0.617211760398476	0.70991122820644	0.547277559204967	0.141472070275104	0.470911968208903	0.414303892552922	0.764715205987496	0.155031440613807
