""	PTPRZ1	NRCAM	CNTN1	CD81	GPC1	CD63	TNFRSF12A	SDC3	PTPRD	NLGN3	TNFRSF21	NRXN1	RPSA	MAG	LRP6	NGFR	NRXN2	DDR1	NLGN1	ROBO1	DAG1	NCAM2	NECTIN1	RAMP1	APLP1	SDC4	PLXNB2	FGFR2	NOTCH1	FGFR1	CAV1	FZD3	VLDLR	NOTCH2	CD151	DDR2	NT5E	LINGO1	APLP2	LRP1	PTPRA	F3	MYLK	NOTCH3	FZD6	NLGN2	LRP10	GFRA1	ITGA5	INSR	ITGA3	NCSTN	ITGB1	SLC16A1	THY1	ERBB4	FGFRL1	RACK1	GRM5	ITGA7	CD99L2	NCL	PILRB	GALR1	CD44	LIFR	ITGAV	PDGFRA	EPHB1	NPTXR	MET	CDH2	CHL1	EPHB2	GP1BB	SORT1	TFRC	AMFR	ATP1A3	PLXNA3	PLXNA1	CALCRL	PTPRF	RTN4RL2	TREM1	MCFD2	CNR1	DCBLD2	CANX	PTPRK	ITGB8	CHRM3	CD47	PLAUR	CADM1	RAMP2	NEO1	NRP2	CDH11	BMPR2	NECTIN2	LRP8	KLRC2	DIP2A	ACTR2	NRP1	PLXND1	LY96	TSPAN5	ABCA1	SCARB1	STX4	LAMP1	CD46	JMJD6	F2R	IGF2R	SMAP1	ENG	SORL1	ERAP1	HLA.DPA1	CXCR4	RXRA	LPP	RYK	TNFRSF1A	C1QBP	TNFRSF14	STAB1	TSPAN14	CD74	GPNMB	CD68
PTPRZ1	1	0.667459778066962	0.958142469918129	0.232779880055208	0.14800042803395	0.20430196123098	-0.0501136205783593	0.974889026861883	0.955890010822195	0.955022122103597	0.718383324811906	0.992226064472105	0.376548069098765	0.10246244536593	0.900223375680243	0.373827298703559	0.965760464831296	0.442080158645014	0.974118280142572	0.638854983027962	0.774807094994226	0.972614977469375	0.846005441475985	0.729745279205637	0.72519416995509	-0.0568352979461286	0.318485788806454	-0.0661919058114577	0.768578154947724	0.421531270131832	0.02052049233723	0.627548419598602	0.568883702303815	0.241300160364806	-0.0123398161246181	0.120433919231471	-0.00200136087821131	0.965220795142676	0.40248963351725	0.413515740431557	0.71751480474595	-0.0379309690276956	0.251161690484343	0.0239387802829537	0.591669251305795	0.922791599998372	0.351615151395508	0.945414165797388	-0.0687038039742398	0.756539865376985	0.195426344528348	0.293770317790442	0.222336979836207	0.342747977135431	0.217868121258794	0.979420757024564	0.213460269125359	0.27804496370987	0.981399069367353	0.842951138146915	0.414670772379655	0.593282835392847	0.43560928588519	0.974843366576319	0.0476945416724107	0.774797598333318	0.323404243568955	0.988963695713327	0.887121273217058	0.91223610703402	-0.0140403291551148	0.915476393151023	0.991003743978199	0.761941111045819	0.912660073576792	0.790093476483348	0.143061031871087	-0.0719410024273797	0.976630044918554	0.26846037680483	0.359192372716879	0.346896577810117	0.661790865263486	0.862580973585472	-0.100741604534306	0.137579966257953	0.922343245975743	0.0632367615132848	0.230401330733331	0.631669513500726	0.554828336773334	0.971086594573272	0.558285258345659	-0.0923708085445824	0.363910655517752	0.90979351259227	0.793922729844297	0.0821076283648281	0.869354491755027	0.787239036009199	0.354269587934779	0.75363401149549	0.958999301231594	0.822008671359732	0.386575244955992	0.0223483027458317	0.0129407779091725	-0.102865995511864	0.526758318246574	0.30665445892078	0.036526866239898	0.277110134980488	0.35306036976174	0.571636332917768	0.27970721739496	0.264779912346533	0.236848814249902	0.475833656683074	0.159273608848821	0.731367822467865	-0.0179266673082746	-0.0580819497112219	0.342046855528678	0.439397464314369	0.416449765894838	0.525250539567316	0.19387829382024	0.365873929439225	-0.103497774690654	-0.162754545347873	0.729648435196161	0.109830749586697	0.0851553220161353	-0.102660854528922
NRCAM	0.667459778066962	1	0.753243705899516	0.782087389200888	0.803513862831595	0.706168402733385	0.587027932157568	0.733583417606571	0.683788832872392	0.631643419497689	0.895935120914129	0.654414156317692	0.727458825653171	0.0572385171297503	0.885931991886071	0.542609652708454	0.63810259311685	0.896700975089654	0.732250716394091	0.894824589050516	0.916704085140671	0.657477329787718	0.797218860284533	0.812202209515983	0.574356584568555	0.550096600241676	0.851433807959738	-0.041263312389812	0.931916029480503	0.708560698529715	0.612863624097957	0.952899241557405	0.682083835885303	0.803081327550964	0.665551315233237	0.612481825101231	0.561933151783275	0.624674415689287	0.848991562219611	0.62741762695013	0.910393152359794	0.3236425668719	0.816129871243995	0.576425631204513	0.964547788608862	0.844335905703555	0.840708719541379	0.668553867634073	0.369542665204181	0.53379817667717	0.827484497575409	0.751672386203145	0.719089792939775	0.583673051065001	0.843126774524577	0.645532680313224	0.816427035987185	0.57734573043992	0.61377381637726	0.864812255557758	0.893333971003533	0.903439119102639	0.861168610213488	0.671767151260912	0.69566467449107	0.908875520948089	0.910645882209228	0.669179253396789	0.603036703786872	0.792332011519627	0.603280831345533	0.880587330211552	0.646698178509818	0.838571957189145	0.706768928741319	0.905873230836959	0.448331723351964	0.302006800058776	0.632582949164464	0.591236378411844	0.888334108369153	0.914469585061752	0.718264385918624	0.656971516736099	0.134188950071941	0.558792103707362	0.728554282213595	0.76822185268883	0.579161495296841	0.941138860545464	0.967469674318134	0.659901821275472	0.882878995287299	0.34118457380211	0.791300197208897	0.549236641176639	0.821502718546915	0.777635658861201	0.861951579568871	0.873365928010663	0.823816108712563	0.949021047428186	0.585889225497366	0.873246967746033	0.825223835801326	0.609609457807133	0.719460325383883	0.454598069136181	0.927360620529128	0.835897258120691	0.408021723071195	0.626795097606311	0.788035535982345	0.813482915222834	0.479077023763945	0.760372518076383	0.662435410875974	0.623746206664145	0.69269716921963	0.700126979259588	0.436711791583344	0.490911937063275	0.717909807129675	0.799860304741877	0.841262907279205	0.835823358388584	0.780269750339119	0.809468169061668	0.27540727470306	-0.0949276510595315	0.942576847196241	0.259805186742209	0.28824486233453	0.200133426145139
CNTN1	0.958142469918129	0.753243705899516	1	0.398287320544732	0.309452225812806	0.356128278710014	0.118974397474107	0.979454374934149	0.941850293875781	0.958796415525135	0.837227367436225	0.965164431564335	0.526546129161712	0.195830463771589	0.946215146493741	0.362999092944001	0.97188857351549	0.585828339095763	0.967772851035542	0.736871539629968	0.834790292348884	0.966625481032213	0.929850809851763	0.8184799703065	0.807257641354573	0.0881287372781977	0.472420432754176	0.0127206360530468	0.865696298204125	0.498751735523833	0.15729779952747	0.718424107993117	0.645270967441636	0.38214976599513	0.168615440887254	0.230572482580191	0.130703665285711	0.966759084279178	0.515101325201234	0.472947370252172	0.7814983237422	0.0319569380356366	0.413900962081991	0.13365032426513	0.692998825699974	0.945161166771109	0.47180621467044	0.905620606929434	0.0215522052668076	0.719433591647882	0.354612858552774	0.423076643865437	0.332735742831235	0.406385618384455	0.388507586892532	0.969281235540914	0.360416845822758	0.401895293098502	0.938502570174566	0.84986168285348	0.560247063799512	0.707328917175275	0.541646077778025	0.937112227896877	0.192783608273158	0.815922787703373	0.462503565218125	0.967099903386961	0.942841986937428	0.89558270205288	0.12306917957655	0.937548119417851	0.960084016379089	0.848523125670174	0.939748553585222	0.844221972222385	0.212896539333403	0.0974244880069284	0.9666871558372	0.343924361127003	0.49579089019664	0.471823556835108	0.696237954564362	0.893522821349693	-0.0598978078287301	0.233611559113425	0.882580442815876	0.230255697170053	0.318576296881208	0.732236250986679	0.636735525255844	0.946766355867198	0.664571962728528	0.0044631580386765	0.472559177592025	0.909483993078137	0.872198687834957	0.234681431115371	0.891296880114753	0.83555173067617	0.486936431103876	0.849991754255724	0.931098979035556	0.863166350234399	0.51255150918463	0.143111250289809	0.177905137897799	0.0417936669291114	0.637318920037249	0.408044682490175	0.130691484886954	0.398167297891887	0.476408966367558	0.618430144085173	0.349246418182243	0.374307383930438	0.325184928950462	0.545899685741331	0.281246612455658	0.743776494714973	0.0758231238207202	0.0674959450892214	0.472760286348452	0.532423683519153	0.517838366266081	0.623656080509953	0.350508466445782	0.52575763262255	-0.0219763900486967	-0.14356302475219	0.792518308404777	0.126569596264474	0.11546085865961	-0.042016850562542
CD81	0.232779880055208	0.782087389200888	0.398287320544732	1	0.949431104054955	0.969226219488922	0.934489884844349	0.373257493495837	0.28876975119006	0.275974335619331	0.715297135670908	0.232191527172997	0.917154239546873	0.199527187574514	0.572242393842288	0.543350108532981	0.262422632459295	0.854999573250038	0.325535295415116	0.848875098283667	0.727887018287706	0.26301119243866	0.549849823941765	0.640823002387471	0.42347687309707	0.895774896779826	0.959503797026439	0.180962575757557	0.721151498028119	0.823748773527934	0.895041674914905	0.829802399504153	0.713477865470486	0.954675868875654	0.949132346486977	0.860267596925516	0.876905361763254	0.264403287239271	0.933956302845859	0.776474527667329	0.78519141287679	0.699252571992249	0.848250191817641	0.872637641160836	0.855401204968684	0.53356164348306	0.937094867113956	0.247157995235786	0.750637306841192	0.209093686970123	0.859081044041385	0.936167134456983	0.907673622085839	0.745011348003873	0.884460858043789	0.241446331480569	0.958246380551959	0.853766665145546	0.191336208773069	0.539665439953983	0.895362614878397	0.848587136117927	0.904694702316372	0.246070834596453	0.932344391896001	0.67723501818818	0.917508159704925	0.279809861349102	0.298197114783577	0.444152061861706	0.890079287811019	0.508805400325534	0.234338143924253	0.70554798660702	0.414669026463736	0.651700349451299	0.740311858157056	0.67515653027982	0.241530922958507	0.792661840779025	0.933288639847205	0.822093310123038	0.661762857242595	0.482046021366194	0.544930516330286	0.810174561258946	0.331267511266812	0.837136968909042	0.798092400812213	0.816151083818463	0.778554725896097	0.24559008739018	0.888489072018848	0.755945205365634	0.870250668441266	0.21311576993251	0.656828144325593	0.859289658324096	0.558688924384629	0.698580690227283	0.950512797776094	0.726231823182259	0.201901811824918	0.650271247089794	0.916641466458903	0.88251915893436	0.920731652376184	0.86299551777705	0.901642636027935	0.884845231489544	0.738561072479965	0.876377735765352	0.930707875156675	0.783882430482801	0.706018635202558	0.890363852178914	0.84597327632916	0.715033082223319	0.910982982517196	0.437674361857829	0.76474858873356	0.815084565629801	0.714138991285178	0.859209080964737	0.883920738493877	0.858882509197364	0.983372672878245	0.93413689532501	0.671934552718117	0.0838962697221377	0.746348762658584	0.280872715680381	0.409496994382433	0.621171233333498
GPC1	0.14800042803395	0.803513862831595	0.309452225812806	0.949431104054955	1	0.890507098113032	0.903541624798865	0.276031123979342	0.202163212407536	0.172549399624255	0.677083730357313	0.138733360254087	0.797602249192789	0.137581253653868	0.50932099672566	0.489928492034508	0.155354395156681	0.891667240647671	0.246536162358736	0.75634936534635	0.67373227652456	0.163087903147733	0.466128270808985	0.593389897262792	0.326056961058264	0.857409825356937	0.950098734214196	0.137564010345063	0.687002213398269	0.701790841112834	0.854749673096799	0.79547838741518	0.560911089361318	0.933157030385573	0.960754402693589	0.784470447229969	0.823167252033694	0.14921694002444	0.875580848614	0.617339435924473	0.70333640978388	0.56597231281227	0.908408998590001	0.819212188728226	0.84263029921641	0.455708118856661	0.907500575054393	0.171595843605257	0.64342980514535	0.132436060676723	0.9477809287877	0.859746785128345	0.844235489114725	0.602296386012053	0.95418640101625	0.143354670714114	0.96160776995392	0.693064059173598	0.0987676999041443	0.531617895796797	0.907283238627755	0.794147002130544	0.867173639877568	0.168411789124302	0.934430720170518	0.633582767487673	0.960068805096822	0.17432764364366	0.178776636877599	0.396041536489135	0.865420322375389	0.470360508899183	0.13990341142089	0.602961656089297	0.304038518088272	0.627670397744712	0.592183147129893	0.624602362821441	0.1332496292281	0.668652036222911	0.937843875944939	0.899208637192645	0.520768111113387	0.314673108350506	0.373944828436359	0.710203020217124	0.279097541045213	0.944122052810888	0.677962829632339	0.793965022054929	0.82577068205313	0.155809280908653	0.811892447811347	0.635408553728889	0.809274857997081	0.0972731033478518	0.550585811184625	0.950188263722852	0.504096126682025	0.599956012294526	0.896695326825799	0.698008549439391	0.0950916130226201	0.567770468914028	0.857277361641567	0.844667827921861	0.967961343643037	0.786822631124274	0.865593849381676	0.882932675684029	0.614504243772892	0.737386604022357	0.858449480185089	0.693840819552374	0.536654762841443	0.847534179065118	0.760962304039281	0.552859133818261	0.871585440051854	0.390899572045332	0.672484979870765	0.771582483208352	0.697184649497314	0.788601798003569	0.834095123481807	0.771081254392351	0.960778255498802	0.880085879997994	0.542550425076723	0.0703180407336776	0.712946327831416	0.280582152333931	0.346145655294455	0.461655349427867
CD63	0.20430196123098	0.706168402733385	0.356128278710014	0.969226219488922	0.890507098113032	1	0.948439647358808	0.339954255710953	0.263025010528055	0.241240208439081	0.645407244317132	0.205134050987711	0.936619783037795	0.187556689660117	0.526747537666518	0.577388906702309	0.233579487906042	0.774815009790633	0.293311193932258	0.824956796007524	0.692495787510501	0.230611357993926	0.512555346044641	0.580414973914284	0.392443880350827	0.898589260801238	0.921153355922658	0.180783449441013	0.655651448011422	0.850271421731059	0.902552929526007	0.795528778261081	0.756462280485877	0.932193418640689	0.930697513829866	0.89879042262293	0.882804061237438	0.234568458435152	0.920216789145064	0.826514727393905	0.77357314641428	0.74176240164483	0.784719043773269	0.873758856018176	0.815966485931451	0.499202901125137	0.929829692739937	0.216596784191722	0.793100582749338	0.193219454119202	0.785518551704992	0.95808515121465	0.913558461027362	0.817864785470641	0.79292721156017	0.211077715840637	0.936264844257823	0.922002720694292	0.166609505662732	0.476374412006491	0.840354336580188	0.82361463523388	0.899892762722219	0.219251928707631	0.901422349928438	0.650541538745603	0.844528069731972	0.255255609683594	0.261858268490035	0.391410883953148	0.885866241725658	0.454214683577378	0.210636840576597	0.693362190002573	0.399976705210783	0.59772794170189	0.813382187330681	0.68016718431997	0.216024571568851	0.862137773629165	0.890177306157649	0.742669487766842	0.709197013633346	0.487420119956419	0.617385715316183	0.891056222511686	0.295303169557725	0.756180321851219	0.879951469453939	0.778965242232822	0.689310621614518	0.219963828557809	0.891329678542897	0.802104515003359	0.90027551891484	0.197175617474353	0.645225265454967	0.776649288840118	0.517227624040072	0.686051051429941	0.946228885992685	0.664485522282584	0.183166010510577	0.622312963588663	0.917991921441172	0.877652355269525	0.866286146914045	0.930101443186789	0.856794914604532	0.879642445890975	0.838857957585973	0.927229775666705	0.946941773368152	0.810395643372237	0.818691228319726	0.882544220864235	0.884397369466315	0.794515624196325	0.894826559426595	0.414596070238248	0.843973287478523	0.824045149266381	0.683670045846336	0.882735946611036	0.869309582804866	0.872049432703851	0.967137543810301	0.935337223622009	0.78100072453192	0.0965179058763003	0.693447497185146	0.248945738102285	0.445724613770782	0.718344141663468
TNFRSF12A	-0.0501136205783593	0.587027932157568	0.118974397474107	0.934489884844349	0.903541624798865	0.948439647358808	1	0.0904387398582645	0.0177606452529526	-0.0178315529786655	0.474967103346262	-0.0500723115289258	0.850509838466218	0.103686489107996	0.310960754859337	0.457693186812747	-0.0200922070652112	0.697602598610644	0.0489959752626801	0.677709590829449	0.512786706886425	-0.0238717489874501	0.29901916116818	0.39159514747586	0.176215868791467	0.960843349282766	0.873460953040706	0.139906067999548	0.498260532742821	0.749917827848104	0.938587966064127	0.657071667588678	0.582156738109134	0.909956066521925	0.970177060499007	0.882738230302425	0.928151918150475	-0.0237332364413494	0.845752598467474	0.710039912158338	0.609981289708635	0.752704009266104	0.780736577243684	0.876650907175965	0.704863274091294	0.277356487724823	0.853722258997083	-0.0260064001061067	0.822246884858872	-0.0109278847930379	0.819324407117383	0.882667341654738	0.88882984720008	0.711719811301911	0.804899737918125	-0.0446709822065472	0.919699321065035	0.833215783514394	-0.0837011535180824	0.291679774225557	0.795730348319862	0.712578230799443	0.815190663691809	-0.0301403485042727	0.943913130808905	0.466176752205543	0.81430747154763	-0.000796547411902989	0.019557466985994	0.169644922844622	0.941692354091788	0.241914023150642	-0.0498854804788883	0.515254483125272	0.153826835162021	0.409665292268495	0.766696961287586	0.659089775604938	-0.0412853008611514	0.773631831098943	0.842548988358592	0.719405387005278	0.516772493813174	0.250002485762622	0.633293451253108	0.850020010502034	0.0578770061459114	0.823231132847174	0.806070926911805	0.651362246430407	0.593943305135336	-0.0291376337141942	0.754892342829748	0.826538448570448	0.808210730500316	-0.058204795585061	0.438999892272925	0.836883736714586	0.304172129257971	0.493993383865797	0.878674602265569	0.513978712962676	-0.0718112631383661	0.429226496543977	0.851562310084351	0.905772952866113	0.910108780933776	0.939899419162381	0.765826848465816	0.826088416457544	0.792630341782732	0.8444989487817	0.869676309905632	0.669607579168769	0.709557813225645	0.841679311236058	0.827474012033797	0.648947041668459	0.879758538298314	0.213666010303718	0.841548734869034	0.849083726616718	0.599096753190444	0.780433620578783	0.794350187607215	0.756405302130286	0.945473520596143	0.875341797497419	0.773448876787245	0.0855852340797648	0.540790771786498	0.207238427669808	0.382974161146431	0.713462907116235
SDC3	0.974889026861883	0.733583417606571	0.979454374934149	0.373257493495837	0.276031123979342	0.339954255710953	0.0904387398582645	1	0.950414436662905	0.96321588217522	0.80997478133784	0.973684834758959	0.501266294784708	0.1858467264641	0.938857045000704	0.433942192724445	0.976878332320529	0.557187968206792	0.973916411562896	0.727116893071956	0.844857199054071	0.972086580651687	0.908702697738458	0.806960082587991	0.793168394224907	0.0713886749372321	0.446094135638117	0.0123605586963041	0.838491706126412	0.509000205644749	0.136825268741194	0.709221234827064	0.651271995315678	0.356298772289569	0.126788110815944	0.227535662045924	0.114257375413254	0.971128505430039	0.510593595761412	0.49493176888699	0.782642370802164	0.0538551742391644	0.369123182451733	0.132870023163789	0.669628685618926	0.951559842739941	0.468584310394715	0.931346873727449	0.031305307144012	0.758195572330601	0.303835830251095	0.414893692517788	0.329450085996317	0.424999757470367	0.333223122361739	0.974086881877074	0.337403538795029	0.398752226857822	0.950547061691418	0.867734707851743	0.523451891318018	0.685842507773922	0.534417859019271	0.958402377724099	0.173392933638636	0.83115086335647	0.433139451948013	0.977412901728447	0.919723490645785	0.92479259816456	0.101824723367165	0.938278707719167	0.978320267544875	0.832666130496226	0.933098808383786	0.846487108011328	0.230083954771658	0.0764998754469502	0.968933357921145	0.36099039094464	0.472518174787177	0.432642389904583	0.725606802935399	0.89964432815507	-0.0269866076324999	0.235952883245719	0.916644299391221	0.172554668155218	0.327987847816402	0.71875071984846	0.623959002971579	0.961364566902473	0.660506513449229	0.0189140049709172	0.461259499991864	0.913493322524904	0.862538481598684	0.192060188364751	0.907119594572938	0.840971547600763	0.477363045525074	0.822694065416873	0.942379591759312	0.870165086464834	0.49591008028501	0.134638565843378	0.143137837635702	0.028101022779834	0.631471632801512	0.407864284451816	0.136967163127353	0.396723339767295	0.474467784137487	0.631306007775666	0.37097530993737	0.365387688893727	0.335522943984091	0.554658584991877	0.280640595253058	0.772417959146431	0.0832106790463614	0.0625835368431048	0.446238519737186	0.536031614663097	0.510899192602843	0.616266574366365	0.328976447873515	0.488424210052628	-0.00486800156418735	-0.11547764824066	0.796718633264513	0.156469066303628	0.144936329553328	-0.0122383361001781
PTPRD	0.955890010822195	0.683788832872392	0.941850293875781	0.28876975119006	0.202163212407536	0.263025010528055	0.0177606452529526	0.950414436662905	1	0.922453397496372	0.745319676446612	0.966533648368231	0.420398472511697	0.145743102766019	0.914610115677198	0.401868487620587	0.954548555203953	0.47950329017349	0.976498341419717	0.669002073541527	0.791804956944885	0.947646491098651	0.883534539814399	0.722159943596252	0.747490327521962	0.00887287796970912	0.385093318708709	-0.00601077964157656	0.781946352073615	0.46729624376389	0.0800060335288714	0.668606320464015	0.629989649715913	0.298793899948	0.0523852630440977	0.178808606447728	0.054509711014233	0.919476361984319	0.452550342741733	0.45066513183758	0.738660229577474	0.0218250950465607	0.319901149596711	0.0835375727777323	0.622766739362799	0.914361334133787	0.418314292238159	0.934821388539676	-0.00892019124025657	0.778224990158406	0.241691363465496	0.360327302697756	0.283429276351872	0.409091599836734	0.247596230160429	0.956111485302573	0.270337201992751	0.33453590155683	0.928252699661219	0.829368073829732	0.464464579036819	0.614267528028902	0.475014961733004	0.96619275743721	0.110808868357486	0.816986501649332	0.370003821897374	0.945775485776515	0.889733493941836	0.869844299083801	0.0435171604758106	0.919241563981741	0.960649430895111	0.782449446174508	0.924012920617352	0.816263040696466	0.189864362475278	-0.00104107148806744	0.945423957289748	0.330016488635772	0.409127719861512	0.384281817413451	0.722016802569849	0.839230040360172	-0.054999797046121	0.188481541855753	0.917898430652583	0.108546213606226	0.28382220155467	0.686774768607103	0.575896701098133	0.974014719417179	0.607711854084065	-0.0362188800195664	0.417553265333728	0.896504444250775	0.840007699701572	0.1266665575196	0.890360437096428	0.817705387721932	0.416207466864647	0.779082543018684	0.895591262625645	0.859420782721525	0.434795445563201	0.0864544021909977	0.0700986489729792	-0.0289221074143413	0.570874803062261	0.371811414597432	0.0940484790453278	0.340836225705435	0.4085503169915	0.617745935958595	0.334298114476522	0.329974842378358	0.292604027168543	0.515438619110128	0.228977123692211	0.789170941329084	0.0369217587748463	-0.00569406596957202	0.4452989826898	0.49024185815898	0.471454576460709	0.568519114998469	0.256647793913672	0.403374028911451	-0.0485114212656116	-0.134679821436941	0.764442741796786	0.120200610757307	0.129593137981012	-0.0458803917442373
NLGN3	0.955022122103597	0.631643419497689	0.958796415525135	0.275974335619331	0.172549399624255	0.241240208439081	-0.0178315529786655	0.96321588217522	0.922453397496372	1	0.775099345644579	0.962639080996293	0.403131668870166	0.299876831971954	0.885709154349591	0.382776194339973	0.965682222013734	0.499412809919302	0.946650457526835	0.632652832558757	0.774861823744243	0.971238653284084	0.858772425210163	0.79221107521174	0.841342323754069	-0.056392893388301	0.343414261319986	0.114146705232133	0.776838796123709	0.386316119099057	0.00179544850418994	0.599485934882624	0.584812278730149	0.234863814969979	0.0316270067649918	0.0937590877781566	-0.0142504920003967	0.974460045870618	0.38421206944952	0.38652952047883	0.675063243734827	-0.0486132072331028	0.280416273191238	0.0202257180210208	0.562981521601618	0.885638908902373	0.363493607283788	0.913219181894108	-0.0819031385299251	0.714050981236863	0.189193666557413	0.309907064697548	0.194765068328582	0.310467024576918	0.237007962480295	0.970033645672441	0.214969066440303	0.303219492421946	0.938273329133682	0.815565655083571	0.406475307601071	0.562948678365377	0.426178614087045	0.938691314922625	0.0468460804023035	0.750512339106963	0.319539234493736	0.959381343180706	0.944509108027972	0.898054010079423	-0.0304405491587772	0.886541731713977	0.96476675096191	0.760009005256704	0.920297797283791	0.8036859633265	0.122985501375775	0.0837451162854709	0.958955808522943	0.247653088164701	0.356479628462599	0.321277177709811	0.630074941295299	0.855985993841919	-0.111212341422016	0.111223271726714	0.905370308414287	0.057909593006677	0.210295381433517	0.618492209162493	0.534678417235805	0.94292216957431	0.558340359522895	-0.0898339100952909	0.344221441343483	0.90786337756682	0.8070415921576	0.0626631815674501	0.851369707998323	0.747432566680496	0.359724043606684	0.747306909019877	0.923339884886243	0.785766813084322	0.365875674724262	0.00119068195615471	0.0297580273330144	-0.0629044315580713	0.515218103649856	0.27322458906351	0.0360782115484087	0.296811422912809	0.357167811660606	0.517485375762379	0.274871016092403	0.236371494870303	0.202728339943242	0.45318379498417	0.161770464042369	0.747794359246774	-0.0340569027912901	-0.041869706372252	0.37061487444182	0.404991805489057	0.380735369938636	0.495717333151848	0.219320375074718	0.374163898186177	-0.108403441257634	-0.0932994234965746	0.695933645230937	0.118313695458438	0.078791388889399	-0.10349832751233
