""	F2R	ERAP1	CD69	NCL	CXCR4	ITGAV	CD44	PTPRA	FGFR1	CAV1	TFRC	GPC1	PTPRC	RPSA	SMAP1	PTPRZ1	ITGB1	NCSTN	CD81	CANX	CD63	ABCA1	APLP2	LAMP1	CD74
F2R	1	0.556415885928684	0.567047752899737	0.787083268286085	0.64991615293439	0.778206759165311	0.551832850090872	0.865315023116044	0.804015376653853	0.41358625593676	0.86808584434604	0.527543987629887	0.454508140066579	0.675581364624406	0.775583536221163	0.827894000988922	0.861491602263024	0.727017094922284	0.631228676095025	0.836892392354626	0.677176456591622	0.727898627200063	0.851222024724101	0.69137142707119	0.350335632940393
ERAP1	0.556415885928684	1	0.39293261657116	0.472240895185303	0.421926950104933	0.487102416580589	0.496221963918043	0.505974966654296	0.431379008619992	0.411279710047065	0.634725904290201	0.36375762079544	0.293475483177299	0.369554698648978	0.443753624119725	0.423024467601476	0.595606600849693	0.399767784353257	0.460583342298256	0.559296525850343	0.484071081738552	0.508242497457147	0.537308441151529	0.53417685769996	0.294543842462445
CD69	0.567047752899737	0.39293261657116	1	0.648869245350897	0.894603248040507	0.616198061420003	0.645364179759261	0.631339293203071	0.427409041275923	0.317499370152956	0.5150486135972	0.563636528690667	0.872415235004992	0.473505491797024	0.41233986889083	0.636128498036729	0.710622541670027	0.414377285681216	0.638451718622171	0.380804639567147	0.640185171409891	0.564230420754267	0.546602042762738	0.691178553675777	0.685969115240066
NCL	0.787083268286085	0.472240895185303	0.648869245350897	1	0.735873463650343	0.916429458501702	0.749438168671629	0.951092609820925	0.858865244362107	0.59315542804484	0.866981703481008	0.736074500672846	0.640066721876484	0.923736513369832	0.923023755559103	0.911220079027825	0.943427322117836	0.81899993767648	0.892855099924956	0.886974336488879	0.912542880403995	0.773444819088048	0.945890966512249	0.894340867214163	0.424856626710447
CXCR4	0.64991615293439	0.421926950104933	0.894603248040507	0.735873463650343	1	0.685920838035975	0.684555144632727	0.726270833346052	0.542462991550839	0.343432410791815	0.614008916329323	0.576200472860448	0.902383170520739	0.547600421005645	0.581547549068112	0.725125825214324	0.788069654253411	0.551718443113858	0.68241173668263	0.517237283376678	0.680201965711834	0.764434594137117	0.688720467356441	0.800535710910993	0.718984851314344
ITGAV	0.778206759165311	0.487102416580589	0.616198061420003	0.916429458501702	0.685920838035975	1	0.802953116923827	0.934878895230795	0.898754800908759	0.607653182184083	0.832767249268897	0.800089604293956	0.633228616227561	0.831131008332594	0.857041303459891	0.895233382669976	0.949153501972786	0.839004774486429	0.87568706690134	0.876687721074502	0.878733072817115	0.837809881425549	0.928872680631189	0.897608824291594	0.428967203944525
CD44	0.551832850090872	0.496221963918043	0.645364179759261	0.749438168671629	0.684555144632727	0.802953116923827	1	0.682647632011326	0.62235621316404	0.829474894324572	0.651593123412598	0.898433728919806	0.73594382582354	0.776427457487083	0.61006024171895	0.593353750370734	0.804649154621773	0.705381172879759	0.928839697864255	0.667992939738176	0.918791987799112	0.681676499131997	0.739144337729032	0.893415911140231	0.483265638915017
PTPRA	0.865315023116044	0.505974966654296	0.631339293203071	0.951092609820925	0.726270833346052	0.934878895230795	0.682647632011326	1	0.921468203229601	0.520571401244609	0.879296101662508	0.664282579041335	0.573006732764244	0.83972208245262	0.916891406667281	0.962906406635178	0.953963017169078	0.830691025793636	0.821681880059026	0.896632835193896	0.839258828201723	0.844341916650594	0.959965016339572	0.860371943386646	0.429825761228755
FGFR1	0.804015376653853	0.431379008619992	0.427409041275923	0.858865244362107	0.542462991550839	0.898754800908759	0.62235621316404	0.921468203229601	1	0.486606030751263	0.837839317545332	0.626082541081382	0.408758167109371	0.786733964328184	0.888586641671507	0.918633576503997	0.864941084141033	0.819374473464939	0.730186712211684	0.928300207850819	0.750565887430311	0.807988730810421	0.904956226707468	0.749585022336853	0.22438896223955
CAV1	0.41358625593676	0.411279710047065	0.317499370152956	0.59315542804484	0.343432410791815	0.607653182184083	0.829474894324572	0.520571401244609	0.486606030751263	1	0.505403550858699	0.788995872407111	0.323306786510337	0.745236487000191	0.561274636199892	0.359449054318916	0.621815494098136	0.581822743259517	0.823515016596841	0.602255916096486	0.828902343314632	0.392340268878713	0.622096522213383	0.653810231288249	0.114631788631113
