""	CD74	SORL1	SIGLEC10	APLP2	LRP1	ITGB2	ITGAV	TLR2	TLR1	PLXNB2	SDC2	ITGB1	LRP10	KCNQ1	PLAUR	SIRPA	NCSTN	ACTR2	KCNQ3	LAMP1	BMPR2	TLR4	CD163	ABCA1	ENG	NRP2	PDE1B	ADRB2	TNFRSF10D	TNFRSF21	THBD	TSPAN15	TREM1	TNFRSF1B	ITGAM	NCL	VSIR	NOTCH4	NRP1	HAVCR2	CD9	STX4	RXRA	ADCY7	NOTCH2	ITGB5	TNFRSF14	SDC3	RPSA	CD44	C5AR1	LILRB2	CMKLR1	ITGA4	CCRL2	INSR	GPR84	ITGA5	CXCR4	PTPRA	CADM1	PLXND1	CD46	PILRA	AXL	SIGLEC8	FAS	PLXNA1	CD63	CD93	LY96	CSF2RA	ADORA3	EPHB2	CD69	CSF3R	ITGA9	ITGA6	TREM2	NOTCH1	MCFD2	PECAM1	ERAP1	TLR7	AMFR	LILRB3	RHBDF2	TFRC	RAMP1	PLD2	TNFRSF11B	PTPRZ1	MERTK	UNC5B	STAB1	SIGLEC7	MILR1	P2RY6	CD33	NECTIN2	SCARF1	CD47	ST14	ACVR1B	SCARB1	STX3	FPR3	DIP2A	P2RY12	FPR1	IL6R	LRRC4	PLD1	GPNMB	LILRA1	PILRB	LILRB1	CD226	JMJD6	TRADD	ITGAL	SORT1	TLR6	TNFRSF1A	TSPAN14	ROBO3	CD81	PTPRC	ATP5F1B	RYR1	EDNRB	SLC16A1	IGF2R	CLEC2D	PTGER4	SMAP1	CANX	CD99L2	TNFRSF12A	RACK1	CD40	HLA.DPB1	CCR1	CD4	CD82	C5AR2	C3AR1	ITGAX	SIGIRR	C1QBP
CD74	1	0.555633504876246	0.798696672365436	0.420654763571672	0.51236333687737	0.562141064203094	0.691037272727706	0.87381412760021	0.878970192896378	0.485865554638993	-0.00462863737119273	0.513083872758732	0.747043886141463	0.407590436635097	0.437084280720771	0.64483678996408	0.659549508828351	0.699069817307506	0.488430938790536	0.382950978272354	0.544301824795384	0.634613808549528	0.808542815953702	0.25057534493698	0.426656812114306	0.287788259643715	0.604552400117408	0.37688578659346	0.282525270305868	0.331901733024082	-0.0134634524194652	0.490479443400538	0.2453359147789	0.462848927895521	0.405123997998417	0.578184556976177	0.800020167447756	0.182545745022959	0.292813303247962	0.51793404753763	0.446576773312919	0.538367122283653	0.364928149012899	0.757934336188294	0.330078194196762	0.14629782579578	0.677769197682007	0.368349266841235	0.673974627276635	0.275792748563929	0.454607900568697	0.576396165493489	0.545300353341261	0.688572607474016	0.524858196062866	0.122385686427929	0.439182060127428	0.284139377451965	0.601757997032174	0.498000913236943	0.790552425110052	0.636722200260984	0.692334557623792	0.429735745635679	0.92540807647976	0.616815097855475	0.378984316225496	0.377135342496248	0.490133814409812	0.532109289331541	0.57207295133589	0.846234369354091	0.70313421456113	0.480956582876453	0.510617359903159	0.779018293065157	0.747436514487732	0.630957252164567	0.572661831866889	0.497975472465202	0.429063794146057	0.773586433215155	0.527548325316012	0.837920223779353	0.531904373820613	0.373480848189759	0.517559057641037	0.231053142152101	0.285231407663929	0.63491946093923	0.423685243756186	-0.0632992199468838	0.735851079561547	0.752680216000241	0.675158697825408	0.333325734637307	0.596519055980283	0.45166100839813	0.659311163448128	0.435695571394728	0.417789653332672	0.636514465969596	0.786764553692399	0.408885596332592	0.662682882805418	0.633769383064494	0.819202464202449	0.339331333277167	0.164824500694097	0.484800967270735	0.637367329704463	0.181103148001361	0.333680006824017	0.119316847257663	0.681691249776295	0.492028336334966	0.743016249097681	0.463486682136664	0.448540766958545	0.362123353573014	0.515165833870463	0.503349605503057	0.616234378125806	0.722413526391693	0.621975362119731	0.0491796245470467	0.640710788533291	0.672603672636943	0.674123915769597	0.405697617318552	0.428833977826856	0.0832745020927966	0.559747670164114	0.542897583241546	0.636815506508536	0.606494999727465	0.266240079317531	0.5562460634888	0.274096857206007	0.640060305922283	0.397383887100844	0.897498228527973	0.372203864638769	0.61065965120034	0.332128376065021	0.188567487568037	0.548396205675786	0.388407297007985	0.616167530283352	0.589625247067915
SORL1	0.555633504876246	1	0.879836074395035	0.706538795499053	0.802523312736836	0.754950777834311	0.914073078446443	0.704321046620015	0.757055665819844	0.7629507430016	0.25942756130319	0.715999135803671	0.780340167647839	0.773968521214719	0.78848359163013	0.757553432001383	0.779223985470206	0.850348647429889	0.857240583001895	0.717781720633473	0.768261848991053	0.601701738004497	0.578737632764631	0.510896294757341	0.777916536111973	0.736041918470915	0.693478037490314	0.807516336102364	0.658392234512583	0.569269140535592	0.242225742833989	0.747490605362131	0.634470271697118	0.68240436154241	0.785283234807018	0.750472403896983	0.761113893212507	0.454325207889975	0.63505371635667	0.882911972697786	0.313690329126907	0.846400527783237	0.579681993375287	0.853861394987272	0.447864281834079	0.464240749249595	0.51069174922649	0.565706281171949	0.647269491380852	-0.263231541660973	0.692346948777474	0.0858819175439974	0.845943411315766	-0.103064075013449	0.821370882283933	0.139272681533358	0.836175099303255	0.473258603786919	0.403696036617573	0.70099059225397	0.287333250341047	0.612969545619948	0.665752870991972	0.729508937320652	0.581842148341528	0.833803211645837	0.778984114325732	0.709855214653896	0.616872421622086	0.269768636388265	0.651997830564167	0.822201067630865	0.864313035031925	0.580286308634248	0.824466494593007	0.831494145400188	0.588731779610608	0.711398462512115	0.786787609654128	0.541388104636713	0.662229505459923	0.570285836779008	0.580807791286264	0.602177570848564	0.42190235513642	0.440945573228164	0.954410485446106	0.734162271097002	0.739366505618176	0.795397278541751	0.807254614191177	-0.0334103995463641	0.871627836699454	0.758313681748285	0.7816513781341	0.423118848375151	0.831541433938506	0.573573803357206	0.668081292531241	0.587218788433399	0.574975079785757	0.674726589766321	0.537366520303099	0.61715740148569	0.753164188092148	0.679796396668336	0.555292468637162	0.770847851036542	0.792018960069688	0.904272583629585	0.890111132201331	0.702091181743978	0.806037972429104	0.226959338911721	0.673427643033578	0.649936639614242	0.867967744405161	0.892470187464551	0.855532668705604	0.407465029079218	0.731364825014676	0.871348778563131	0.855410520632839	0.784825994277985	0.891546227420373	0.154017774359188	0.765158382549465	0.890176192059595	0.624743969628973	0.735421758846899	0.649861538411964	0.263610692367162	0.632288299391473	0.624160411761082	0.794852490610121	0.575990036015642	0.370678115394915	0.680413132852118	0.604912506565739	0.632088879443037	0.69106619820971	0.171855432598755	0.808192399258939	0.909243661068312	0.653915779962426	0.625557070988137	0.890538487777871	0.859893214330762	0.584825135021674	0.605021953292428
SIGLEC10	0.798696672365436	0.879836074395035	1	0.633491318482796	0.749794956322116	0.772015099022046	0.921403377950181	0.802555792557743	0.871735808114595	0.707188489837864	0.139232096097213	0.693372278987232	0.860925410031508	0.726337424415183	0.684574159398497	0.77650779690883	0.841045872933158	0.856227786340186	0.710421775758193	0.682995113854268	0.717728433241064	0.646847040959619	0.746154817074273	0.411346140952648	0.71339385403032	0.58664743630704	0.762869548035337	0.666880803218773	0.481823313583514	0.478578452227465	0.0901520089125235	0.782925026602635	0.470551230495714	0.595753882621653	0.672336267038995	0.724684470076666	0.890867828628045	0.336444191360955	0.552279372336002	0.815395753218172	0.383426479673611	0.75099200819599	0.519389907717686	0.879533515091051	0.417208116023855	0.357156670843687	0.64456597462059	0.54960938157415	0.782805037582399	-0.0878311939241102	0.579041390343218	0.30907558859007	0.804317309703699	0.211823538203213	0.777684757137348	0.113976220963942	0.71399854677297	0.389472158528321	0.421070165831339	0.692905170704463	0.5536890330996	0.694496082106899	0.726758267976856	0.698737053697248	0.804052060187448	0.801210203670457	0.698874396369743	0.619466687221902	0.689601164126404	0.391036524109613	0.751653003971886	0.890551104416521	0.911821299290478	0.590383259805724	0.726534544829245	0.861878888368808	0.684699987893986	0.739169462659166	0.831648225815544	0.494272824683253	0.65676230579841	0.671721341634982	0.603634567981713	0.740979768201516	0.483325281314505	0.409150100603814	0.836431510263155	0.523268701982136	0.621557729019236	0.82592946695603	0.734056009172397	-0.0492686705011543	0.859261233825072	0.851643407218176	0.863920564927142	0.432060662233576	0.842523814521814	0.625776563421746	0.800276975427714	0.570091461802345	0.575250158453637	0.754858148048105	0.733940730742066	0.523771164072748	0.796206466297258	0.707159314008784	0.802847047886255	0.59689797972247	0.579808388540024	0.829675295706071	0.846315501235367	0.535965606523258	0.690938721628866	0.199078732404615	0.759405257165856	0.626332670417456	0.909320174269343	0.803604229847495	0.722889911886681	0.460086500777354	0.722579151202377	0.765901386087029	0.801414463684683	0.867517507042987	0.821813675171257	0.112801954989324	0.855730098599175	0.850921340674566	0.742486344176755	0.629507173104378	0.603739239514717	0.193611133553122	0.673780341847809	0.585654494765459	0.742667760359401	0.671107576808868	0.337453129322381	0.678306212792289	0.512032975638239	0.757614080072652	0.686028082342617	0.508296440117464	0.698520910051283	0.882535488373122	0.595771694215857	0.423770607618108	0.810164054720496	0.702932538370047	0.684995783264989	0.717287086372234
APLP2	0.420654763571672	0.706538795499053	0.633491318482796	1	0.951941410609541	0.88573119542574	0.757525202126652	0.539987735685252	0.654472806501612	0.896689122129285	0.772592550495994	0.944311922317922	0.825999327921664	0.770319870527114	0.86933834274215	0.898775589891836	0.738179259385609	0.891146079451773	0.720780651116334	0.93552097781873	0.833603753152606	0.36915563375822	0.697130772366586	0.917934116312854	0.856250347058066	0.829948043098657	0.755285208598964	0.637125918328061	0.601787810752804	0.859967437363794	0.679179866170827	0.701111774029576	0.832717008927628	0.914949943842945	0.847180708543946	0.920115192939596	0.589503348838997	0.234095531516417	0.934044758144642	0.890467197919797	0.794354845423018	0.813830348530322	0.918977645466486	0.62747808653804	0.608688015232179	0.68115014784279	0.787001242993781	0.780007477817778	0.792331940893593	0.219641916078538	0.776085929371015	0.106499897019996	0.670726166322432	-0.0545186470639445	0.793273966691587	0.153086914285886	0.793462158053888	0.620656023097593	0.423415574577972	0.87876923902084	0.494334275518592	0.653335988830084	0.803455491068348	0.85532779542691	0.540728235726126	0.423446203526417	0.758215087473924	0.74294467342041	0.880951470336829	0.187273611744347	0.833854023358141	0.636000401408395	0.812594825452606	0.660469219569683	0.622712586110597	0.5004018115443	0.464748472507831	0.692987598610489	0.828482030781556	0.432229420267637	0.933015698654348	0.475928944358132	0.692963675408399	0.254544110802452	0.664120320293737	0.752825579611207	0.710644141123877	0.702227533297388	0.840361786219439	0.745983966621604	0.623545170168412	0.0874231887350257	0.637323816771739	0.764222150616591	0.701327335833844	0.852766928451162	0.701131162227604	0.594525588850066	0.661973978865719	0.909303748221532	0.42768670189748	0.837133453241428	0.707127023993575	0.74475400572513	0.694311712146113	0.699601944667229	0.544950701597753	0.466507538604616	0.330972370868099	0.792590049528375	0.745307323674077	0.485029279241365	0.677401283321346	0.792751357020258	0.582183167312458	0.67645919944701	0.766686971227193	0.747797002564997	0.779125447739407	0.836284280758682	0.724558116639695	0.717163457413859	0.61805315070987	0.804176051682169	0.799915141832726	0.240510230620522	0.815796315630429	0.859547815468828	0.823245769747767	0.306392222092552	0.802764155905508	0.514053627402134	0.788643403323015	0.568815658454204	0.719091322420006	0.862739688967687	0.809805979119125	0.654862352046944	0.896309181605742	0.825556221927651	0.827859227163972	0.12251743430391	0.724339549406312	0.801641356438625	0.920620650497701	0.678796255385332	0.75330053495707	0.813490001880578	0.795615689559996	0.779355558126463
LRP1	0.51236333687737	0.802523312736836	0.749794956322116	0.951941410609541	1	0.924228110928676	0.840071553316396	0.615913342479614	0.732767488245981	0.912738576095231	0.623177046880568	0.919399047275717	0.866658112992023	0.831023135886172	0.861904001114169	0.909805366600759	0.812261791473261	0.924772527047201	0.777385422287739	0.91716000061246	0.863799494937047	0.433865900819796	0.724067999484192	0.836348751611136	0.893780337875794	0.800017573623125	0.781182340106017	0.681942110353234	0.607360047652371	0.790551855770061	0.548651037488891	0.78232298830383	0.812514265196761	0.854393241391555	0.873351689889313	0.91908168840628	0.67868475637098	0.288357035911221	0.897167500965429	0.910826326257486	0.719475779906798	0.838351097033915	0.874243159383923	0.726692813368198	0.593681807966706	0.66798856459833	0.771247417209209	0.782853649708679	0.836800362690454	0.0896524483350899	0.730947274148388	0.126286994470488	0.734926900360691	-0.0301586190905627	0.837462372564374	0.154195902576544	0.817566120448806	0.590685967578303	0.39806511643848	0.89188072715757	0.519037919108399	0.709706751788632	0.81517892951182	0.861171113840642	0.617505891478451	0.535356771545066	0.805911400667464	0.786105628619303	0.868624289517753	0.247915841779897	0.84925109833745	0.711679167654627	0.885581588872463	0.702946855093373	0.663456934643188	0.597219391865182	0.529469556345806	0.728767272439839	0.890101547479621	0.482855866261182	0.90924848679781	0.52511066169055	0.674499766119433	0.378959494747749	0.632977096856821	0.671675759758585	0.794255198475076	0.693437667307718	0.839664583585779	0.802672269259133	0.702026101506961	0.120974550092146	0.718018819775379	0.823758512273579	0.80890541691541	0.792922068744458	0.787098551291395	0.664866453294251	0.721564891192512	0.872858563402949	0.502846771260631	0.856202388503607	0.729575508704337	0.762025286595782	0.751404174388388	0.716945485545388	0.627956782048516	0.536762228750362	0.438868067166706	0.854059635479511	0.799110505233592	0.548670643935394	0.720421168380801	0.669046610414138	0.636690702886505	0.706084078225225	0.836744231012792	0.805170159507746	0.813826348526517	0.760389952730879	0.770771617717905	0.788325424528747	0.691125512951115	0.862496649523916	0.851709199383905	0.25753422651654	0.874143279171912	0.896845839346715	0.850409169049115	0.40137911519428	0.804162977715994	0.484000665108961	0.784497757138575	0.600975736332631	0.755656509010137	0.860845208014045	0.702346224929598	0.718559116735203	0.879538217018871	0.847073529149018	0.842335099349811	0.181389565904157	0.757924371766776	0.883152727811617	0.895605767896926	0.636806330108652	0.807067830570844	0.82365158558682	0.797226596980294	0.818938085201886
ITGB2	0.562141064203094	0.754950777834311	0.772015099022046	0.88573119542574	0.924228110928676	1	0.785079551662379	0.582557807576574	0.751523693516544	0.878223721027761	0.526513622953141	0.861116254137509	0.860339963757072	0.868148768403982	0.827980214385061	0.902857997458286	0.759486962032913	0.889798357504901	0.684529815155845	0.894619518943283	0.76405180879169	0.40159828027001	0.748740838872723	0.770218834914331	0.907816052296647	0.650967204175423	0.821139975961309	0.593699386757508	0.533779319379004	0.65939648435917	0.489919196143991	0.807288786679439	0.772166234699968	0.793933185273167	0.874161298182574	0.829303353961858	0.755599445779936	0.105273404028697	0.844428634820798	0.883239072479636	0.741309186453454	0.757452220128028	0.853342299512367	0.673071348111646	0.467278664215195	0.638987111230548	0.770035976657253	0.602782909918225	0.871395865716072	0.0506896670449117	0.601577446959362	0.16916771315766	0.665224248512024	0.0148289801024279	0.761750821564625	-0.0219199824542628	0.753948727938972	0.449038810334543	0.365907754826872	0.800746523453711	0.526462509514788	0.649275828284985	0.753624799888294	0.887146864738402	0.689690578177405	0.449835284605482	0.772887499240331	0.65697571270698	0.880416848486521	0.23120771554288	0.903048041711661	0.69790051930104	0.909020716122743	0.593609684798059	0.589739565363468	0.569892957637184	0.482281149756657	0.661877624187109	0.950902378674799	0.322302113205989	0.866234831480413	0.45059566584913	0.591464573411397	0.358950565567458	0.524987127214318	0.57576221740508	0.76112277254401	0.597285977031257	0.828891460712584	0.765783422332823	0.658964074538006	-0.0499236837434422	0.655792301916651	0.82660343571713	0.873515820227785	0.845768400524382	0.816076438932332	0.80457736736985	0.797620750960782	0.821176793913431	0.464217176228039	0.83412646807127	0.78601915172321	0.671048175071761	0.680061144711791	0.612059808753794	0.708856601923158	0.387705489762303	0.359166880993496	0.854961357182796	0.720896102589709	0.355477856790624	0.666919607089709	0.642747155978072	0.653823121856876	0.545058843021258	0.845787720681547	0.801745158238626	0.707860450421877	0.771196434110987	0.815978473117857	0.654113612526208	0.683430474256521	0.875018073662838	0.777736682658237	0.0779857492018518	0.933780098164501	0.874225528292201	0.840622181875185	0.315927335609094	0.657870614376582	0.311479800559114	0.694937944631177	0.515414864079087	0.693098188336966	0.828929693819036	0.563625991020195	0.602415021058261	0.840883685830247	0.880420188960665	0.852484011283007	0.261148649698946	0.69687884040943	0.896419324540736	0.878568305198841	0.499168386434258	0.753524664985334	0.751596643239173	0.862429996800255	0.811484814532247
ITGAV	0.691037272727706	0.914073078446443	0.921403377950181	0.757525202126652	0.840071553316396	0.785079551662379	1	0.769580356491443	0.832023852087795	0.77409843433332	0.314807423196139	0.810095958809963	0.884225560385664	0.738613813743391	0.782457040459995	0.83106798191433	0.87784747639074	0.911347734961518	0.777346754262906	0.763814876095096	0.820412756460557	0.575154595307581	0.718049622810763	0.544873804917705	0.769508376223872	0.728145503897045	0.787497920012992	0.727797914048704	0.580084363573634	0.645573490569267	0.22331446496703	0.772537389573956	0.559550084646591	0.701345341205712	0.711403398122578	0.841296764494883	0.807621664851722	0.412782872147543	0.681638984677719	0.886958471443918	0.44023541755565	0.824239957393985	0.6234273779972	0.865561820428063	0.483312740833748	0.39961216444206	0.688929015020014	0.695346324117855	0.807431701695244	-0.0544278630006291	0.699808822501793	0.216184601051363	0.837198986013515	0.0992135290555208	0.863927287833296	0.197088298662316	0.789849459501101	0.498671999514163	0.411492226441021	0.808619504150167	0.524418892802746	0.697390910161447	0.781255426027745	0.742687384641294	0.719686477071971	0.777128143239473	0.784015050404214	0.749959405713963	0.746097915150091	0.340576379622716	0.769112571891933	0.870625729196392	0.906165971914254	0.68474119759157	0.781907717794641	0.829822266369837	0.666580062007717	0.784348384548218	0.841727869495862	0.564441078966734	0.769257550327661	0.677339377978254	0.687426746910628	0.638000262622089	0.5548601861218	0.540823538995303	0.860253588379911	0.648718574946393	0.713277159786017	0.874380956586878	0.808188993601389	0.0657442154824197	0.863619096514654	0.878029949773803	0.825715444768503	0.479735016390467	0.835462705999467	0.562706680973607	0.759946229299049	0.660466376736564	0.547242007815509	0.810222931283363	0.726877423828717	0.645489344529463	0.860950828008036	0.777524256098946	0.725559825468633	0.646922820313284	0.605028300204898	0.867773631882958	0.913623388172311	0.63693423469042	0.74398199836102	0.318375228461476	0.753016056600528	0.76069168364549	0.906184404380878	0.865086197874935	0.81365011506474	0.539177283612625	0.752312798937698	0.874681028105144	0.795190342108444	0.878715900297323	0.889198004231568	0.231603773675758	0.859063302677228	0.89758569498333	0.783491089974995	0.634179629336932	0.754673041937295	0.351303905135713	0.78444037623823	0.667854852957737	0.803172425589813	0.748305907860962	0.507120562333182	0.761225519210584	0.625027439995647	0.788017184874488	0.738769018382045	0.37147429708985	0.7425065287133	0.895380693037275	0.697537271551301	0.564586396131669	0.839642795841981	0.818430740507638	0.683315136675109	0.76866100519899
TLR2	0.87381412760021	0.704321046620015	0.802555792557743	0.539987735685252	0.615913342479614	0.582557807576574	0.769580356491443	1	0.895927276140384	0.579664929234731	0.158495269411974	0.575449507374685	0.7666247060236	0.501670373181091	0.567084961272126	0.696900640904285	0.666688218714664	0.769507540882146	0.66249744430181	0.477609586105195	0.647635577542661	0.72957860540583	0.793768439291681	0.384138416852386	0.496208202715098	0.511240978901008	0.593045723638176	0.5672325222698	0.473458351145304	0.460032016166353	0.127698135783575	0.533767568619088	0.398913448919233	0.605152839772282	0.535802397138837	0.665790560629571	0.785934125095778	0.309899735098529	0.418552658020342	0.657496848256814	0.401704894295566	0.707871950344397	0.46311115316842	0.824213079065818	0.437644855189374	0.2563680749119	0.662711600953731	0.457925760837268	0.604460603528582	0.216742859778645	0.646678777951717	0.494774874345891	0.701089958776926	0.488476124493866	0.649998220679415	0.16294838500832	0.60310533121894	0.40560604969768	0.626102468172313	0.567737763645723	0.640942880271202	0.636890277544981	0.754846010976335	0.52336321129423	0.805854349845027	0.731609176223552	0.48486835242094	0.49250990624099	0.490388267753595	0.498313480186457	0.570059450424837	0.882345553030726	0.739043660859938	0.473359537126866	0.66227293345476	0.864888540182013	0.760662334617513	0.654829500727301	0.580095221857436	0.557170917144232	0.504753942327439	0.785299726961517	0.648012261169273	0.815342854361574	0.567141109879829	0.488169788387035	0.68176642311359	0.461045264813936	0.361623246182378	0.705758877666975	0.575778961493621	-0.0715212909596659	0.863826079258281	0.731067727227269	0.659296891509532	0.347002970066607	0.649685646262217	0.426288215484073	0.609347023269671	0.514656700922058	0.469512416398944	0.650649394010536	0.682637889491993	0.529419548985765	0.700939212241113	0.717062980800842	0.70738718180026	0.525561169214233	0.372224318388033	0.609663224992119	0.756696630876453	0.385956169997302	0.494923666712764	0.17270184337655	0.716993500362065	0.570877688419144	0.798640237598986	0.596118473794976	0.616450532103054	0.383524379780272	0.579382127182729	0.655813663330522	0.762574353718904	0.757108764173438	0.748841935486718	0.0820656385504896	0.624134419328208	0.795216226234199	0.616814289574251	0.560286999602226	0.550054865309113	0.158923008355337	0.622054316104615	0.653129959061735	0.748285367346905	0.607459779260948	0.387614056973468	0.652999650759544	0.37547290065427	0.592897939951201	0.459841287283036	0.683629402714632	0.547831188165993	0.686181292964182	0.387007210354368	0.437794849601006	0.715995425139175	0.584075013656397	0.590265210645817	0.537037860263768
TLR1	0.878970192896378	0.757055665819844	0.871735808114595	0.654472806501612	0.732767488245981	0.751523693516544	0.832023852087795	0.895927276140384	1	0.683697718148274	0.209992970684824	0.699431791330827	0.848042420146538	0.617231451226006	0.63646083666908	0.810907211354899	0.769651584374934	0.851736853348852	0.700566198144742	0.617017979310531	0.717560210662404	0.71402747988843	0.882277338507714	0.494752929985486	0.642574591688279	0.501973250065686	0.742482129551551	0.586522462854802	0.457995518889012	0.524036265438416	0.163864487691476	0.65274022509429	0.492038107346531	0.668094878515794	0.646516798524658	0.736741330048374	0.840870842522056	0.242845899016466	0.54986482045382	0.742877109835608	0.550745762083856	0.740676438002029	0.591075337199628	0.853260668582	0.423464326320763	0.348573919893997	0.740290101377956	0.523977047276976	0.741452623085188	0.148573157695753	0.59569896426218	0.443708863779636	0.738014126949764	0.449047281592021	0.683927953616167	0.119250813442838	0.622711394716005	0.402607578547158	0.571462514800572	0.663599474293665	0.715576302092473	0.703229498229821	0.809668448858927	0.650765222068811	0.879763613709205	0.689339483972739	0.577147592173607	0.551170214555409	0.643054651446848	0.466627956837995	0.704115973098068	0.894328484376277	0.849622792353609	0.574802104541603	0.641781175265009	0.822274782040593	0.742831820201554	0.725662021183255	0.745242940790674	0.524474431398061	0.616840867684567	0.739324332043151	0.649398859591654	0.768492000808392	0.592739449804932	0.491730628193216	0.717960764880146	0.456757061597472	0.502672517709694	0.789575167443203	0.605708802920181	-0.0660455353149049	0.87437348365417	0.835718407889612	0.793971401860634	0.517896896991335	0.745880890294404	0.55649341758475	0.746560692118768	0.613236473471839	0.491076471793959	0.758229061080458	0.81416030780781	0.571684308838711	0.768524826088898	0.741866020359006	0.816065363526776	0.488834033439587	0.340678461658979	0.679041078429073	0.789708950154624	0.343374108096432	0.554000115271844	0.304112585551253	0.727207972079505	0.606070202663596	0.865236617855432	0.689010242306939	0.636644164611329	0.499168636150735	0.667529603546799	0.675455674753673	0.787150757851115	0.836180437487358	0.783782051439124	0.0771168163717004	0.774110468851276	0.864329024061941	0.741027794154883	0.480595431868983	0.576641612399802	0.191851730750678	0.689305159575656	0.680026614006703	0.750441259656975	0.703330528367509	0.402925390669191	0.675450830360812	0.509835905788592	0.719152535901054	0.612882375816992	0.663064032499715	0.579602565759507	0.779589270385729	0.548801125843865	0.400076331384543	0.729566644641279	0.62297434267245	0.710321367567456	0.66098336269467
PLXNB2	0.485865554638993	0.7629507430016	0.707188489837864	0.896689122129285	0.912738576095231	0.878223721027761	0.77409843433332	0.579664929234731	0.683697718148274	1	0.561960262454784	0.866911502788365	0.823570700809591	0.802529474313582	0.823739596866793	0.845800460189878	0.752658448607625	0.881340435854096	0.752400214872223	0.868997510721575	0.823670470196455	0.422645887601019	0.664735041857389	0.764221603550891	0.871652942218996	0.76204202225716	0.705667257753883	0.656076020046359	0.602279218788886	0.734412308109922	0.52586283709455	0.717079359591872	0.786444037938388	0.82261599176929	0.847844222576605	0.860360705915984	0.663607889789538	0.30634198383224	0.844589007806074	0.859084640629511	0.667324373048765	0.784792547001088	0.821240738965382	0.709782039788957	0.536177813412758	0.684644722873876	0.693921192253211	0.700154701679456	0.777894071620305	0.0686781141317723	0.695067961258985	0.131678418389982	0.696484768408535	-0.0310507398570948	0.785594110048115	0.17671849229647	0.788375913598594	0.576725079295153	0.431418290786248	0.83288763526463	0.447494604415189	0.695361326346896	0.747944919318209	0.804349314265338	0.593437542190535	0.521908299079546	0.775179839272179	0.710095029034168	0.804938454743625	0.286852456822854	0.781057551427345	0.6604680896831	0.84894735875224	0.633665971948943	0.661864199514101	0.581997795817774	0.514509387493388	0.715295258950807	0.827944993231393	0.485617192002084	0.850990506304269	0.5168344495325	0.624435273131546	0.360200924420905	0.581629093051697	0.616506102571416	0.765341560409147	0.650388322833987	0.813306739205058	0.719941052465924	0.644933762753039	0.0793326079430893	0.668097184213914	0.77744710452093	0.783627360918626	0.751761963326475	0.741771686721323	0.659613152705499	0.679256746670759	0.834962751629229	0.504700369349754	0.801618277293389	0.657355771916881	0.716603066766304	0.690140028556512	0.649490477965343	0.546716802340669	0.543289635696564	0.445826335405172	0.822586977464588	0.752441134956966	0.542198175910663	0.705031907012148	0.609187231140966	0.627703346781877	0.647496838069947	0.805719888929617	0.761879997551053	0.782901752183385	0.717396171105273	0.720071747848478	0.75366843151177	0.666886500809117	0.799530613006411	0.825688060798342	0.219592385395059	0.815084370531117	0.858219679848448	0.804516700128321	0.424770125983213	0.721555559795163	0.436004740549844	0.720088144625413	0.552232830887483	0.726572064056194	0.786869003780818	0.631493041003747	0.652980115242583	0.825270234100312	0.790177717483347	0.7768182556544	0.157776664387445	0.725974282942658	0.852705021850594	0.850839503134933	0.605421187356873	0.771165037448285	0.774102640203493	0.781862279516656	0.765726418097714
