""	CCRL2	CCR1	FPR1	SIGLEC10	SORL1	TNFRSF1A	TNFRSF1B	VSIR	PLXNB2	ADORA3	TMIGD3	CD4	TREM2	CXCR4	IL18BP	TFRC	C3AR1	LAIR1	LILRB1	HAVCR2	CD81	ITGB2	ENG	TLR4	ITGB5	ITGB1	ITGAX	ADRB2	ITGAM	PILRA	SLC1A5	APLP2	C5AR2	LPP	C5AR1	SIRPA	PTPRC	PTGER4	CD33	TREM1	TRPM2	KCNQ1	UNC5B	RIPK1	TLR6	CD180	LRP1	TLR2	KCNQ3	P2RY12	TLR7	CANX	CD9	TLR1	CD47	TNFRSF21	CD46	ABCA1	SMAP1	ITGAV	SORT1	CD69	MRC2	MCFD2	SCARB1	ADCY7	C1QBP	TNFRSF14	PTPRA	NOTCH2
CCRL2	1	0.811620729157016	0.869994582963155	0.696289869863205	0.621869073217107	0.719098211894955	0.874623131660537	0.703980574574012	0.593536971121032	0.715853685124224	0.711786202527368	0.742018419006303	0.706620437972382	0.849895229563058	0.696745822725402	0.854696208327682	0.851110552659293	0.737888828608026	0.764519455551289	0.82386074840246	0.726279971090715	0.744684194482861	0.666284481044102	0.435194035238322	0.60508855730007	0.696407743098781	0.737115142634587	0.242346883254848	0.497008651199286	0.694162794211748	0.800884023944528	0.776787966432674	0.798766454881149	0.689068189072131	0.915098484070203	0.705871872631958	0.715043587028364	0.843961844989744	0.605567689716646	0.836208093424775	0.758600103584236	0.659775283356658	0.787115265136532	0.665029490611341	0.314157608410984	0.482072802207517	0.73975385037418	0.804485006134985	0.633917164320387	0.524818953306809	0.569855715553406	0.732798118496658	0.479917763746871	0.514010876130227	0.636523180794854	0.425214482545262	0.68790559469511	0.801357769567572	0.728899086739289	0.680959102942981	0.704729582520441	0.825829561798696	0.51218903978804	0.657770191872372	0.662118050377982	0.479561524884473	0.652986983825112	0.673228391874678	0.579968480028282	0.516979166753821
CCR1	0.811620729157016	1	0.875046133489944	0.771514365113574	0.752910717213638	0.836518148910385	0.867589135788963	0.791631012838926	0.744388235423013	0.836177581303613	0.842105406965353	0.832992780385774	0.815320518838758	0.693496307698108	0.79952909579256	0.715125556079756	0.900220034514996	0.858241666488293	0.780436576305023	0.886034522879056	0.848411097626446	0.846372243128398	0.763316767981684	0.554984872391771	0.629194975031132	0.807941562098437	0.719369381191869	0.243578420447733	0.645222598163093	0.819764637345056	0.872202533453567	0.831144084116158	0.680549074950892	0.746910398612836	0.771913508824899	0.816757841078835	0.80002179452252	0.713100638477624	0.796643419298063	0.639664273276452	0.72278525419719	0.76436547459604	0.791523699020283	0.705009337997166	0.449271221471808	0.674763667299243	0.843265674546973	0.788994780132027	0.66599305837532	0.691064194947747	0.665490406197025	0.810536264387224	0.507574553284489	0.663642286476894	0.753950485808953	0.461841015410292	0.741588130260073	0.832709746405369	0.826170000386495	0.736307106372318	0.766071144698929	0.664301064064652	0.571200019123761	0.793933466238303	0.694840523915455	0.556314730602574	0.821244920746676	0.814821714653445	0.608127106084442	0.544265877671265
FPR1	0.869994582963155	0.875046133489944	1	0.779907739357762	0.774611945530271	0.838672419202604	0.923967303394833	0.811491810702587	0.731216891660931	0.877250297400537	0.892175910350283	0.838386951476348	0.839847533657278	0.804531586661513	0.801210722941368	0.823831483696928	0.931933409973034	0.871000839680629	0.843655507688069	0.934390562759777	0.863329185385908	0.858136937231831	0.76745475981906	0.564893066929985	0.670282975951223	0.836373047515765	0.80579287184776	0.247691424245426	0.626090134029184	0.817876059275834	0.888754663657698	0.873900699655988	0.796018699877642	0.804534721347501	0.87922387646868	0.830097801986478	0.85091809171968	0.82907384796766	0.781215496348119	0.792016220693776	0.797533988813551	0.776291726523327	0.854977943760254	0.768131625322388	0.462697846263014	0.630929141426713	0.827058895437157	0.848293009039221	0.722294315522258	0.698639464702983	0.716809902993625	0.844872321778171	0.536885323527488	0.649779047449248	0.775454497235939	0.453063806287466	0.794918061821389	0.82531470080706	0.855815473989438	0.785399042979605	0.802989821181306	0.801965114108324	0.658181517681328	0.788111859907252	0.730304864682264	0.596647259480187	0.815703064599737	0.788207217383891	0.685346271845358	0.55999101479915
SIGLEC10	0.696289869863205	0.771514365113574	0.779907739357762	1	0.824580182512421	0.730854123295758	0.832826305209007	0.745129934226405	0.67846203104495	0.773997524321914	0.736492947064737	0.83726989635687	0.573448730003619	0.594963702708682	0.681839278973087	0.648016507919546	0.746065577451505	0.748482620799995	0.778653653033941	0.774185209016069	0.641145964466669	0.67690859615938	0.639254878450966	0.658946362069147	0.594644627822751	0.651743460476779	0.618133119480731	0.337477340985693	0.689187846872691	0.688465377420001	0.731537598004175	0.716938964603452	0.677199780262124	0.773490466213483	0.71247683514822	0.647298580665994	0.837374333825245	0.657881618097442	0.626286658023379	0.634314263421573	0.745659054433943	0.707550332250017	0.79905376583178	0.669451912701712	0.59341980954988	0.461150662849344	0.770971797049417	0.782737676737752	0.759469253666983	0.776853245297089	0.699592612432114	0.684217145330249	0.239363777503049	0.667469414774409	0.641799250681835	0.489222574200119	0.693792559732315	0.723056975474757	0.705944089320987	0.68006081015034	0.728948574283058	0.663969827797583	0.59186379562498	0.606430202744437	0.637866972908247	0.697300037900159	0.641721016018667	0.632352709177543	0.59003073064975	0.546343181648694
SORL1	0.621869073217107	0.752910717213638	0.774611945530271	0.824580182512421	1	0.751046176442305	0.829489198046876	0.703196687679246	0.758624833855185	0.841597223798481	0.772437695814671	0.852109796836391	0.658691953225336	0.457558114905611	0.738693738531506	0.600622931883601	0.733231628180407	0.78780680382632	0.76766601518337	0.825882810713008	0.695998879656572	0.741068903835287	0.702123964974496	0.767614291431053	0.662914890676514	0.748832776952168	0.702096500678977	0.340787779846506	0.784386025574696	0.70473143172382	0.739162642702305	0.818083711750379	0.642194926569061	0.862477600285788	0.640906808701663	0.74582832487534	0.911121208133376	0.571798206647756	0.676342760491447	0.5080478641498	0.761334683697191	0.705245303796066	0.790802629066982	0.769449001279902	0.736122898650462	0.528480901697133	0.885480897559633	0.768835730970368	0.840704805489636	0.880542685853101	0.758296301080061	0.768960003638885	0.349475798036754	0.734828798767208	0.669937474713233	0.475789854293869	0.766822553856471	0.716106728935654	0.747757995023354	0.759617108369463	0.837824565109849	0.55599361015874	0.723722353856437	0.676573976361644	0.722442859326911	0.770131071762757	0.68630383191843	0.668704549286056	0.689325109503941	0.598101895748266
TNFRSF1A	0.719098211894955	0.836518148910385	0.838672419202604	0.730854123295758	0.751046176442305	1	0.806378220745689	0.878962463285712	0.739584726246184	0.861122018550954	0.872191405148215	0.854242806722772	0.763296005383007	0.623929393544453	0.761958307294014	0.595061968225602	0.851706508828693	0.834035394695455	0.740663673703905	0.858078609457881	0.837211336075698	0.793311322338289	0.753054790628979	0.531774665783399	0.623681699751203	0.727534993165023	0.595575275402535	0.277293945438984	0.654542282524191	0.846612701002793	0.82828962232957	0.749241405274619	0.580720201877156	0.711994877586295	0.664500798498387	0.737265020086662	0.750741858146199	0.581538815818396	0.842296802540106	0.539702776553545	0.67656072497259	0.798068951599953	0.77247755587558	0.697957241955241	0.44765586623967	0.61546015837819	0.791186636433006	0.721176132253619	0.59673798748342	0.75431667988255	0.688739134103381	0.727654565956991	0.347524277298796	0.664739555192896	0.781460187633979	0.432639176927805	0.6600765407012	0.717512079328483	0.806695742953605	0.650160664120579	0.68071832993579	0.593469265647492	0.457071857101982	0.760488645693131	0.665137890452544	0.541647462166502	0.838707686442879	0.787010940726211	0.577235681434776	0.496287052898054
TNFRSF1B	0.874623131660537	0.867589135788963	0.923967303394833	0.832826305209007	0.829489198046876	0.806378220745689	1	0.768389631756842	0.703668080963703	0.83808666979978	0.812551577846625	0.860322635421617	0.739643325866163	0.765770664532752	0.790139342620058	0.827967179141338	0.906355498302777	0.824597826869372	0.878456092224093	0.909952258572747	0.775756871413718	0.819542930198292	0.772552466830028	0.661235730405128	0.682839968846313	0.792581864321467	0.810485159019611	0.255428426147475	0.679876586381192	0.757293201223972	0.855695397131176	0.87603414369415	0.833270768577436	0.849688987488431	0.886450626286766	0.790670457057686	0.906559023102466	0.830163863828681	0.70044450600032	0.807580964447929	0.84168634896869	0.740149193536273	0.873818779624525	0.810658003934501	0.556620269199043	0.55473315232515	0.856990148912079	0.912832540684254	0.782827505500077	0.716779730839335	0.713861972778233	0.833907260968568	0.45585221698425	0.705228087615356	0.748873163798326	0.499223794586287	0.782471366066212	0.85825636473285	0.819544720074255	0.784634438987794	0.822880581135282	0.799464787445726	0.673747730579261	0.727546094182248	0.730836803193346	0.659403043086538	0.735409662160877	0.746441341184189	0.659834830776654	0.604463900328858
VSIR	0.703980574574012	0.791631012838926	0.811491810702587	0.745129934226405	0.703196687679246	0.878962463285712	0.768389631756842	1	0.71269423569088	0.862667024532357	0.879809805524904	0.865618740303093	0.724181014408294	0.628675612674485	0.746906343604274	0.510341971871434	0.800545176216623	0.84607953319431	0.706548477345835	0.801810286578631	0.827957044616052	0.756690801794791	0.696508793604415	0.52681429405243	0.565169237027355	0.666440161350056	0.498492411991935	0.352785261393908	0.663747997755503	0.888153175393363	0.785990435150205	0.665410716737889	0.502518109889256	0.643149004073527	0.618153561220415	0.648495985061255	0.708651490901315	0.556232067062092	0.865922379135113	0.526144616748002	0.642446966643127	0.827786056692098	0.734049514092859	0.616558099625496	0.416083347467458	0.617300354149931	0.720020650305642	0.707956656180383	0.587398647341935	0.765628072062963	0.657868977143947	0.662571437768146	0.262311525076045	0.60410350242662	0.736705513783478	0.417924774974606	0.634110657334363	0.640527631969001	0.783754405538717	0.538078977562618	0.637202451963534	0.557469470295423	0.402284581094515	0.73079474858426	0.625214661187078	0.540206949218486	0.839935520994932	0.782065841138719	0.543881149475916	0.434082844894532
PLXNB2	0.593536971121032	0.744388235423013	0.731216891660931	0.67846203104495	0.758624833855185	0.739584726246184	0.703668080963703	0.71269423569088	1	0.780004958723191	0.772952157470663	0.729727947633134	0.706921027964787	0.51774569750831	0.68590537944932	0.511323326184148	0.703277143879822	0.759678373239049	0.638713314755735	0.725850537786747	0.735831115073912	0.744457770044847	0.652638780966083	0.530974753913498	0.584735347348956	0.69590697615504	0.574246437368419	0.250470545860186	0.639759975556066	0.734386545922203	0.747733179794833	0.699361411431991	0.50769765257375	0.641768325508911	0.561329947304474	0.709000547001849	0.704568670720515	0.515408088121201	0.722433759608188	0.463161202723638	0.609718065201761	0.719695710948284	0.645417551449888	0.603017838847976	0.507387656255917	0.572338489750135	0.757562545011567	0.589329315681589	0.596914344140341	0.723032928616913	0.611298264048676	0.704642455771181	0.414930700266455	0.631782922384555	0.627006571846027	0.444562243943289	0.618289971481666	0.626289107440738	0.70341180178417	0.616939069975253	0.706631040847232	0.507078782013812	0.524653037238152	0.729305757768723	0.638808362046141	0.54656828098915	0.739468700501478	0.687021069640225	0.576871826047206	0.515759405401151
ADORA3	0.715853685124224	0.836177581303613	0.877250297400537	0.773997524321914	0.841597223798481	0.861122018550954	0.83808666979978	0.862667024532357	0.780004958723191	1	0.894546039665656	0.880829604145106	0.818409890271982	0.610329353287288	0.781902356380717	0.606003654585944	0.813803836765815	0.88800892052038	0.793929792777548	0.902069531052801	0.868780225361126	0.851503818250764	0.771575134593138	0.639917369674437	0.645802344851251	0.811420261704227	0.677439093349797	0.363993570678044	0.728423677814251	0.855527570610498	0.836000833483442	0.812857879060839	0.605937163416602	0.81643320244379	0.663667048187241	0.792634267978184	0.847163818320213	0.641630570037938	0.866693863595601	0.551874411928647	0.748344982192551	0.816768506914827	0.806675515431985	0.709552000461434	0.548737016588455	0.643155147395698	0.846279424856563	0.776593835652524	0.739355126525462	0.807115019085406	0.724534030775104	0.806926607000212	0.439096206242698	0.697971962122115	0.79258591548199	0.438954847190765	0.800641854004472	0.729881585060075	0.837381239532992	0.719616775591385	0.780460007455508	0.590962992512028	0.659827966793137	0.786598712116005	0.761919480472508	0.643333325715632	0.853428953351691	0.830323494136481	0.674521779507413	0.527496649054584
