""	CD2	CXCR3	CD3D	CD3G	CD8A	KLRB1	CD8B	KLRD1	CD247	F2R	CCR5	KLRK1	ITGB1	ITGA4	CXCR4	ITGAL	ADGRE5	IGF2R	PILRB	TNFRSF14	ITGB2	S1PR4	LAG3	TNFRSF25	CD226	ICOS	ADRB2	FAS	SMAP1	CD44	TRADD	TSPAN5	TFRC	CD69	PTPRA	PTPRC	TSPAN14	CANX	CD81	LPP	TNFRSF1B	PTGER4	CD74	SORL1	VSIR	APLP2	SLC16A7	CD63
CD2	1	0.593617830583117	0.830879815429643	0.920178937343261	0.476198272315421	0.335039820078745	0.443403902780501	-0.10335411473814	0.648314685960979	0.612335890001046	0.505249084831722	0.221590872606624	0.585255172597562	0.61556105814824	0.353184490449634	0.307135509052782	0.434843451348124	0.0224199907808631	0.057981278895518	0.587308981780695	0.406145046810895	0.709034159778968	0.524935031279695	0.377628310650354	0.362531112020315	0.394661849812584	0.145450819029571	0.478361579567842	0.461503247583874	0.643465410463056	0.474426587825097	0.560670561978066	-0.0427783906969624	0.258953468419477	0.400918157436117	0.772676627227131	0.114013998841419	0.182897001526005	0.260547313271537	-0.044009955911952	0.424404246281753	0.250787391437919	0.054442617838032	-0.124546608620834	0.17474292237091	-0.161093643879121	-0.190125094512476	0.0967481024004208
CXCR3	0.593617830583117	1	0.712182447506796	0.615972587149686	0.471137056467028	0.0486734073711352	0.401726432419196	-0.23994192097441	0.348467762312559	0.34130871786021	0.424911950219533	0.0152388375600446	0.297795635873942	0.186181152528482	0.128566329099014	0.149667733734057	0.21322220757264	0.0717306895628883	-0.0834938935056686	0.531895158266374	0.494858805060782	0.56938095090937	0.798894035735021	-0.0366811194211236	-0.00854382373570832	0.0905190143208556	0.0560985293623355	0.126047940368042	0.21179781814716	0.304247408595106	0.236419448831401	0.494328770226428	-0.318260357574767	-0.0133994471668719	0.0324472346711378	0.207344731825213	-0.0846243258529358	0.0628358354659053	0.303870100217591	-0.149156825069056	0.274836130930989	0.026392164740177	0.0833507717202247	-0.266447984220825	0.11541218868759	-0.111908766430378	-0.251412283508451	0.106816353278179
CD3D	0.830879815429643	0.712182447506796	1	0.91889735355614	0.465739810987323	0.444118347181653	0.609389201039049	-0.427296770137916	0.41879220848676	0.38912091826223	0.304254187702	0.0147644857605851	0.583761121968576	0.490224946980369	0.572371453782642	0.198856887486218	0.588952756243077	-0.173066763124547	-0.186309939325267	0.698236547577138	0.499501140587244	0.810382843438839	0.653979863285368	0.429718897966743	0.316144986153315	0.542232961787446	0.0893042211431947	0.362769002721289	0.589900396140641	0.715103778020666	0.663637371070812	0.493931863813638	0.0115300513874878	0.472161106089518	0.205113347821247	0.544682270954867	0.00958161286078195	0.254087972483067	0.368640182202907	-0.0968167829427201	0.390597031335396	0.480966827626826	0.163154766109882	-0.248160187822983	0.223582676680915	-0.114890908972541	-0.26009343803066	0.191430240400066
CD3G	0.920178937343261	0.615972587149686	0.91889735355614	1	0.465033670097833	0.422583704305659	0.533284327045487	-0.256195431101051	0.583579559337643	0.521627700295366	0.389442491521738	0.15465051522765	0.624393373164085	0.633966456122452	0.522918117584379	0.277880163513238	0.573997259814277	-0.0497543935590194	-0.0330634919221089	0.651989333082014	0.421726293255136	0.737114660880772	0.534378335989661	0.466395296207862	0.435037772549838	0.54058313424558	0.152188027510023	0.447045797964045	0.570810987679634	0.756625033201436	0.590773032711621	0.544813411623041	0.036765341615981	0.447823221146892	0.343451204039498	0.74432029619288	0.0999442788319711	0.216322600810496	0.293045516399004	-0.0980578570080226	0.450117307875291	0.444163920360431	0.105944871813877	-0.162036281200302	0.195762953313614	-0.164782167115803	-0.220901863223068	0.125727593366805
CD8A	0.476198272315421	0.471137056467028	0.465739810987323	0.465033670097833	1	-0.32765843235562	0.731131987395369	0.0767564213253988	0.437987426436304	0.367541335782397	0.485120311872273	0.439659663977483	0.183094174974207	0.208051421503447	0.25969253627768	0.334774756094275	0.299929206459481	-0.283453649040576	0.00290549792916947	0.287521754172968	0.313190245002709	0.143300585073348	0.462432330608223	-0.295627681924958	-0.35797049210571	0.0616577837201155	0.230727855763003	0.307169204162932	-0.00922531143372521	0.192996020448188	-0.0227043679820425	0.467825091885249	-0.255682894052053	0.076598769688289	-0.0585433085429644	0.249894290801364	-0.196305762510122	-0.233534445133547	0.000367635995675849	-0.394496710826099	0.0794790836626099	0.00883554237694477	-0.0444346472606216	-0.389090037081794	-0.165457693676849	-0.259277798395386	-0.343486887322238	-0.157029376988683
KLRB1	0.335039820078745	0.0486734073711352	0.444118347181653	0.422583704305659	-0.32765843235562	1	0.0185979396329229	-0.343950390247731	0.0643760517237466	-0.147329207737586	-0.260037789063605	-0.199179927705785	0.313952659112437	0.225678128943134	0.307449076266167	-0.155862046702216	0.311646485851964	-0.126098593447702	-0.126062140212416	0.516626579840133	0.113897146742549	0.59899860590828	-0.000109786014312334	0.806344558608739	0.628456707635719	0.446448506492129	-0.172453456906789	-0.121389282751271	0.571515972786558	0.465025775686102	0.797015708214615	-0.023641818251725	0.165140976953959	0.443760165728451	0.200877140528296	0.287973963181811	0.099673956573618	0.409717072493866	0.2280070758993	0.157478229418008	0.138155987151852	0.519733910732703	0.137721563354061	0.0366485832225816	0.385824448343293	-0.00662464566068198	-0.0173979926023107	0.30268450992749
CD8B	0.443403902780501	0.401726432419196	0.609389201039049	0.533284327045487	0.731131987395369	0.0185979396329229	1	-0.126374581804237	0.328813288713701	0.255904346882153	0.312243903124049	0.370779446568701	0.373187173081544	0.369299721508965	0.478107469415433	0.245488257937899	0.49838088209812	-0.302795463939335	0.0474343972482765	0.442544572118731	0.320700421220081	0.379154385294325	0.412318708143848	-0.0192903426223429	-0.152543660400992	0.287590430020818	0.0998070078600087	0.279539348464805	0.273957406900756	0.374854448249249	0.311676039418851	0.348372644097487	-0.0787629706685349	0.419804191589639	-0.0442440613604693	0.255643462161315	-0.0509772084178319	-0.0568114926219129	0.103541140334683	-0.261136521636872	0.0308901596179769	0.334291230292484	0.0829641527223507	-0.326897096682981	0.0199867267404846	-0.177810144797319	-0.300533457588249	-0.00798815849969361
KLRD1	-0.10335411473814	-0.23994192097441	-0.427296770137916	-0.256195431101051	0.0767564213253988	-0.343950390247731	-0.126374581804237	1	0.392415092951226	0.235412446880891	0.230378024230742	0.630568825693032	-0.19740795345409	0.102416945295576	-0.302679475942754	0.387459448309718	-0.39303917522979	0.19824036442031	0.482328158115103	-0.390037606949379	-0.0596121662772323	-0.320425128376391	-0.214579557237463	-0.42319367546153	-0.133755396915786	-0.310484845789073	0.394351584074948	0.0933892354950026	-0.324150125533872	-0.295251522665572	-0.519005711821074	-0.0988208870279173	-0.266636521448604	-0.315821168132395	0.0738754313608681	0.11774315878851	-0.0608499580627324	-0.342369589343077	-0.274992160630186	0.0923067537692308	-0.0534948172353645	-0.371719799093492	-0.208078959768811	0.140058763024911	-0.127108280519322	-0.140568216695775	0.0122400406328202	-0.242392669395723
CD247	0.648314685960979	0.348467762312559	0.41879220848676	0.583579559337643	0.437987426436304	0.0643760517237466	0.328813288713701	0.392415092951226	1	0.566067311539258	0.503112429688652	0.438385212316435	0.435758336261718	0.541509901038242	0.24216868776584	0.46755022650201	0.262973350273008	0.192517502575064	0.276809605240257	0.35232626149179	0.257066170706801	0.379306870051537	0.32561948237006	0.051154713754303	0.163068687784768	0.116823614304829	0.366627771192267	0.519779155548844	0.207166511013877	0.413082456324795	0.0803244839824978	0.480622003584138	-0.126404060616062	0.154228709212188	0.379568686485769	0.675877479727441	0.0309859424684708	-0.0751652449139356	0.0701695540999519	-0.047968080893455	0.3578451818823	0.10542375466541	0.000470748076299806	-0.0142367451172146	0.201812823063148	-0.195497235631858	-0.163664054785164	-0.0254321583629887
F2R	0.612335890001046	0.34130871786021	0.38912091826223	0.521627700295366	0.367541335782397	-0.147329207737586	0.255904346882153	0.235412446880891	0.566067311539258	1	0.534233043922195	0.346806428599353	0.619004465801377	0.602609497962261	0.21196559342913	0.508005897525121	0.303368392529825	0.277674964291439	0.315498950482061	0.2025980107847	0.364882683125522	0.235081065829104	0.357362859507512	-0.00521078875866219	0.190255863955631	0.194411701910297	0.388008998555177	0.714557419712677	0.358599628151673	0.4302534644982	0.0396867206945651	0.579470108655257	0.120041380774213	0.105738835061524	0.581165858126405	0.650811892207192	0.320287837223963	0.250974463040206	0.389796036495403	0.338364701065141	0.472703594387022	0.0463399846624062	0.149218659241068	0.164056273658883	0.170364743758453	0.200825372812469	0.200102459854213	0.244067802132656
