source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
Glioma	Glioma	PTN	PTPRZ1	2.96057540201372e-08	111.7	0.97115700154926	12	3.74159094607044	1	3.66360611798621	1	0.948851653049208	15	0	529.5
Glioma	Glioma	TNC	PTPRZ1	2.17638845347754e-06	164.7	0.976022484754473	9	3.00843087607526	4	2.17855294642263	6	0.892992854146709	275	0	529.5
Glioma	Glioma	MDK	PTPRZ1	1.5434042921377e-05	125.7	0.933529821721536	22	3.29642129012969	3	2.8541186076908	2	0.932674480289464	72	0	529.5
Glioma	Glioma	NCAM1	PTPRZ1	6.88256242774248e-05	153.9	0.917891677974727	29	3.32685328609692	2	2.27055613653241	3	0.907329428961044	206	0	529.5
Myeloid	Glioma	S100A4	EGFR	7.36904061246005e-05	176.1	0.443580367936025	217	1.6715873019545	57	1.73758072512288	27	0.936666811373707	50	0	529.5
Myeloid	Glioma	GRN	EGFR	7.77833343301318e-05	185.7	0.56128232423336	128	1.65130116744421	60	1.61540367052633	34	0.912717675133573	177	0	529.5
Myeloid	Glioma	ITGB2	THY1	9.4374688069374e-05	237.1	0.557923416394389	132	1.35358133312875	165	1.36767123799206	69	0.889870449002259	290	0	529.5
Myeloid	Glioma	FN1	ITGAV_ITGB8	0.000101065328454749	236.9	0.430265000491746	237	0.962334382928409	294	1.75332586522336	25	0.928463748371022	99	0	529.5
Myeloid	Glioma	ANXA1	EGFR	0.000125475061461552	266.3	0.387433379154529	307	1.61439345532301	78	1.08538113560054	169	0.897358206181071	248	0	529.5
Myeloid	Glioma	GNAI2	EGFR	0.000144977615605716	221.3	0.456548912746237	205	1.63137740682378	64	1.35935456296161	72	0.900670875603846	236	0	529.5
Glioma	Glioma	EFEMP1	EGFR	0.00014873968536705	217.5	0.951650515327198	20	2.81780393399298	5	1.57914276804569	37	0.863345912317249	496	0	529.5
