source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
Glioma	Glioma	MDK	PTPRZ1	1.21949066550228e-05	76.3	0.944941352086692	32	2.05583630632485	33	3.11705498395593	2	0.940891449098007	16	0	298.5
Glioma	Glioma	PTN	PTPRZ1	1.92213927813214e-05	70.3	0.913565154130765	37	2.28733011522647	14	4.06388972424294	1	0.960756591443658	1	0	298.5
Glioma	Glioma	NCAM1	PTPRZ1	3.49244001972375e-05	79.7	0.887504007551947	43	2.06538869038248	31	3.03786687381939	3	0.938360124853826	23	0	298.5
Glioma	Glioma	CNTN1	PTPRZ1	0.000106833598362241	87.5	0.904203471597482	40	1.89447423576942	37	2.7547217518949	5	0.92459258448324	57	0	298.5
Glioma	Glioma	PTN	SDC3	0.000351013751530809	100.3	0.807628071777973	62	1.58362865261208	57	2.56252452217409	7	0.919965851851429	77	0	298.5
Myeloid	Myeloid	APOE	TREM2	0.000515284589199297	197.9	0.439728813775357	225	0.251128688640341	459	2.77636076137186	4	0.957572718508522	3	0	298.5
Myeloid	Glioma	ITGB2	THY1	0.000852280592911454	175.9	0.629176727630295	126	0.859168599989915	167	1.5604508933969	69	0.884928816262328	219	0	298.5
Myeloid	TCells	HLA-E	CD8B	0.00113710861428392	157.7	0.480051386972484	191	1.85884616143568	41	1.63899803258221	61	0.887745311723837	197	0	298.5
Myeloid	Myeloid	APOE	SORL1	0.00115565488786825	216.3	0.386495719907408	302	0.237016064334062	471	2.59573696917543	6	0.954683962833171	4	0	298.5
TCells	TCells	CD48	CD2	0.00116529633575778	127.3	0.971970768828489	16	4.2704849601974	1	1.87312544609185	36	0.872397238305524	285	0	298.5
Myeloid	TCells	HLA-E	CD8A	0.00175373767144773	177.9	0.470205790686333	200	1.38692183249691	76	1.6159155051208	62	0.876993421272091	253	0	298.5
Myeloid	Glioma	APOE	LRP6	0.00178867158677042	175.9	0.524742517999847	162	0.558058707280982	254	1.8203227485339	39	0.906765450026293	126	0	298.5
Myeloid	TCells	C3	IFITM1	0.00182415999569129	116.1	0.587066763028117	142	2.08155073063192	29	2.18571177337488	15	0.915698455796617	96	0	298.5
Glioma	Glioma	PTN	NCL	0.00204787287551836	110.7	0.499074636471312	176	1.48290109096258	64	2.46878669814962	8	0.946787863811269	7	0	298.5
TCells	TCells	B2M	CD3D	0.00204787287551836	143.3	0.377581317757004	314	2.59590414314492	4	1.43818278015788	92	0.94644226619464	8	0	298.5
Glioma	Myeloid	APP	CD74	0.00216960992793171	146.7	0.482754129602623	186	0.662813466024154	221	2.41587391040352	9	0.93885518480883	19	0	298.5
Myeloid	Glioma	HSP90AA1	EGFR	0.00256551914761409	246.1	0.405800212161643	268	0.512282239625273	273	1.13402827027213	165	0.88306302548013	226	0	298.5
Glioma	Myeloid	MDK	SORL1	0.00283304885016961	123.1	0.651748531523579	104	0.999901768003035	131	2.15576492918031	18	0.923686677300893	64	0	298.5
Myeloid	Glioma	LGALS9	CD47	0.00301722409135907	253.3	0.397906133745305	275	0.507238188950185	275	1.24432242836719	136	0.873359112228593	282	0	298.5
TCells	Glioma	S100A4	EGFR	0.00306841226063008	172.7	0.881453053122496	45	1.7352369143206	50	1.75763832161746	45	0.842786869886546	425	0	298.5
Myeloid	Glioma	CXCL8	SDC3	0.00318116594922672	182.3	0.651368046135093	105	0.493791075147028	285	2.02556036570487	24	0.887411276108556	199	0	298.5
Myeloid	TCells	HLA-B	CD3G	0.00329436343386464	157.9	0.393458879293786	287	2.15439508684041	23	1.44373571085742	91	0.917378296113061	90	0	298.5
Myeloid	TCells	HLA-B	CD8B	0.00335215787289184	186.9	0.393011580445592	288	1.83853524215531	43	1.16809229049195	155	0.901455890549795	150	0	298.5
Myeloid	TCells	HLA-C	CD3G	0.003470180097302	164.1	0.391505432286555	290	2.14188520540129	24	1.39955201957632	99	0.911052279734682	109	0	298.5
Glioma	Myeloid	MDK	LRP1	0.00353042483939355	231.7	0.409883293625282	257	0.913002205073677	147	1.10346561096355	177	0.873989083133996	279	0	298.5
Myeloid	TCells	HLA-C	CD8B	0.00359150340387377	195.7	0.391060354190369	292	1.82602536071619	45	1.12390859921085	170	0.894051554901924	173	0	298.5
Myeloid	TCells	HLA-B	CD3D	0.00364091763627289	138.7	0.390732115933921	293	2.33264772356563	12	1.69994012395757	53	0.930451246785934	37	0	298.5
TCells	TCells	LCK	CD8A_CD8B	0.00385302931209329	289.1	0.975302772579736	11	2.98645642660891	2	0.922232324003153	239	0.742075772766117	895	0	298.5
TCells	TCells	B2M	KLRD1	0.00385302931209329	149.3	0.370347987589037	322	2.34575138311127	9	1.3528804171171	106	0.943166270859415	11	0	298.5
Myeloid	TCells	B2M	CD3D	0.00385302931209329	151.9	0.349158180034398	360	2.34295235825945	11	1.5026082646825	81	0.944423766373957	9	0	298.5
Myeloid	TCells	HLA-C	CD3D	0.00390970753889282	144.5	0.388792206777797	297	2.32013784212651	13	1.65575643267648	59	0.925044390966369	55	0	298.5
Glioma	Glioma	BCAN	NRCAM	0.00405872337007846	124.7	0.958580524347047	28	1.59801427927531	55	1.85865568304792	38	0.886712140518024	204	0	298.5
Glioma	Myeloid	THY1	ITGAX_ITGB2	0.00425007642795754	193.1	0.656353592628316	102	0.84779276288287	169	1.42168780120265	94	0.870500707748227	302	0	298.5
TCells	Myeloid	CCL5	CCR1	0.00427882046376542	136.1	0.89419466549244	42	1.58999928344548	56	2.13754379188609	19	0.875551466556072	265	0	298.5
TCells	Myeloid	CD52	SIGLEC10	0.00427882046376542	179.3	0.833515513431861	52	2.1106169466225	25	1.66705116865498	56	0.83508288194892	465	0	298.5
