source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
Glioma	Glioma	PTN	PTPRZ1	2.19435016862784e-06	133.2	0.987672019373789	8	10.4656840098929	1	3.65999600161196	1	0.921476547354779	100	0	556
Glioma	Glioma	MDK	PTPRZ1	2.48293004331032e-05	160.6	0.972266186873021	18	8.2490614704414	2	2.67720626336636	14	0.895973426479409	213	0	556
Glioma	Myeloid	PTN	SDC2	0.000138209274439542	212.4	0.945354914955591	32	6.184301344673	14	2.38170166629042	23	0.8529264897444	437	0	556
Myeloid	Myeloid	S100A8	CD68	0.00020833228853149	207.2	0.807912941036456	115	0.784044741762713	318	3.31483516797493	4	0.938992463630848	43	0	556
Glioma	Glioma	NCAM1	PTPRZ1	0.000230511573767652	208.8	0.969044628344271	23	6.82241251307204	10	2.17907409582231	38	0.855548071806275	417	0	556
Glioma	Glioma	NCAN	CDH2	0.000242793942188588	385.6	0.993031954652451	5	8.08147542433498	3	1.00130547541383	360	0.764358584760028	1004	0	556
Myeloid	TCells	S100A8	CD69	0.000242793942188588	221.6	0.65793406779068	211	0.738297194373475	334	3.58787262314817	2	0.953667728788949	5	0	556
Myeloid	Myeloid	S100A9	CD68	0.000248519723555185	212	0.732919483535747	165	0.804225553107368	312	3.53948863738857	3	0.945863785755856	24	0	556
Glioma	Glioma	PTN	PTPRS	0.000310401965165209	368.4	0.970942132387976	19	6.87632430354173	9	2.10438624725411	42	0.728188848718432	1216	0	556
Myeloid	Myeloid	VCAN	TLR2	0.000339061368277913	239.6	0.692102146867586	189	0.741910901137638	332	2.70551677797897	9	0.917205784120684	112	0	556
Glioma	Glioma	NLGN4X	NRXN1	0.000349314183641468	626.2	0.995987000252951	1	6.9722705500081	6	0.491488020927251	721	0.595810017943332	1847	0	556
Glioma	Glioma	PTN	ALK	0.000356411243790666	383.6	0.967416658466704	24	7.03694949975156	5	2.09905505579891	44	0.715450306038954	1289	0	556
Myeloid	Myeloid	S100A9	TLR4	0.000456192050758042	237.6	0.766210667656164	150	0.680763898143332	360	3.02450463016179	5	0.916744981331793	117	0	556
Glioma	Glioma	NRXN1	NLGN1	0.000475034985720902	480.4	0.99359155148869	3.5	6.96495533686762	7.5	0.734261830463889	494.5	0.705907828799419	1340.5	0	556
Glioma	Glioma	CNTN1	PTPRZ1	0.000475034985720902	272	0.988926071470732	7	7.33899378421364	4	1.95155008454819	62	0.807911242446597	731	0	556
Myeloid	Myeloid	CD14	TLR4	0.000575068689685787	263.2	0.882068073471345	67	0.668397665691633	369	2.00695674114338	56	0.884534013481814	268	0	556
Myeloid	Myeloid	S100A8	TLR4	0.00061510024889494	239.8	0.84461053071378	97	0.660583086798677	374	2.79985116074815	7	0.906542892526435	165	0	556
Glioma	Glioma	NLGN1	NRXN1	0.000619905089154819	480.4	0.99359155148869	3.5	6.96495533686762	7.5	0.734261830463889	494.5	0.705907828799419	1340.5	0	556
Myeloid	Myeloid	SERPINA1	LRP1	0.000623367606672203	353	0.510032082404948	358	0.655348801390542	375	1.68013282826073	107	0.86560968597672	369	0	556
Myeloid	Myeloid	VEGFA	SIRPA	0.000648704470636503	288	0.877575198761622	69	0.649921776358177	378	1.67279835947932	110	0.873891530665129	327	0	556
Myeloid	Myeloid	IL1B	IL1R2_IL1RAP	0.000683761598604113	258.2	0.645625607530831	222	0.643194767655291	382	2.70487402030526	10	0.91520192263481	121	0	556
Myeloid	Myeloid	S100A9	CD36	0.000915931526651086	265	0.770265318050768	147	0.602123028901095	405	2.9230744427067	6	0.896552783941496	211	0	556
Myeloid	Myeloid	HBEGF	CD44	0.000938771589543438	282.8	0.513087547033301	348	0.601430805791062	407	1.95308791071689	61	0.939342198520498	42	0	556
Myeloid	Myeloid	S100A8	CD36	0.00103473317955906	268.6	0.849080059221026	91	0.58194221755644	415	2.69842097329306	11	0.884188920605218	270	0	556
Myeloid	Myeloid	S100A9	ITGB2	0.00104726006963173	280.8	0.483288715371774	397	0.579807899458836	416	2.79525517664143	8	0.944728847669259	27	0	556
Myeloid	Myeloid	HSP90B1	TLR2	0.00105990799140458	349.4	0.469103294572426	417	0.578837092546499	417	1.37018981032119	198	0.907010841006021	159	0	556
Myeloid	Myeloid	S100A12	TLR4	0.0011117275571115	298.8	0.934620535435809	39	0.574515756102915	421	1.76265643033145	91	0.859778410363217	387	0	556
Myeloid	Myeloid	THBS1	CD36	0.00113288929617111	319.2	0.885745253225655	65	0.501970979356345	505	2.21192743934266	32	0.852822895201089	438	0	556
Myeloid	Myeloid	CD14	ITGB2	0.00120727647158653	293.8	0.556365976217028	302	0.567441667007137	428	1.77770728762301	87	0.922428579610763	96	0	556
