source	target	ligand.complex	receptor.complex	aggregate_rank	mean_rank	natmi.edge_specificity	natmi.rank	connectome.weight_sc	connectome.rank	logfc.logfc_comb	logfc.rank	sca.LRscore	sca.rank	cellphonedb.pvalue	cellphonedb.rank
Myeloid	Myeloid	CD14	ITGB2	1.89867606119576e-05	128.4	0.789972463613306	42	3.01393454593993	4	2.43774819433376	6	0.917255974122452	70	0	520
Myeloid	Myeloid	S100A9	ITGB2	2.77308622828985e-05	134.6	0.752304113180933	65	2.77975152479902	8	2.63997162483096	3	0.91620815685398	77	0	520
Myeloid	Myeloid	C1QA	CD93	2.91895564732643e-05	129	0.817575452068087	35	2.91145497254453	7	2.59760782084594	5	0.91563288081816	78	0	520
Myeloid	Myeloid	C1QA	CD33	7.38737356854189e-05	217.6	0.835196577113121	27	2.51091406340437	19	2.01088576241634	27	0.85356815981378	495	0	520
Myeloid	Myeloid	SPP1	CD44	8.07955521108495e-05	245.8	0.331333954074531	571	1.48300121071193	133	2.66089889546734	2	0.947503863731327	3	0	520
Myeloid	Myeloid	HLA-DRA	CD4	9.14187667848914e-05	165.4	0.83186984604137	29	3.04129317845157	3	2.12459727685706	22	0.883479188272764	253	0	520
Myeloid	Myeloid	S100A9	CD68	9.4950821831523e-05	140	0.663600230218963	105	2.40325693392773	25	2.68109336418203	1	0.923180189759463	49	0	520
Myeloid	Myeloid	C1QB	CD33	0.000101140780766843	206	0.827235818117923	30	2.557757383226	16	2.17767307357534	18	0.860081137374985	446	0	520
Glioma	Myeloid	APP	CD74	0.000161530081462681	191	0.490042027611913	240	1.67369458643806	89	2.16685644229165	19	0.913307385674661	87	0	520
Myeloid	Myeloid	ADAM10	GPNMB	0.000214494574666205	167.6	0.625963728271882	124	2.07270454702537	42	2.11800111491755	23	0.904333326723591	129	0	520
Myeloid	Myeloid	HLA-DRB1	CD4	0.00023820432602599	180	0.795853281204571	40	2.9924608541755	6	1.88912628452145	32	0.877839682139102	302	0	520
Glioma	Myeloid	COL1A1	CD93	0.000361004248923575	241.8	0.55913760796712	167	1.43282156327694	149	1.24605645766224	105	0.881516161822449	268	0	520
Glioma	Myeloid	FN1	C5AR1	0.000409868303924486	235.8	0.451470576311024	293	1.47491478149697	134	1.22135520483673	111	0.905395730234997	121	0	520
Myeloid	Myeloid	HLA-DPA1	CD4	0.000435348605623194	221.4	0.785426200302669	45	2.55509162733115	18	1.63099881537635	49	0.856354992415957	475	0	520
Myeloid	Myeloid	F13A1	ITGA4	0.000435348605623194	210.8	0.780593213544902	49	2.44879484955523	23	1.7701644928841	41	0.863325272674399	421	0	520
Myeloid	Myeloid	SPP1	ITGA4_ITGB1	0.00043839480685284	227.8	0.344608879563986	536	1.74369714927612	72	2.60407944240935	4	0.943504549473094	7	0	520
Myeloid	Myeloid	GRN	TNFRSF1B	0.000442952963704612	172	0.581217304153003	155	2.50112195764733	21	1.90735325981257	29	0.903642997571331	135	0	520
Glioma	Myeloid	COL1A2	CD93	0.000470223059086126	234	0.510790184710474	211	1.4331313009974	148	1.20189309447077	118	0.895864919212383	173	0	520
Glioma	Myeloid	FN1	PLAUR	0.000523454385583188	263.8	0.408479062920721	377	1.06560069311124	281	1.35106238476404	84	0.921034076620718	57	0	520
Myeloid	Myeloid	CD14	TLR4	0.000580800297400762	214.2	0.771402481642436	54	2.42031949102381	24	1.71451900144113	44	0.862685013761188	429	0	520
Myeloid	Myeloid	ENTPD1	TMIGD3	0.00061327137236795	249.8	0.856564828797192	20	2.71275000818605	10	1.55875218153549	55	0.830592283710513	644	0	520
Myeloid	Myeloid	APOE	TREM2	0.000681753039948651	211.4	0.395515443679106	392	1.86355065028966	57	1.58049178021877	52	0.930240417876213	36	0	520
Myeloid	Myeloid	C1QB	LRP1	0.000755085455082224	172.8	0.504370280377089	220	1.83650283890646	59	2.22236578119412	15	0.923133411842287	50	0	520
Myeloid	Myeloid	CCL3	CCR1	0.00107889161113824	162.8	0.739428986103936	72	2.6944887489586	11	2.30662162769209	10	0.890572940480883	201	0	520
Myeloid	Myeloid	SPP1	ITGAV_ITGB1	0.00107889161113824	316.8	0.258846082117379	826	1.21239206926047	219	2.28844204508312	11	0.943197675554389	8	0	520
Myeloid	Myeloid	HLA-DPB1	CD4	0.00110004714303641	242	0.779249796696703	51	2.55984806649107	15	1.45202266742372	67	0.84475802746986	557	0	520
