""	NefMES	NefAC	NefOPC	NefNPC
SCAF11	-0.0019454011782958	0.147729575831353	-0.20279749192188	-0.132161399020244
SELENOH	0.00985945562376094	0.211243083729482	-0.175847986962062	-0.124095451815829
SEC62	-0.00325771981618163	0.234334181563854	-0.151705434622439	-0.120935005084998
SRRM2	0.00187823546954193	0.21074684157209	-0.156884984042307	-0.107871720726175
SERBP1	0.00471989377468795	0.222282982064131	-0.170847511313689	-0.122340519226932
SF3B1	-0.00858492749749305	0.20285996784881	-0.162320599546982	-0.108126375426788
METAP2	0.00448107655811487	0.171119913854378	-0.196719698846692	-0.13320934074697
TRIR	0.0169739506553678	0.169499992120454	-0.196666018530485	-0.147240177068655
HNRNPD	-0.025861934012281	0.165309009139432	-0.184840250097016	-0.133823397278745
SDF4	0.00466375683211857	0.166820577177099	-0.169957682975708	-0.148814467899481
C19orf53	0.00913924060359012	0.201147895817488	-0.184753953892481	-0.137231651467624
SEC61B	0.0310013390542519	0.182183803673149	-0.2106772082891	-0.159818248047799
TMA7	0.0284695838519865	0.18256217917108	-0.208099455461082	-0.173292680574732
CELF1	0.0043347232627757	0.184310473639211	-0.196109144052522	-0.165432255185344
NSD3	-0.0335201838051069	0.230446672562801	-0.117871991001396	-0.0865706286014382
CANX	0.013646660754866	0.206906531503849	-0.183116939458904	-0.146581848670824
PRRC2C	-0.0250472688475824	0.218774684865466	-0.144502445668979	-0.101423186300042
YTHDC1	-0.015959251897361	0.200546122491382	-0.185869114112806	-0.116820387262274
DDX5	-0.00266153921381075	0.211214440301817	-0.171186110231301	-0.118616612382674
RBM39	-0.0357398928740956	0.265000316096966	-0.125646437498275	-0.0599372593958702
MORF4L1	0.0140056967497534	0.175320775681803	-0.213267714765759	-0.147335515774303
EDF1	0.0437232037896766	0.170038415383914	-0.214357838110268	-0.174576460152271
MRPS21	-0.0310957891987797	0.256384237155888	-0.119693776533114	-0.0775064997842111
NDUFA13	0.00421764062650438	0.223387531176202	-0.156428100260452	-0.127194639246759
USP16	0.00642088494976735	0.204964737091894	-0.189438149508363	-0.136779942534393
HNRNPU	0.0106273922720191	0.135604677001324	-0.22173462166099	-0.174217894625545
DRAP1	0.00374690570585277	0.256698792169916	-0.138122380667184	-0.104049129958526
PPIG	-0.018737821478409	0.228422345354709	-0.14436257368634	-0.090755548265773
POLR3GL	-0.000379316380098676	0.201874173969685	-0.168387938811809	-0.141272256347806
TGOLN2	0.0257948205725612	0.165679492014047	-0.182128479420162	-0.15776877949052
NDUFAF3	0.0168166731319123	0.214041044829668	-0.168159104902993	-0.147725599524443
MRPL41	-0.0163871784791259	0.232210595470479	-0.152554858983372	-0.0961094124548462
IDS	0.0250152279297099	0.264071809073171	-0.155210022277118	-0.111316458696053
KHDRBS1	-0.0365111224714989	0.155676663475564	-0.178247868206777	-0.11774743072904
HNRNPA3	0.00956962382995535	0.146782513302411	-0.197424860624634	-0.165162233390728
JTB	0.0235942419700348	0.166186919743556	-0.207855515796294	-0.142450191145226
NDUFA2	0.0149941564526673	0.167248974135386	-0.233754360545719	-0.148954235278266
SRSF9	0.00114976194199126	0.169661137535583	-0.193877725961784	-0.12750631945607
SH3GLB1	0.0221265797629532	0.204932539370286	-0.197515913312884	-0.128918471764461
NR3C1	0.0159541295320241	0.211134520957109	-0.165407348401506	-0.136825102973911
PAK2	-0.00219550850622362	0.128728581752832	-0.221501763035186	-0.155077447278984
ATP5PF	0.0274091496891862	0.227405503672605	-0.163881876124488	-0.128361963431654
KRCC1	-0.0318363891422299	0.252507495574723	-0.121610221317657	-0.0576362200105831
OSBPL8	0.0125048959750844	0.127543276991597	-0.213749583154378	-0.150039392552371
C9orf78	-0.023753244371614	0.163029922686014	-0.185583202399416	-0.111620768972526
EIF5B	-0.00310525104385865	0.240779736823887	-0.141461118620475	-0.110636334113872
PTP4A2	-0.0612072479483354	0.228849906008539	-0.115797641411342	-0.0690996017152429
LRRC58	-0.0498178776979397	0.198777024949874	-0.128403682250201	-0.0853241168403059
NFIC	-0.0288439346738505	0.266081135070059	-0.106160169100869	-0.0648055443220736
THOC7	0.00642255755885694	0.185300762654793	-0.202846520292476	-0.139138739194758
