""	MES	NPC	OPC	AC
MTDH	-0.0925411390803917	0.244549848058003	-0.00473209508261782	-0.149386858919427
SRRM2	-0.157645875870246	0.291501577312703	0.0726310801344929	-0.161003610506329
GDI1	-0.109190277938468	0.269135050156095	0.121954037330404	-0.112194062858668
RHOBTB3	0.0123584777256252	0.270283029686781	0.0572602770349786	-0.0130646295362687
GPM6A	-0.100865996544793	0.343956247789994	0.0595160906234678	-0.106502123084355
TTC3	-0.128218831292913	0.330894719451516	0.0824241722080235	-0.169791292724356
LINC01578	-0.0449529216877095	0.291648581293257	-0.00131139998396003	-0.0921045941040762
SRP14	-0.0317311676878903	0.258968745096115	0.0786106476663567	-0.0710697924407994
H3F3B	-0.0146913737141434	0.251913483212976	-0.0334084403945613	-0.13555797638805
MAP2	-0.219621085878167	0.36793337582919	0.147049839259606	-0.216451582404814
GABARAP	-0.0399258508876089	0.229679364820542	0.0892562061318728	-0.10557839646143
SRSF11	-0.136417759365192	0.324941239193406	0.0883711320200344	-0.125964998142645
ATRX	-0.139316502895729	0.364486193189998	0.117054189722485	-0.161759647131604
CSNK1E	-0.116626397796915	0.330387082101493	0.0882322821453364	-0.119297482192104
GPM6B	0.0104890368824853	0.269920944539931	0.127373752001411	0.0317765602484854
RAB2A	-0.154501218977591	0.294644056756962	0.0752663222232649	-0.163433636924682
TMBIM6	-0.0222894477814771	0.252731967917935	0.0011270252874626	-0.122558124788793
TSPAN3	-0.000674304488488036	0.244911746641548	0.100248147301455	0.0202353304644464
SON	-0.0901671319874503	0.327125161540603	0.0484653171940925	-0.121045266850607
PTP4A2	-0.0805723307508336	0.247792685366307	0.0160771480463234	-0.144585458790501
PAK2	-0.101944332297044	0.28829114210501	0.019139394059939	-0.179684996657976
TMEM59	-0.0283441680772931	0.244526753726234	0.0575285480399602	-0.052316276662063
BEX3	-0.148986104028738	0.266538106099441	0.0750582325722593	-0.194949553783186
ZNF428	-0.161194801835901	0.262217544590305	0.107319796949735	-0.185014100145879
OSBPL8	-0.155354281564982	0.307740978774017	0.0363618607309606	-0.216159569993654
RCN2	-0.130214202101823	0.308653431151465	0.0696246933508557	-0.126803989591494
UBE2M	-0.0901207755034754	0.252930506330518	0.0460041407616578	-0.133657711197653
UBE2R2	-0.181194274594786	0.298387878875061	0.0308145525743162	-0.249542532685737
EDF1	-0.151738306907283	0.23781301340502	0.0662424193913615	-0.205195748759447
KTN1	0.0526429838223108	0.21189198388082	0.0186378813320602	-0.00570900486602338
WNK1	-0.102858302731379	0.294704166854614	0.0909783368390843	-0.109575241972009
MMP16	-0.0893855188696202	0.28539505491157	0.181411127678758	-0.0560102195514816
ATP5F1D	-0.119535135752992	0.250867647760908	0.124917047542754	-0.168915767312963
TCF25	0.017058255262201	0.234969554018032	0.0261162176717195	-0.0244316020652607
NCAM1	-0.0865187878022088	0.357779963842421	0.156715903911255	-0.0186363310843515
UBXN4	-0.0585904984905875	0.256805823262935	0.0785276530060965	-0.0570405035173574
SELENOK	-0.148065839202681	0.246355788815504	0.0416535475368146	-0.228987183453689
TCF4	-0.126109551708205	0.400816214636832	0.0119193903258775	-0.188489393213425
SLC39A6	-0.033167087392227	0.243477442855389	0.0527448395560892	-0.0399727926545634
NOVA1	-0.0804766537402897	0.294121095975406	0.0679537437050202	-0.0917164495221138
RBM39	-0.0425279545166078	0.310646738258175	0.024016980976454	-0.111147126955598
BRD4	-0.162577071878495	0.301658727640568	0.105937738747535	-0.167018155948769
MTPN	-0.0574448073992175	0.252668471763227	0.0921700855031756	-0.0932147488308238
SEC62	0.03283438041514	0.255292787021398	0.150219214097687	0.0528941872819539
NDUFA13	-0.134378946717378	0.24244529701962	0.0626471183868014	-0.179742463825181
JTB	-0.160165285814944	0.270004394108564	0.0718550381496514	-0.205180931924333
MARCKS	-0.240835354440979	0.442649807554961	0.146946364322183	-0.293468418093531
EID1	-0.203538222440266	0.271281529177912	0.0500607135501513	-0.264284525897839
RALBP1	-0.142769763132597	0.304990536459885	0.0613146942430049	-0.200605339414109
SELENOH	-0.103554401916909	0.234113853216317	0.0611639853931925	-0.182546717407751
