""	MES	NPC	OPC	AC
VCP	0.261911549244219	-0.459670372157078	-0.467042050614088	-0.278373467711438
SDF4	0.31752963673071	-0.540097216233558	-0.521217257667878	-0.319435066543718
HNRNPU	0.324775828154866	-0.460385841316558	-0.528571804022699	-0.398810694159324
PSMD12	0.306570456685907	-0.490554677665826	-0.523686653244887	-0.336861457571575
KDELR1	0.175577655077502	-0.42810991866966	-0.472858935344127	-0.328042796079014
PCBP2	0.20703586256721	-0.411689828216964	-0.486521313437101	-0.374502542535669
ACTR3	0.412225156317168	-0.618156159865421	-0.609464268389302	-0.409639893709347
WNK1	0.287275574314218	-0.457844057341051	-0.505751369439389	-0.363837488844723
KPNB1	0.222823055275278	-0.424864434101309	-0.488354197819308	-0.366764613152816
FAM50A	0.352878419663628	-0.505933614469314	-0.548364507639582	-0.369185603337479
RAB10	0.376869124592455	-0.51934884217206	-0.488624202464332	-0.243329740192668
RTN4	0.290240014546161	-0.49858633931252	-0.517774506760773	-0.311800903292625
HM13	0.377440475528152	-0.536599559121296	-0.596427276156003	-0.417067728826592
APLP2	0.197187910640689	-0.435092129836245	-0.44334670602275	-0.256423161506623
MORF4L1	0.173529946867848	-0.417957360970203	-0.451661544101079	-0.29654802807261
EIF3A	0.245903558269455	-0.457914335975674	-0.529451674633439	-0.392943311610237
DDX24	0.121582384421861	-0.338105193789987	-0.384807468768522	-0.219958722211864
EIF2S2	0.349657786271782	-0.551540311073612	-0.589152619175763	-0.410656630272154
DYNLRB1	0.241362620746093	-0.470566399319431	-0.481655540228042	-0.278245627562664
CHURC1	0.276891788130399	-0.507797349930976	-0.496539456447002	-0.305574638642809
DYNC1I2	0.323161709531112	-0.484844490574734	-0.450637593024724	-0.258283744253119
METAP2	0.240538183030507	-0.449816942913443	-0.444071175290318	-0.231255163526089
CHMP4A	0.265239423930866	-0.482720141654366	-0.488695957959916	-0.308484131542217
SELENOS	0.276925498614344	-0.490956724904134	-0.511963829645261	-0.307127507938489
PSMD11	0.325255423383155	-0.501274696059851	-0.523336875864627	-0.35980127534468
SMARCA4	0.228797714964014	-0.412532912824489	-0.479607094330154	-0.338821670899064
EIF4A2	0.255098823905487	-0.402929156955317	-0.493960718345635	-0.377028120473335
ACTB	0.363019990539967	-0.600160016313729	-0.607573108932227	-0.429568092263202
DDX18	0.353178038678212	-0.507576385272409	-0.525447514547132	-0.324562319297626
WASF2	0.24916956264847	-0.43270530637354	-0.457858618205179	-0.275789477477698
SRRM2	0.242021058385112	-0.399180864194014	-0.44626008583414	-0.306750467836754
CHMP4B	0.336338839760409	-0.544009406139664	-0.54804666542574	-0.337585607776978
ROCK2	0.366482664280285	-0.530120154432378	-0.517037280922539	-0.304184553270366
CANX	0.451781545559633	-0.611174446131328	-0.612456583877103	-0.38763764183077
UBE2V1	0.221470927472636	-0.453006992918831	-0.463798847326774	-0.271603987919324
UBE2K	0.279295079938144	-0.510585043946854	-0.541010242591416	-0.381555836720597
MRPS21	0.227598702021667	-0.467233488417776	-0.457304483547451	-0.277034575002892
EID1	0.127294754830004	-0.375888011445133	-0.390582800732072	-0.222360701899159
ERLEC1	0.271356637473962	-0.488586052559842	-0.497256802138132	-0.299696446371227
CDC37	0.401616511788523	-0.558306106516001	-0.583743243155673	-0.389916295997918
GNAI2	0.32169999220935	-0.547116774288546	-0.516921180177336	-0.331862312550812
NFIC	0.364273026363902	-0.514844738476219	-0.538742844060433	-0.362762074116757
TM2D1	0.214898425996218	-0.42602345009116	-0.453626294408129	-0.275618638578763
UBXN4	0.195657777486096	-0.396134213684212	-0.452163000657192	-0.28431854921476
TRAM1	0.316316971839972	-0.509746367620374	-0.554344961897479	-0.360650781966998
EIF5B	0.335574510755397	-0.532734886025117	-0.557506877853362	-0.380636663821042
CSNK1A1	0.330671593338485	-0.51808642883536	-0.568459655361545	-0.393152939951334
MTDH	0.291318700289161	-0.504446334201916	-0.557311995807353	-0.395090528677155
KTN1	0.256702801767979	-0.477369874415407	-0.493594333581055	-0.314609501446414
PRRC2C	0.302431151285137	-0.485461366899118	-0.537691108806098	-0.374175340023128
