""	PC1	PC2
OR4F5	-0.00055268562433572	0.00119861579674501
AL627309.1	-0.00239513652177399	0.00580097646632975
AL627309.5	-0.00560070808866305	0.00529894139649044
AL627309.4	0.000621439260654127	0.00184022528720033
AL669831.2	-0.00209217853514597	-0.00519711393075147
LINC01409	-0.00736492189822421	0.000714371904601283
FAM87B	-0.00109442000421763	0.00146514776681932
LINC01128	-0.00871680083788445	-0.00095027950780357
LINC00115	-0.00650717470451125	0.00340572233507586
FAM41C	-0.00475443116277967	-0.00650180837183372
AL645608.6	-0.00115537897906187	-0.00452611502991539
AL645608.2	-0.00239723656079434	0.00276500875489324
LINC02593	-0.00132817759724399	0.00426913161757034
SAMD11	-0.00244270430558951	-0.000516196534336024
NOC2L	-0.00874897369430657	-0.00317841934646888
KLHL17	-0.00567745647854549	0.00383823199376718
PLEKHN1	-0.00204505894838568	8.46020182690518e-05
PERM1	0.000862082584434051	-0.000754582438722873
AL645608.7	-0.00441860492688441	-0.00377500286319367
HES4	-0.00730376400768991	-0.000207603628195976
ISG15	-0.00711120066634768	0.00114930013312464
AGRN	-0.00829286784174594	0.00418395863937072
AL645608.8	-0.000672245395151388	-0.00236165736728064
RNF223	-0.00284706599988883	-0.00270286735731156
C1orf159	-0.00749680938624572	-0.00433381925137814
AL390719.3	0.00112268217078981	0.00206023648933685
TTLL10	-0.0022693133539474	0.00833824347998367
TNFRSF18	0.000557489339638099	0.0037503911129839
TNFRSF4	-0.00475775440009419	0.0195621124282785
SDF4	-0.00883780826128823	-0.00449762041825204
B3GALT6	-0.00864001497139397	-0.00298450465120081
C1QTNF12	-0.00489517828885763	0.00934531724216875
AL162741.1	-0.00170199609963234	-0.00401554512467601
UBE2J2	-0.0087890106506362	-0.00511048129689356
LINC01786	-0.00489460698983124	0.000474438338756786
SCNN1D	-0.0057854842448057	-0.000258963819347887
ACAP3	-0.00822563893245942	-0.00555966439878357
PUSL1	-0.00774629520920132	-0.0106465523701771
INTS11	-0.00881331456840409	-0.00353958932775248
AL139287.1	-0.00391696501845819	0.0116536416154062
CPTP	-0.0081238546486456	-0.00576200362137781
TAS1R3	0.00113036429450533	0.00154657643572603
DVL1	-0.00846669476202623	-0.00594403265618895
MXRA8	-0.00191737993445503	0.0103133490328784
AURKAIP1	-0.00861786840038666	-0.00714442175244308
CCNL2	-0.00880472207311922	0.00070390673908521
MRPL20-AS1	-0.00855216316094714	-0.000894263570188078
MRPL20	-0.00866801050639849	-0.00635879154654185
AL391244.2	-0.00584980521370353	-0.00612107555184953
ANKRD65	-0.00486646722276447	0.00253152984917373
AL391244.1	6.09588191571081e-05	-0.000561305798872407
TMEM88B	0.000684188244433538	0.000848742707637971
VWA1	-0.00673286337738293	0.00932469214084569
ATAD3C	-0.0075039919135547	-0.00387144432027765
ATAD3B	-0.00793198434719888	-0.00328213838366748
ATAD3A	-0.0084206097504132	-0.00623272638560101
TMEM240	-0.00849775996826537	-0.00385765957663576
SSU72	-0.00882050345179416	-0.00388621742852912
AL645728.1	-0.00803423100839691	-0.00508224942777801
FNDC10	-0.00564106075099407	0.00226259294322497
AL691432.4	-9.65584858231685e-05	0.00113702982881483
AL691432.2	-0.00834873989225495	-0.00668031188313672
MIB2	-0.00866249439033808	0.000476252359102406
MMP23B	-0.00437916428141398	0.00716227440877888
CDK11B	-0.00867384220495479	-0.00650607315087053
FO704657.1	-0.00618572212488267	0.00105398371222537
SLC35E2B	-0.00828355720660502	-0.00234532386451935
CDK11A	-0.00877513800004851	-0.0020357983525752
SLC35E2A	-0.0087013338046406	-0.0030386301011638
NADK	-0.00861249984350442	-0.00524508064116886
GNB1	-0.00901469528171321	-0.00269483077659751
AL109917.1	-0.00228041631437294	-0.0027812945484914
CALML6	-0.000819216357143202	-0.00157229029112082
TMEM52	-0.000406386337635428	-0.00212091398678354
CFAP74	-0.00157081412189195	-0.00404731257535679
AL391845.2	-0.00347338848143125	0.0151069455477951
GABRD	-0.00205961946948016	0.00133367433525928
PRKCZ	-0.00456220686724757	0.00463622269063064
AL590822.2	-0.00165523172357484	-0.00333347501338763
PRKCZ-AS1	-0.00238718265897131	0.00399963836612358
FAAP20	-0.00869788859668763	-0.00695047457631515
AL590822.1	-0.000992541750651698	0.00868023743205965
SKI	-0.00887400235562589	0.00150705326488778
AL590822.3	-0.00395481963358658	0.0142147421330967
MORN1	-0.00692695587995478	-0.00738455803853022
AL513477.2	-0.0020024372631293	0.00111595001093475
RER1	-0.00877661703767451	-0.00549946149543805
PEX10	-0.00856545383052453	-0.00550546565134183
PLCH2	-0.00258826577310178	0.00643613380041984
AL139246.1	0.000298603915132476	-0.000520615046905141
PANK4	-0.00808588776192948	-0.00292608341147963
HES5	0.000102105040824901	-0.00298260118644402
AL139246.5	-0.00159849348687699	0.0130080268819708
TNFRSF14-AS1	-0.00442118135370183	0.0129602101749328
TNFRSF14	-0.00435174218314717	0.0176532603926378
AL139246.3	-0.00215873712447289	0.0153529434393596
PRXL2B	-0.00783256178433663	-0.00481172348434259
MMEL1	-0.00286597211110607	-0.00193420261451561
AL831784.1	-0.00151264682186442	-0.00210512160821146
TTC34	-0.00379768043904994	0.00191063729919534
PRDM16-DT	-0.00438349389391558	-0.000865975967802782
PRDM16	-0.00475659383849251	0.00760843080347427
AL590438.1	-0.00231731165191641	-0.00375583289378453
AL354743.2	-0.00237492588465434	-0.00304193800144634
AL354743.1	-0.000983243440316298	0.00424897624203843
ARHGEF16	-0.00044318023972936	0.000187426658734538
AL512413.1	0.000275518800050958	0.00119759004927011
MEGF6	-0.000394175628940016	0.010279018786744
AL513320.1	-0.00122425003327891	-0.00486014209674606
TPRG1L	-0.0075747747745153	0.00766801493933204
WRAP73	-0.00836584966499921	-0.00596652414058312
TP73	-0.00668497182309378	-0.00891212671806349
AL136528.2	0.000649707331744355	-0.000317922402152926
CCDC27	-0.000937662775624437	-0.0053485787090257
SMIM1	-0.00381543601808616	0.00614634364382399
LRRC47	-0.00877572365512815	-0.00413531365381544
AL365330.1	3.37459336488958e-05	-0.00179632896869049
CEP104	-0.00881536529754552	0.00159873976135384
DFFB	-0.00735900479785694	-0.00442508360930245
C1orf174	-0.00834486695199747	-0.004135588783815
LINC01134	8.65037468308186e-05	0.000341089671537014
AL805961.1	-0.000934234940080907	-0.00103683464967409
AJAP1	-0.00156028052331701	0.0144156640701874
Z98259.3	-0.00283557606134497	0.00965095192901997
Z98259.2	-0.000539323699228049	-0.00158337639875946
NPHP4	-0.00785830157781263	-0.00354842368885408
KCNAB2	-0.00753849516407755	-0.00356103524536332
CHD5	-0.000636240837098755	-0.00458175918788993
RPL22	-0.008661009062351	-0.00478734443597867
AL031847.1	0.000502835210380498	0.00214921765298027
RNF207	-0.00340254607857557	0.00131439974200308
ICMT	-0.00852763309379137	-0.00517007475039661
LINC00337	0.00117643332771961	-0.0033847111127545
GPR153	-0.00717195536623975	-0.00161856578961518
ACOT7	-0.00774526535002247	-0.00686405927016086
AL031848.2	-0.00658610302726923	0.000662594206165117
HES2	-0.00124054768889708	-0.00201890586184885
ESPN	-0.00249539255332902	0.00163647472247133
TNFRSF25	-0.0043766037194268	0.00464188621263018
PLEKHG5	-0.00427276186660199	0.00663332982776053
NOL9	-0.00881949818496476	-0.00391841923312649
TAS1R1	-0.00434148159205571	0.00859111318083404
ZBTB48	-0.00820880384237582	-0.00334356237551203
KLHL21	-0.00727451188478336	-0.00119631045252595
PHF13	-0.0086748174971048	-0.00438284809714081
THAP3	-0.00833609041556171	0.00194470560411868
DNAJC11	-0.00872101238027433	-0.0019315653480627
