""	VerPN	VerNL	VerCL	VerMES
SRRM2	-0.161106004116955	0.0451778553158384	0.151348103313095	0.0735456504091218
SSR1	-0.145311701719082	0.0874196415249848	0.136295569938556	0.0394460323436589
PRRC2C	-0.0917285730036429	0.0415378273207862	0.1040249673555	0.0723815963686375
CSNK1A1	-0.119841055514254	0.0587112232451646	0.103297309605179	0.0754691963868895
RSRC2	-0.073722393615852	0.0718132692067731	0.0522848049359044	0.0299134056663713
REEP3	-0.154747072545216	0.0589343531161119	0.115231080051292	0.0692374362019589
YWHAZ	-0.147092096562115	0.0458323622569567	0.0124081874097838	0.119606490043348
ST13	-0.123875976634363	0.179303202927797	0.056511477521007	0.00175692622247854
MORF4L1	-0.161885167620866	0.175713458426101	0.0654490478888555	0.00397134795427115
GGNBP2	-0.148251181358706	0.0774768796993526	0.0736076350899954	0.0651586284740582
EPRS	-0.107761799573498	0.113009065580869	0.100626784973038	0.0103415855763737
DDX24	-0.0884207936764848	0.0993986594124192	0.0496463849878961	0.0243465716156952
TOP1	-0.160460368848709	0.104952946637514	0.0146804967407648	0.0717666631740074
UBXN4	-0.0849711556268686	0.0798195254391429	0.0873762916766011	0.0280955511748896
ARID4B	-0.0703129252436746	0.0408369441511869	0.126884960167989	0.0530497774540251
C11orf58	-0.0996336539443658	0.12601866966298	0.0780087720125885	-0.00847118339584802
DHX36	-0.0775501195497494	0.111724597336952	0.0612449021822901	0.0270534538586634
USP14	-0.0751843765151609	0.0989717155850874	0.0903225789646182	0.0202145699974267
MIER1	-0.100676427512568	0.0610826925773809	-0.000620839169505976	0.0810153469858913
TAX1BP1	-0.119603584042916	0.127204314161437	0.135318117808618	-0.00263683201574304
ENY2	-0.196688248287981	0.114677963604688	0.0938582269020772	0.046992516673084
LMAN1	-0.157188436162248	0.0675802636737601	0.184997594315219	0.0292259476440977
EIF4G2	-0.164445863081763	0.12720721455421	-0.00524914841624037	0.0700010157383138
PDIA3	-0.167096185163028	0.154096780997339	-0.00393314189761192	0.0252144951332501
PPP2R2A	-0.0970105174023774	0.0612705919433696	0.0752546519726135	0.0181579366028313
VCP	-0.156631220270044	0.112894006648921	0.0243898569025001	0.0410938206727911
PPIG	-0.136782771010448	0.141804265215432	0.0289564965024318	0.0205526835691528
PPP2CA	-0.0661661511833578	0.0897697862077472	0.0178118430623155	0.0178376762211675
CLINT1	-0.197158116797033	0.0528985505975937	0.069220058376475	0.122062405725677
DDX6	-0.078215516556054	0.0291179146666898	0.0198899012712336	0.108051228175997
IFNAR1	-0.10714325466759	0.150555792148247	0.0988588182389005	-0.000110530482245672
KTN1	-0.139255272514369	0.185092386902291	0.0760818948564285	-0.000355621119219793
VAPA	-0.139505172090175	0.173256490123511	0.124298602005312	-0.0155401349656086
TCF25	-0.132433109772724	0.0244500055064901	0.0794089249634314	0.0848061192400042
DDX5	-0.0994592948020022	-0.025794550452522	0.0287261933579468	0.136265650338591
PSMD1	-0.0975087837043461	0.117214264412187	0.0670751809474528	-0.00500631200937261
STAG2	-0.08328344809418	0.132323552489242	0.0531182543579688	0.00714125097833758
NARS	-0.102527062936352	0.147077469816577	0.14129751879908	-0.0169609813972716
RAB1A	-0.193169276343187	0.143346893462698	0.126081025615469	0.00692365144884427
SF3B1	-0.0995688384491194	0.00275147588790548	0.0693200342363474	0.101792723271162
CANX	-0.20668869461773	0.157336614901513	0.0775436373050733	0.0431986186079164
HP1BP3	-0.104633764399708	0.0921720628207108	0.178342311828951	-0.00474014719434241
PDIA6	-0.185078795735213	0.193625232234939	0.0472420351874103	-0.00383255993971876
C5orf24	-0.101560771552355	0.11602871008138	0.146685084539702	-0.00110461353731963
UBE2V1	-0.147730242908079	0.187649260962152	0.0779705259112695	-0.00229749116243299
AKIRIN1	-0.136179038641788	0.0585554235629204	0.187302594419901	0.00956636439756517
SPCS3	-0.0755073268960666	0.0351168436252761	0.100536727552014	0.0237250812308878
ABCF1	-0.123924882552911	0.145582279772348	0.0780240253693032	-0.00965968288175981
PHF20L1	-0.0893336306861276	-0.0160448676234952	0.159293739628423	0.0744634566614242
SON	-0.0856277212151255	0.0547946109900831	0.196591893668446	0.0104044324120979
