""	PC1	PC2
HILPDA	0.0515184831193198	0.0288468367992635
ADM	0.0568013932057516	-0.0104971121816576
DDIT3	0.0723455735510704	0.0138954448431332
NDRG1	0.0479926472289366	-0.0472655099667726
HERPUD1	0.0355190905926055	-0.139389841231718
DNAJB9	0.0653224591317072	0.0140320568880538
TRIB3	0.0680165945445377	0.0026838824815958
ENO2	0.0712738421573002	0.0275153255490305
AKAP12	0.0536203231389158	0.0529019799932102
SQSTM1	0.068482241019622	-0.00383532661411667
ATF3	0.0595606552071671	-0.105747249318086
NRN1	0.0549735768130407	0.0359324445006292
SLC2A1	0.0529607892568822	-0.0521047576103368
BNIP3	0.052898388618291	-0.0406009623576556
INSIG2	0.0736954228803413	-0.00253267936971312
IGFBP3	-0.00304830488070028	-0.00834275524931593
PPP1R15A	0.0445611101801858	-0.132382199620995
PLOD2	0.0702518614602067	0.0441966376849242
GBE1	0.0731294590153691	-0.0435722372470315
SLC2A3	0.0386052964996899	-0.125092131785077
FTL	0.0375148700042461	-0.131581139998746
WARS	0.0702096501036219	-0.0463493019616077
XPOT	0.0789986670396338	-0.000179893705694856
HSPA5	0.0630135108864591	-0.0808010019431301
GDF15	0.0393241536924386	0.0411041193099437
EPAS1	0.0567039380675637	0.00870270796389645
LDHA	0.067303730604169	-0.0787904198957299
P4HA1	0.0526076608286348	-0.103354016990503
SERTAD1	0.0676463490072484	-0.0727238895661721
PFKP	0.0462332076126487	-0.100187230826948
PGK1	0.0646008157387481	-0.0789131756871798
EGLN3	0.0110459989296567	-0.00847683603413296
SLC6A6	0.0405707380713966	-0.114559590076114
CA9	0.0219684435675082	0.0399061390711643
BNIP3L	0.0751169683876881	-0.06012996227555
RPL21	0.0461337802019671	-0.129717152547146
TRAM1	0.0655339172749635	-0.100664413732207
UFM1	0.0764166209670893	-0.0562414743862791
ASNS	0.0536701836852786	0.0573142000285482
GOLT1B	0.0755999081306308	-0.0169993796542877
ANGPTL4	0.0110144670821517	-0.0326565843336954
SLC39A14	0.057334565228323	0.0314628359078439
CDKN1A	0.0540184835578823	-0.0709232951326752
HSPA9	0.0807201698356172	-0.0201456827334414
CHI3L1	0.0753566933386291	0.044996121882059
ANXA2	0.0515226041524654	-0.116172220626542
ANXA1	0.0635613465588516	-0.092151218191532
CD44	0.0740530691253263	-0.080958474832558
VIM	0.0604422873091472	-0.108741842450902
MT2A	0.069025515228487	-0.0587560939067006
C1S	0.0707909080163479	0.0614890674211438
NAMPT	0.0544444294110494	-0.119930379336995
EFEMP1	0.0686842370731883	0.0390696722874072
C1R	0.0734024858650962	0.0358498838918028
SOD2	0.0759605964581039	-0.0551085600537507
IFITM3	0.0828051043695305	-0.00470818222359379
TIMP1	0.079771732915478	-0.0419405702497004
SPP1	0.0235803842838576	-0.146389639997062
A2M	0.0475021885809891	-0.117553784441751
S100A11	0.0276087959578028	-0.147678228167344
MT1X	0.0474983163597018	-0.0604309530652144
S100A10	0.049154004821488	-0.125088529276159
FN1	0.019615269139772	-0.150570912662501
LGALS1	0.0334781589034558	-0.143060277839698
S100A16	0.0824340678311783	0.038139345193291
CLIC1	0.0412845966120258	-0.137675993378576
MGST1	0.0819530406044044	0.0338583923425353
RCAN1	0.0453542851475678	0.0573040403394385
TAGLN2	0.0691771154396154	-0.0840861956704156
NPC2	0.0320087210954386	-0.146009528937092
SERPING1	0.0719195892062602	-0.0289056349169647
EMP1	0.0707894716155218	-0.0202631259993022
APOE	0.032314792053591	-0.140054596548615
CTSB	0.0415043502091631	-0.134863651414796
C3	0.0340664703262498	-0.133725610893302
LGALS3	0.0773209508677561	-0.0231113532859433
MT1E	0.0638160709875433	-0.0592030486507743
EMP3	0.0657038566963681	-0.0947608307932088
SERPINA3	0.0601803689767325	0.0370941884359308
ACTN1	0.0721863895162607	-0.0658499526014995
PRDX6	0.0834360856358364	-0.0250683580824857
IGFBP7	0.0691083515568761	0.0417135515567861
SERPINE1	0.0785940253381347	-0.0133647611054391
PLP2	0.0621009476869792	-0.103356901545699
MGP	0.0666560420007883	0.0388583633007649
CLIC4	0.0821126772879596	0.0352847397498072
GFPT2	0.0677817061435332	0.0452059267924289
GSN	0.0537893004585154	-0.110612705891241
NNMT	0.0781852141732588	0.0432949229301073
TUBA1C	0.0618344952877617	-0.0916274209001338
GJA1	0.0567365316223333	0.0664664430416898
TNFRSF1A	0.0781818035053419	-0.0612808080616714
WWTR1	0.0747231227531453	0.0532562851011146
CST3	0.0518611684064599	-0.122029850820142
S100B	0.0783524879392884	0.0562451754308506
SLC1A3	0.0835372850614604	0.0089286265200968
HEPN1	0.0724797467484848	0.0752011871212644
HOPX	0.0793508352559191	0.0426585668378622
MT3	0.0701975631474535	0.0651757887696678
SPARCL1	0.0761343520600086	0.0651472875157918
MLC1	0.0659694734313196	0.0436534057976363
GFAP	0.0786377940028227	0.0536310078826775
FABP7	0.0675005815825548	0.0390160848082931
BCAN	0.0508030276961397	0.00816529910102554
PON2	0.074791018192816	0.04829532378134
METTL7B	0.0740478219589928	0.0359552063673447
SPARC	0.0849061101129782	0.015184599627911
GATM	0.0780665942869446	0.0449104528504863
RAMP1	0.0794386738101818	0.0425600377061938
PMP2	0.0808826274940233	0.0489550761990116
AQP4	0.0777225977610756	0.0462986784438879
DBI	0.083253702111729	0.0355518130423931
EDNRB	0.078819345577174	-0.00997441472926362
PTPRZ1	0.0811740408507117	0.0486877875011024
CLU	0.0764857564549656	0.0676006469602972
PMP22	0.0852384366243778	-0.0201123790827223
ATP1A2	0.00761395582702537	-0.0040663282024224
HEY1	0.0659833865904841	0.0624698028823875
PCDHGC3	0.0584952128294842	0.0569242211355888
TTYH1	0.0486443114744773	0.0614774733723613
NDRG2	0.0510195322044262	-0.0775415234833358
PRCP	0.0829476053472342	0.0350149628225117
ATP1B2	0.081293325040194	0.0434251274529044
AGT	0.0729030005617111	0.0425918253734254
PLTP	0.0534019751287582	-0.117941503447201
GPM6B	0.0820117563652831	0.044940483846201
F3	0.0754659008520928	0.0527812945529933
RAB31	0.0750396575857309	-0.0735952641941285
ANXA5	0.0833456408173103	-0.0376237024292311
TSPAN7	0.0790657511461665	0.0543685729485616
PLP1	0.0485072874508231	0.0226579734283111
FIBIN	0.0746261009704908	0.0704578845791273
LHFPL3	0.0356038146660542	-0.0329181670367522
OLIG1	0.0711077510144099	0.0565214212957043
PSAT1	0.0808625861171455	0.0384969831643425
SCRG1	0.0749411575097655	0.0676751394676953
OMG	0.0535490170051633	-0.00683688286354388
APOD	0.033292004469002	0.0473114903699545
SIRT2	0.0802532009044828	-0.00851561043404593
TNR	0.0403098876159085	-0.0147517649059803
THY1	0.0748485018658607	0.0418586059790594
PHYHIPL	0.0771186287444238	0.0459202915072564
SOX2-OT	0.0791135660265731	0.0580712016194644
VCAN	0.0753353634932395	-0.0560689777157378
CNP	0.0768575021421928	0.00911096477918334
TNS3	0.0451918397174255	-0.126215620090502
LIMA1	0.0770976193849478	0.0359807078868844
CNTN1	0.0607266190038422	0.0552432022435535
SCD5	0.0807680150933849	0.057023160262476
P2RX7	0.0416653136960652	-0.120633719934344
CADM2	0.0806698366631469	0.0426123347739707
FGF12	0.0754404645627164	0.0562044749682012
NEU4	0.00674359500933438	0.032929357911243
FXYD6	0.0657984350924179	0.0560024426367857
RNF13	0.0770915116604102	-0.0624200211388269
RTKN	0.0771213212219143	0.049775135676254
LMF1	0.066537552218799	-0.0185701963967897
ALCAM	0.0378737776978342	-0.135986053267968
PGRMC1	0.0812581902737636	0.0407797147245076
BCAS1	0.0438507335912077	0.0548648323301568
PLLP	0.0693847998029796	0.0239244121550167
FABP5	0.0255342698823866	-0.148215911839697
NLGN3	0.0686642004517588	0.0461110943040576
SERINC5	0.066591682167841	0.000764831894918798
EPB41L2	0.0650980749139778	-0.0974430762740244
GPR37L1	0.0776558888632723	0.0431096343667154
DLL3	0.0629392127646878	0.0203158896725894
DLL1	0.017473479122926	0.0297135440598646
HES6	0.062160322146071	0.0683276589688709
MARCKSL1	0.0802942060303695	0.0398976742854651
TCF12	0.0834508752126041	-0.00395505340149761
BEX1	0.0812789194950783	0.0404615300668611
MAP2	0.0804313040500954	0.0537728050960109
PTPRS	0.056481299911287	0.0291217574942809
MEST	0.0703872592935443	0.0565049945853605
ASCL1	0.0630614422618845	0.0449558720500962
BTG2	0.0746642051414349	-0.0599763382799817
PFN2	0.0791238638081881	0.0517854092445741
SCG3	0.0698975027344538	0.0419101389394361
MYT1	0.000480888805503116	0.068282627433769
CHD7	0.0794252157355591	0.00390564620553337
TUBA1A	0.0821828340765315	0.0382400472108873
PCBP4	0.0749698724426695	0.0460800921571575
ETV1	0.0766689512240666	0.05303515195882
SHD	0.00110461226810828	0.0264307252667191
AMOTL2	0.0413390751578628	-0.0128925207379959
DBN1	0.0756048492062432	0.0132640440189392
HIP1	0.0771064600449875	0.0242049047392595
ABAT	0.0577305719351345	0.0603115854603077
GRIK2	0.0532037667448493	0.041379035600422
TSPAN13	0.0754420065468998	0.0218270349813666
ELMO1	0.0545376264044287	-0.105702557965414
GLCCI1	0.0757347386816174	-0.0290811418682326
