""	PC1	PC2
HILPDA	0.0742086759602526	0.0178953947880441
CST3	0.0724395158505933	-0.0562574384508749
BCAN	0.0723455752025836	-0.0527550030148142
DLL3	0.0737208351619708	-0.026442275232142
ADM	0.0723204195754266	0.0352730811427581
S100B	0.0721422592154627	-0.0397333928015962
PLP1	0.0354392898995382	0.111104759872976
DLL1	0.0554468396738238	0.0943528572911292
DDIT3	0.0717170882287911	0.0303128323926549
SLC1A3	0.074447055749979	0.030191175255344
GPR17	-0.0112230783890039	0.102785053429861
HES6	0.073968020150404	-0.0407195291902749
NDRG1	0.0499992753537867	0.118103166384776
HEPN1	0.074846929027866	-0.0281495229126168
FIBIN	0.07327145354799	-0.0382850109619831
NEU4	0.0738041233262712	-0.0281146894914805
HERPUD1	0.0478101740578997	0.144264982659509
HOPX	0.0718194493901998	-0.0618421116691319
MARCKSL1	0.0717567234799923	-0.0524787890555051
DNAJB9	0.0745180975620462	-0.00881127780778941
MT3	0.0686726275370778	-0.0792211065201615
OLIG1	0.0735452641976696	-0.00501823645486697
TCF12	0.0751921947763594	-0.0158308093228073
TRIB3	0.0648656364818837	-0.0797972754005285
SPARCL1	0.075242597229918	-0.0211733216732994
PSAT1	0.0731085591308241	-0.0446470356524651
BEX1	0.062676950006916	0.0442317436787888
ENO2	0.0722118701922106	-0.0463880811253935
MLC1	0.0748618895857186	-0.0271217581680585
SCRG1	0.0748136222129121	0.00368659854306451
AKAP12	0.0158466399615342	0.157520852450381
GFAP	0.0703959030325557	0.00756090636655724
OMG	0.0400100327002327	0.0881254293809742
MAP2	0.0753082270730554	-0.0178488277673059
SQSTM1	0.0717628510010217	0.057494188251072
FABP7	0.0713794912023679	-0.0600907280106148
APOD	-0.0029579566102467	0.11848704568745
FXYD6	0.0174978798633895	0.142608778222677
ATF3	0.066964911442661	0.0800757766212308
SIRT2	0.0739399534706087	-0.0118487495175843
PTPRS	-0.0150240927496496	0.0812829801893288
NRN1	0.0692943569315064	-0.0691262256572157
PON2	0.0741150167117486	-0.0404070302790519
TNR	0.0111099825421184	0.0936125872600139
NPPA	0.0591978019547244	-0.0899977851471356
SLC2A1	0.0749604840364925	0.016077187507446
METTL7B	0.0712427259792673	-0.0557275789480611
THY1	0.00729393107653563	0.0804706153479826
BNIP3	0.0681188699307827	-0.071050359408969
SPARC	0.0733436837385596	-0.0488523792874645
PHYHIPL	0.0754650732540825	-0.00249727560417432
MEST	0.0739729244623738	-0.0355749979276019
INSIG2	0.0698361821496619	-0.0448098955608562
GATM	0.0749685378021301	-0.0256352639547919
SOX2-OT	0.0752219264183376	-0.00918108667529118
ASCL1	0.0724587655597569	-0.0457210935486898
IGFBP3	-0.0142153532833612	0.0336402669580931
RAMP1	0.0694931562435912	-0.055412022656425
NKAIN4	0.0699596145646425	0.0399561127564425
BTG2	0.0698220553628359	0.069208364348176
PPP1R15A	0.0495588232098248	0.139385315374355
PMP2	0.0748284304681368	-0.0281456067002616
NXPH1	-0.0144789389113931	0.0697769879810335
PLOD2	0.0717305099276394	-0.0571684030024151
AQP4	0.0747062625044603	0.00251618898304653
PTPRZ1	0.074525060587806	-0.0324058660646976
PFN2	0.0745086180919276	-0.0230245800821315
GBE1	0.0620642789828613	-0.0701387069156962
DBI	0.0724166445987788	-0.0559358985917101
VCAN	0.0725426491456874	0.0299275488774309
SCG3	0.0747066092132949	-0.0284189162872325
SLC2A3	0.0610267231426747	0.0909980927482706
EDNRB	0.0737991858256927	-0.038011912000232
MYT1	0.0660903488115939	0.075568653279929
FTL	0.0459226231217787	0.0977919057809907
CHD7	0.0752616629723945	0.00692183904433875
WARS	0.0703091558605294	0.0521804190764254
CLU	0.0748788157637383	-0.0283507513484361
CNP	0.0738266195324547	0.00762236013263856
PMP22	0.0690437730120654	-0.0695613476670551
TNS3	0.0699284153053788	0.0463528030544522
TUBA1A	0.0739651936918062	-0.0397819773161808
XPOT	0.0696116058370262	-0.0671738523952787
ATP1A2	0.075089031840937	-0.0242004272140025
LIMA1	0.0746168938135756	-0.0282142418470862
PCBP4	0.0617119743107975	-0.0366743243287909
HSPA5	0.0750457140165137	-0.0160078596786551
S100A16	0.0647946123973316	-0.0958569863774194
CA10	-0.0123589422155662	0.105431665695965
ETV1	0.072814090901665	-0.05237081373924
GDF15	-0.0158069940441714	0.0336208058470673
HEY1	0.0753025857356303	-0.0159426920548389
PCDHGC3	0.0730845278382071	0.018219570848586
SHD	0.0689823847628227	-0.0364200032384058
EPAS1	0.0636883392935007	-0.0375910298556606
CNTN1	0.0699169826842512	0.0611155654764081
LDHA	0.0719702309144629	-0.0534217543197773
TTYH1	0.0754923212662316	-0.0121793264087603
SCD5	0.0740326514071524	-0.0331495305778284
AMOTL2	0.00898230467809902	0.145901062185018
P4HA1	0.074667209189032	-0.0180709070855852
NDRG2	0.0740188036627017	-0.0343143542837935
P2RX7	0.0470550233328271	0.146364690988382
DBN1	0.0748023894419467	-0.00684730841993056
SERTAD1	0.0709626598640861	0.0628087971433873
PRCP	0.0733614228315661	-0.0467820729655647
CADM2	0.0755679403212042	-0.0104846419059589
HIP1	0.0725413386647444	-0.0122035029474773
PFKP	0.071419052879432	-0.0435000189233851
ATP1B2	0.0735645985586249	-0.0425884024973448
ABAT	0.0735115779237466	-0.0469218596050055
PGK1	0.074620233475271	-0.0310329143250927
AGT	0.0748872354429038	-0.00458772741524539
FGF12	0.0740241598355943	-0.0220354514422489
LMF1	0.0640379845792374	-0.0356361379390642
EGLN3	-0.0398838278279395	-0.0674441848926945
PLTP	0.0748064456238465	-0.0235915939839789
GRIK2	0.0716854254616859	0.0594954938504844
SLC6A6	0.0430844808226476	0.138251634166934
GPM6B	0.0745771768754807	-0.033810634022228
SERINC5	0.0739711578234288	-0.0251297825045435
F3	0.0742976912956008	-0.0268972064829048
TSPAN13	0.0644763500260252	-0.014334150469697
BNIP3L	0.075374745605481	0.00788279697340191
RAB31	0.0739895972412769	-0.0396631261761347
RNF13	0.0746811684002995	0.0135634887261453
ELMO1	0.029573520475992	0.164204774370693
RPL21	0.064207670321276	-0.0112321516842884
RTKN	0.0522076896832971	0.116561847015295
GLCCI1	0.0751754333137649	-0.0183709478175344
TRAM1	0.0746883700001208	-0.00536243126800394
ANXA5	0.0714183357826496	-0.0643254103260169
SEZ6L	0.0672881091760738	0.0661707699331915
UFM1	0.0744621841909514	-0.0130051084732343
TSPAN7	0.0755015054603883	-0.00215941866694791
LRRN1	0.0659099760443883	-0.0449320036990578
ASNS	0.0738155241698451	-0.0353961973044613
ALCAM	0.0449135252314664	0.157871988844119
SEZ6	0.0755699441931778	-0.00323317536267459
GOLT1B	0.0656997090027948	-0.00260887796728692
PGRMC1	0.074533348793284	0.0170635866961017
STMN2	-0.0320676364735443	-0.0861777714604199
ANGPTL4	0.0343194003333059	0.0208112657149707
CD24	0.0696511597327846	0.0341385599910476
SLC39A14	-0.0246931488628729	0.000627089952922055
BCAS1	0.00693092932710009	0.000120334241196723
