""	PC1	PC2
ACSL1	0.0292871565681978	0.0702118003760909
ADAM12	0.0478770336729762	0.00935214061241269
ALDH3B1	0.0469082315403579	0.0176197677765478
ALOX5	0.0185089305664353	0.0715049627008483
AMPD3	0.0437926374671358	0.000808023367456988
ANXA1	0.0491014076103918	-0.00272175888153773
ANXA2	0.0453486015318211	0.0054317054488355
ANXA4	0.0476867486882633	-0.00657796720681575
ARHGAP29	0.042863732046094	0.00668071859274931
ARPC1B	0.0273252367692191	0.0610725782166803
ARSJ	0.0464623514416836	-0.0300099413171575
ASL	0.0484143300852321	-0.00489102967697622
BATF	0.0292620973831863	0.064724223977995
BLVRB	0.0454678412756433	-0.0335191638302876
BNC2	0.0321104185556114	0.0616043471023898
C1orf54	0.0445223870897232	-0.0397808157290438
C5AR1	0.0274500635238239	0.0763831741276797
CASP1	0.00408490970233989	0.0761920967211593
CASP4	0.0442143810697639	0.0221066663928614
CASP5	-0.00501035339499444	0.0283932117277778
CASP8	0.0483119172241993	0.0152668601539007
CAST	0.0487407390976972	-0.0137106804947375
CAVIN1	0.0403732053429876	0.0224598540679881
CCR5	-0.00929944279548919	0.0291384126263347
CD14	0.0173240653411422	0.0766546865549239
CD2AP	0.0453144894872971	0.00522259522823799
CD4	0.0284105816838382	0.0739289896232863
CDCP1	0.0107164144717364	0.0524099293946348
CEBPB	0.0198856181398694	0.083775182964828
CHI3L1	0.0444186732411285	0.0236167787238538
CLEC2B	-0.00984435052107914	0.0562391100152642
CLIC1	0.0255258218101066	0.0390093675483916
CNN2	-0.00602979523626165	0.0138082812238973
COL1A1	0.0294709369147529	0.0616027495472193
COL1A2	-0.00786913668802027	0.0396392976190333
COL5A1	-0.00484934023926703	0.0193587541424594
COL8A2	0.0326200225809265	0.0668006028613011
COLGALT1	0.036635321546749	0.0146488447132753
COPZ2	0.0465365951231932	0.00515464501380439
CPQ	0.0377234349040401	0.0437254857435614
CRYBG1	0.0340004852504039	0.0539198859753765
CSTA	0.00376295858982161	0.032403439987335
CTSB	0.0453326149483603	0.0367489311276376
CTSC	0.0361763326754382	0.0603152866768142
CTSZ	0.0389664835475589	0.0560087791837266
CYBRD1	0.0478425450595322	-0.0108145137641715
CYTH4	0.0264930070295671	0.0786659991228784
CYTIP	0.0361635185452893	0.0556836835453362
DAB2	0.0319125385260316	0.0618510872356362
DCBLD2	0.0451417816229144	-0.0294497990552039
DOK3	0.0322322488362213	0.0540589181576481
DRAM1	0.0481960253290338	0.00372697836155216
DSC2	0.0118357704733901	0.0759527541108429
DSE	0.035084666199071	0.0640227114804527
EFEMP2	0.04922745367948	-0.000627523558449059
EHD2	-0.0106968415138118	-0.00505001303470398
ELF4	-0.00977159788866906	0.0342244703735052
EMP3	0.0474906544796254	-0.0220974483266648
ENG	0.0317010565303497	0.0708582317982295
FCGR2A	0.0273432182920527	0.0778080092483821
FCGR2B	0.0115992164505627	0.0616183101769956
FES	-0.0149193881067428	0.0226820185790305
FHL2	-0.00762214215427025	0.0348270064485913
FHOD1	0.0320094973603287	-0.000456560901326028
FMNL1	0.0182787644822138	0.0815477289942396
FNDC3B	0.044044452521247	-0.0407461159022145
FOLR2	0.0335189624201024	0.0557121385978669
FPR3	-0.000917569211011516	0.0540034288157612
FURIN	0.0410535307040994	-0.0374540233095136
FXYD5	0.0120473285565379	0.0772974822330197
GNA15	-0.0137377655068666	0.0491104675696499
GRN	0.038082109483897	0.0583410933853606
HEXA	0.0482232874962369	-0.00437239727868679
HEXB	0.0394336778895541	0.0437611616794805
HFE	0.0472908052692348	0.00140703900812811
HK3	-0.00833210686498125	0.0264204372299892
ICAM3	0.0477168790115699	-0.0107568850195995
