""	VerCL	VerMES	VerNL	VerPN
DUSP23	0.0187798071579924	-0.0140729477714474	0.0605211252984532	-0.0144100243647755
CSTA	-0.0156752828817606	0.0205311398928927	0.0218476926740799	-0.0770012396113849
TMSB4XP8	-0.100203345118801	-0.00981552384267317	0.102086577390221	0.0537136436636318
FUOM	0.00149852528990419	0.00120541520874934	0.00664016463016225	-0.0476706908238225
BLVRB	-0.0205042714687868	0.150215252715848	0.0590042806284769	-0.147704276353955
NENF	-0.11429705485433	-0.154433595300468	0.148759472646112	0.177686995072087
NPC2	-0.0720965309200604	0.0153137804483363	0.0210123289427886	-0.0794706920451145
LY96	-0.0648200731553911	-0.052653562203455	-0.0216303026972234	-0.0565519262828146
SERPINB1	0.0711194973162108	0.0611708526450132	-0.0479808989930448	-0.131519714706188
BOLA3	0.0448812598848322	-0.131500174034111	0.000384706981515746	0.142899713607025
ATP6V0B	-0.108200365166309	-0.13890364616728	0.133945200627744	0.107978090021434
S100A11	-0.0207289891976722	0.100200902534792	-0.000753537166968937	-0.105044546625876
TNFAIP8L2	-0.103122233010302	-0.0281349039148515	0.0934642558362492	0.0138604429626102
OST4	-0.120122617717283	-0.0947319569372439	0.139724354394514	0.144450754453136
ATP5F1E	-0.0967495313291932	-0.0671673963886396	0.02613198502696	0.0900006717106027
CLIC1	-0.00637880814113251	0.111300004274522	0.0211564413993564	-0.110249693150384
ORMDL2	-0.104099266614151	-0.0673847863654961	0.120039569860956	0.0376829648084709
NDUFA1	-0.0488504589004708	-0.119250615225847	0.0103675478288481	0.186336185050165
LRMDA	0.00613943490818938	0.0131618639358577	0.157025176934679	-0.0101574856040205
CD63	-0.0395661970798908	0.0473873510787062	0.0261832792911621	0.00205787702810804
HCST	0.0185892856052418	-0.0545880887390771	0.0917568896135222	0.0110001770873407
ARPC4	-0.0611732952290228	-0.111033762617473	0.118837818528221	0.048667265099749
ETHE1	-0.0563956009061987	0.0941139831828091	0.0995609455242701	-0.0530663589010815
RILP	-0.0658313029353753	0.144567998485598	0.0964442083279902	-0.0656456665506439
PCED1B-AS1	-0.135821105147135	-0.0297445667771936	0.116102124437442	-0.00442962610145273
SERF2	-0.058374093953994	0.00276378380688931	0.0881247671912116	0.0466301500357228
S100A6	-0.0440019296413676	0.0547688399557893	0.0956503685248625	-0.0380127136497701
LY86	-0.0821819602957969	0.0221749989313695	0.117724000219833	-0.0129957682232033
POLR2L	-0.041415233175176	0.0313273612154298	0.150469281452849	0.0233840780161333
ATOX1	-0.00696258571943259	-0.147132711695703	0.137782500106863	0.130559779190406
CYBA	-0.142916811695092	0.0716324399582318	0.155288499703837	-0.0376048021201629
FTL	0.0185184506689627	-0.0436037884477989	-0.0226635157332943	-0.0231813435433345
PYCARD	-0.0332692155030807	0.0375877040320956	0.0603379314977315	-0.0825727737373367
OAZ1	-0.0285330451084202	-0.0187602664859155	0.0986840578648152	0.0614322091340429
CIB1	-0.0729929592515923	0.0097471314904037	0.190346907993967	0.019224357447744
TSPO	-0.0518890334084428	0.000614309878420381	0.00817166480419636	-0.0588699385079476
ARPC3	-0.0683642625533552	-0.154885473342249	0.0651473794126807	0.148493230989063
MGST2	0.0123167298685279	0.0485500210672871	0.0577121536873859	0.0119674403551517
TMSB10	0.00239983878945537	-0.107885271829068	0.0361783330585426	0.0789943881632379
LST1	-0.104824714065009	0.026359145339855	0.125586678146812	-0.0234524703684027
MYL6	-0.133293030697175	-0.00753659296169418	0.127484565922289	0.042668278772113
TYROBP	-0.0767032443622108	0.0126880026379907	0.108657128376109	-0.044778671356428
VAMP5	-0.0146811511898437	0.0252697528715628	0.114270186430225	-0.019944919730583
SQOR	0.00113213837979661	0.0527891578514872	0.0922002749130153	-0.0760706615559778
GSTO1	0.0161369312595795	-0.0724458204334365	-0.0127783782463468	0.0307362558851009
VAMP8	-0.0760364189275835	-0.0161173905875025	0.0719548610475022	-0.0283767197318043
GMFG	-0.0769523879311924	-0.00472273618260758	0.0719573036315118	-0.0345930960362968
TMSB4X	-0.0632128528770587	-0.00294453502360147	0.0701424637123613	0.0364250340435146
ATP6V0E1	-0.0728561745470533	-0.0823724818485476	0.107633685676077	0.0606310415788863
GPX1	-0.091427140772223	-0.0264446357801919	0.134646222238506	0.0179175750025953
